model,domain,population,rows,dimensions,centered,rank_ceiling,total_energy,collapsed,numerical_rank,participation_rank,entropy_rank,d90,d95,d99
gf-mlp-cov1-factor1-s123-0035--encoder,all,dataset,2880,128,True,128,24.54221365077183,False,128,1.6578776644538342,2.6017768157146652,2,4,30
gf-mlp-cov1-factor1-s123-0035--encoder,all,reference,1600,128,True,128,25.695603606681416,False,128,1.684412306579734,2.612514519894925,2,4,27
gf-mlp-cov1-factor1-s123-0035--encoder,all,evaluation,960,128,True,128,22.487985557345432,False,128,1.702843580129751,2.714906632496223,2,4,33
gf-mlp-cov1-factor1-s123-0035--encoder,all,within_track,960,128,True,128,14.884026558784813,False,128,1.6435779421214154,2.695816729923578,3,4,37
gf-mlp-cov1-factor1-s123-0035--encoder,noncrystalline,dataset,1830,128,True,128,6.864496194733365,False,128,2.086956152343936,4.692818087670845,7,18,78
gf-mlp-cov1-factor1-s123-0035--encoder,noncrystalline,reference,905,128,True,128,6.952423077316774,False,128,1.9579866174100338,4.362022435980079,7,17,74
gf-mlp-cov1-factor1-s123-0035--encoder,noncrystalline,evaluation,686,128,True,128,6.851274602107264,False,128,2.244594865837439,4.935736533025154,7,16,72
gf-mlp-cov1-factor1-s123-0035--encoder,noncrystalline,within_track,686,128,True,128,3.6960080730641187,False,128,2.2981070346612524,5.319253026584012,8,20,73
gf-mlp-cov1-factor1-s123-0035--encoder,pre_onset_12ps,dataset,56,128,True,55,8.776898975250814,False,55,1.811905502619022,3.5338583812140922,5,9,28
gf-mlp-cov1-factor1-s123-0035--encoder,pre_onset_12ps,reference,30,128,True,29,9.449463995818835,False,29,1.685645062690802,3.0240024251681246,4,8,18
gf-mlp-cov1-factor1-s123-0035--encoder,pre_onset_12ps,evaluation,18,128,True,17,6.299551619595039,False,17,1.987520771301742,3.301296160843912,4,6,13
gf-mlp-cov1-factor1-s123-0035--encoder,pre_onset_12ps,within_track,18,128,True,17,0.0,True,0,,,,,
gf-mlp-cov1-factor1-s123-0035--encoder,at_risk_no_onset_12ps,dataset,1645,128,True,128,4.263920212719419,False,128,2.8306256351595893,7.073542934533649,11,30,90
gf-mlp-cov1-factor1-s123-0035--encoder,at_risk_no_onset_12ps,reference,797,128,True,128,3.5820383831304587,False,128,3.136691879572577,8.056236229710695,14,35,90
gf-mlp-cov1-factor1-s123-0035--encoder,at_risk_no_onset_12ps,evaluation,625,128,True,128,5.261343109025566,False,128,2.475687858437744,5.772448727185107,9,22,78
gf-mlp-cov1-factor1-s123-0035--encoder,at_risk_no_onset_12ps,within_track,625,128,True,128,2.5694593485900876,False,128,2.7233120914311963,6.64690883099836,10,25,77
gf-mlp-cov1-factor1-s123-0035--encoder,T400K,dataset,576,128,True,128,6.101848011272904,False,128,2.2418789125560368,4.986943544720508,7,17,73
gf-mlp-cov1-factor1-s123-0035--encoder,T400K,reference,320,128,True,128,9.412481595997166,False,128,1.8859340648968976,3.644009263943355,4,10,54
gf-mlp-cov1-factor1-s123-0035--encoder,T400K,evaluation,192,128,True,128,1.6077584378255632,False,128,8.422723373570943,19.242759230171856,30,50,88
gf-mlp-cov1-factor1-s123-0035--encoder,T400K,within_track,192,128,True,128,1.150815719390478,False,128,9.672682923676005,20.45867400711534,29,47,80
gf-mlp-cov1-factor1-s123-0035--encoder,T450K,dataset,576,128,True,128,25.552230075550955,False,128,1.6697336957320539,2.5788449814835435,2,4,26
gf-mlp-cov1-factor1-s123-0035--encoder,T450K,reference,320,128,True,128,25.463787252332743,False,128,1.7324960161594303,2.647053213049853,2,3,24
gf-mlp-cov1-factor1-s123-0035--encoder,T450K,evaluation,192,128,True,128,23.478150517794766,False,128,1.6936767048773256,2.644872757995169,2,4,25
gf-mlp-cov1-factor1-s123-0035--encoder,T450K,within_track,192,128,True,128,18.361348411120186,False,128,1.532728149216618,2.3855438501018376,2,4,23
gf-mlp-cov1-factor1-s123-0035--encoder,T500K,dataset,576,128,True,128,26.349795515225264,False,128,1.890151685139153,2.8714898780761016,3,4,26
