model,representation,material,status,input_support,checkpoint_step,precision,liquid_order_r2,liquid_topology_r2,boundary_ap,fault_ap,nonbulk_ami,nonbulk_spatial_auc,liquid_rank,future_residual_mse,onset_ap12,onset_brier12,hazard_selected_step,brier_delta,brier_ci_low,brier_ci_high,future_mse_delta,future_ci_low,future_ci_high,source
geoframe-archived-epoch34,encoder,Al,complete,80-neighbor GeoFrame,,float32,0.2384033997853597,-978.521991054217,0.629084706521119,0.8646272372585124,0.17600715193106464,0.4803815235423512,5.126527936342267,1.3771837362980779,0.12996544008129735,0.037430921332674325,128,0.005866848313099119,-0.004835164545536336,0.015860427369212265,0.04516033331553141,0.026670089364051817,0.06604590276877081,/home/infres/vmorozov/PointCloudMaterials/output/geoframe_evolution/epoch34-reproduction-20260923/technical/evaluations/archived-epoch34
geoframe-archived-epoch34,projector,Al,complete,80-neighbor GeoFrame,,float32,0.18275057772795358,-239.55579413473606,0.6064631681938598,0.8478918450284264,0.20856092515740374,0.4809397460864584,1.6293844567438043,1.3399091266997858,0.03247908468153893,0.03156406197200376,0,-1.1047571428212758e-08,-0.001348686723817874,0.0010607776571129243,0.00788573424021403,-0.002216706871986389,0.017935430705547328,/home/infres/vmorozov/PointCloudMaterials/output/geoframe_evolution/epoch34-reproduction-20260923/technical/evaluations/archived-epoch34
geoframe-epoch-000,encoder,Al,complete,80-neighbor GeoFrame,,float32,-0.0018842748055855434,-678.3287376860777,0.17854100803518436,0.292695697782679,0.018195260924463236,0.4978382029820157,3.568470446149801,1.3971202231264517,0.13046179848222464,0.031175415819256126,128,-0.00038865720031907057,-0.0023373065726045865,0.0013345210565338282,0.06509681145350138,0.048581249217192334,0.08178199221690495,/home/infres/vmorozov/PointCloudMaterials/output/geoframe_evolution/epoch34-reproduction-20260923/technical/evaluations/epoch-000
geoframe-epoch-000,projector,Al,complete,80-neighbor GeoFrame,,float32,-0.02903907166425294,-1051.247551927964,0.11675624943890356,0.1019007145545864,0.024023163433443264,0.5067989422611427,6.4068497418354085,1.414305691513194,0.03247908468153893,0.03156406197200376,0,-1.1047571428212758e-08,-0.001348686723817874,0.0010607776571129243,0.08228229284286499,0.05690147380034129,0.11113845725854236,/home/infres/vmorozov/PointCloudMaterials/output/geoframe_evolution/epoch34-reproduction-20260923/technical/evaluations/epoch-000
geoframe-epoch-001,encoder,Al,complete,80-neighbor GeoFrame,,float32,0.012656612787395716,-388.58922250072163,0.23938451222395443,0.4556890011984962,0.04605277009128609,0.5008806880788006,3.078510841367877,1.3751398717033831,0.07683205580614387,0.03284443476134513,128,0.0012803617417699296,-0.001263124881093232,0.005103324867175234,0.043116490046183266,0.028984636863072715,0.05746193875869115,/home/infres/vmorozov/PointCloudMaterials/output/geoframe_evolution/epoch34-reproduction-20260923/technical/evaluations/epoch-001
geoframe-epoch-001,projector,Al,complete,80-neighbor GeoFrame,,float32,-0.010171347297728062,-517.532158995668,0.18638199321067808,0.16859609980256668,0.06502468545924905,0.5103384066618739,2.061549634816169,1.3602463627816177,0.06296636111516793,0.0342065289068592,128,0.002642455887284002,-0.00038393584456415387,0.007511689762893879,0.028222946325937907,0.020729982654253645,0.03652416070302327,/home/infres/vmorozov/PointCloudMaterials/output/geoframe_evolution/epoch34-reproduction-20260923/technical/evaluations/epoch-001
geoframe-epoch-002,encoder,Al,complete,80-neighbor GeoFrame,,float32,0.04241243936121464,-423.4498364329338,0.2944774263787156,0.5628457344385028,0.06197319713877717,0.49416192596369785,2.7066674184415507,1.3799532114120667,0.08476393017125283,0.0341527106733857,128,0.0025886376538105014,-0.0013694719785963488,0.008249773884586703,0.04792978366216024,0.03130738933881124,0.06436438133319218,/home/infres/vmorozov/PointCloudMaterials/output/geoframe_evolution/epoch34-reproduction-20260923/technical/evaluations/epoch-002
geoframe-epoch-002,projector,Al,complete,80-neighbor GeoFrame,,float32,0.029401308856904507,-259.00418103734654,0.23856002384439215,0.21684461494355117,0.08089420042044249,0.4913425795312622,1.318775862469922,1.3525208502804162,0.07200480540575563,0.03777361217539498,128,0.006209539155819789,9.3479148624639e-05,0.016037553903896305,0.020497457186381022,0.010436497728029888,0.029861501653989143,/home/infres/vmorozov/PointCloudMaterials/output/geoframe_evolution/epoch34-reproduction-20260923/technical/evaluations/epoch-002
geoframe-epoch-003,encoder,Al,complete,80-neighbor GeoFrame,,float32,0.06956074138482411,-645.6448313792547,0.3197028629999336,0.5409554391682886,0.07459575096062195,0.48978340860395536,2.7097333898801055,1.3639279724447988,0.07974757464097801,0.035808029131145794,128,0.004243956111570596,-0.0017862546266545379,0.012977121762568227,0.031904582182566324,0.018921866913636527,0.04503904650608697,/home/infres/vmorozov/PointCloudMaterials/output/geoframe_evolution/epoch34-reproduction-20260923/technical/evaluations/epoch-003
geoframe-epoch-003,projector,Al,complete,80-neighbor GeoFrame,,float32,0.05542468031247457,-290.2364508012931,0.29991849314971236,0.26028383928535287,0.08074639620298456,0.4915730272807642,1.8386409790551819,1.3483672661347859,0.03247908468153893,0.03156406197200376,0,-1.1047571428212758e-08,-0.001348686723817874,0.0010607776571129243,0.016343867778778075,0.008599156141281128,0.025622745454311372,/home/infres/vmorozov/PointCloudMaterials/output/geoframe_evolution/epoch34-reproduction-20260923/technical/evaluations/epoch-003
geoframe-epoch-004,encoder,Al,complete,80-neighbor GeoFrame,,float32,0.09175076584021251,-710.026458154122,0.3750965269052382,0.4759971962363149,0.10705257342660217,0.4904245036330044,4.099607487829723,1.375097051639265,0.07177992143185574,0.039174890891738125,128,0.007610817872162928,0.00026489316916918976,0.018878067537636874,0.0430736502011617,0.028293593227863314,0.05733424206574757,/home/infres/vmorozov/PointCloudMaterials/output/geoframe_evolution/epoch34-reproduction-20260923/technical/evaluations/epoch-004
