cohort,comparison,gain,ci95_low,ci95_high,sources
pilot_seed17,x_H12_gain_over_snapshot,0.0017734643485811023,-0.001553484458062384,0.005187859634558359,30
pilot_seed17,x_H48_gain_over_snapshot,-0.0038088070021735296,-0.010077150099807313,0.00200886395242479,30
pilot_seed17,x_H48_gain_over_repeated_anchor,-0.0040818062093522815,-0.010319078746769163,0.001816424479087192,30
pilot_seed17,xv_H12_gain_over_snapshot,0.0030460344420539013,0.0011766287518872153,0.00462666748298539,30
pilot_seed17,xv_H48_gain_over_snapshot,0.0027495106061299636,0.0005957635574870639,0.004749418348073959,30
pilot_seed17,xv_H48_gain_over_repeated_anchor,0.0009818308883243138,-0.001647442877292633,0.0035132684972551103,30
pilot_seed18,xv_H12_gain_over_snapshot,-0.004419714543554518,-0.018563747058312097,0.012238386885987381,30
pilot_seed18,xv_H48_gain_over_snapshot,-0.004620828562312656,-0.01929677106440067,0.012227033509148486,30
pilot_seed18,xv_H48_gain_over_repeated_anchor,-0.005044162273406983,-0.009536786095963585,-0.0011715168423122849,30
original_seed17_12000,xv_H12_gain_over_snapshot,0.0030459536446465385,0.0011764991614553666,0.0046265958911842755,30
original_seed17_12000,xv_H48_gain_over_snapshot,0.00274942053688897,0.0005956838859452144,0.004749376873175302,30
original_seed17_12000,xv_H48_gain_over_repeated_anchor,-0.0047581318351957525,-0.014395425170660019,0.003968065861198636,30
present1_seed17_12000,xv_H12_gain_over_snapshot,0.031420264972580804,0.013515250964297187,0.05217969499528408,30
present1_seed17_12000,xv_H48_gain_over_snapshot,0.03729068405098386,0.019297717586159707,0.057616915197836016,30
present1_seed17_12000,xv_H48_gain_over_repeated_anchor,0.022357941667238868,0.011730339800318082,0.034088625113169346,30
