cohort,model,seed,width,updates,selected_update,present_weight,val_nll,val_future_mse,val_present_mse,test_nll,test_future_mse,test_present_mse
pilot_seed17,x-H0,20260917,16,3000,2250,0.05,0.9128942771090399,0.85277897881137,0.8819097598393758,0.9285054882367452,0.9357649094528622,0.9061143497625986
pilot_seed17,x-H12,20260917,16,3000,2250,0.05,0.9102819657988019,0.8243802537520728,0.7604224921928513,0.9267320238881641,0.8880938251813252,0.7581499319937495
pilot_seed17,x-H48,20260917,16,3000,2500,0.05,0.9132221861018076,0.8217122068007787,0.7899868342611526,0.9323142952389188,0.8650056093931198,0.7550767078995703
pilot_seed17,xv-H0,20260917,16,3000,2250,0.05,0.9106270939111709,0.8533434602949352,0.7235836297273636,0.9253099981281492,0.9363178011443879,0.7586944550275805
pilot_seed17,xv-H12,20260917,16,3000,2250,0.05,0.9096663127342859,0.8531381150086722,0.7247618787818486,0.9222639636860954,0.9354773879051206,0.7606616149346033
pilot_seed17,xv-H48,20260917,16,3000,2250,0.05,0.9097437196307714,0.8531450612677467,0.7300921135478551,0.9225604875220194,0.9349447031815845,0.7647662328349221
pilot_seed17,x-H48-repeat,20260917,16,3000,2250,0.05,0.9127795646588007,0.8525815228621165,0.8818052166038088,0.9282324890295663,0.9354199031988778,0.9057434174749587
pilot_seed17,xv-H48-repeat,20260917,16,3000,2250,0.05,0.9111140029297934,0.853101337618298,0.7230836249060101,0.9235423184103435,0.9360582255654865,0.7594537059466044
pilot_seed18,xv-H0,20260918,16,3000,2000,0.05,0.9094317571984399,0.8500906063450707,0.7373600254456203,0.9240483843617968,0.9312194648716184,0.7754554049836263
pilot_seed18,xv-H12,20260918,16,3000,2250,0.05,0.8880802475743823,0.8519433031479516,0.7251447363032234,0.9284680989053515,0.9373745689789456,0.7584638992945353
pilot_seed18,xv-H48,20260918,16,3000,2250,0.05,0.8886810915337668,0.8522985206709969,0.7245597988367083,0.9286692129241096,0.9379678292406929,0.7590763158268399
pilot_seed18,xv-H48-repeat,20260918,16,3000,2250,0.05,0.8857445143991047,0.8517982615364923,0.723135091861089,0.9236250506507026,0.9374240206347573,0.7576518846882715
original_seed17_12000,xv-H0,20260917,16,12000,2250,0.05,0.9106270654333962,0.8533435420857536,0.7235837356911764,0.9253099080589082,0.9363177958461972,0.7586945546997917
original_seed17_12000,xv-H12,20260917,16,12000,2250,0.05,0.9096663004822202,0.8531380991141001,0.7247618416945141,0.9222639544142618,0.9354773822757936,0.760661565595203
original_seed17_12000,xv-H48,20260917,16,12000,2250,0.05,0.9097437342007954,0.8531450682216221,0.7300920983155569,0.9225604875220194,0.9349447151025138,0.7647661983966828
original_seed17_12000,xv-H48-repeat,20260917,16,12000,6000,0.05,0.8999531808826658,0.841983452108171,0.7110703564352459,0.9178023556868236,0.9312654385964075,0.7524930354621675
present1_seed17_12000,xv-H0,20260917,16,12000,6250,1.0,0.8905247466431725,0.7703547686338423,0.54219934095939,0.9421253989140191,0.8514793899324207,0.5760479440291724
present1_seed17_12000,xv-H12,20260917,16,12000,3500,1.0,0.8853226966328092,0.8082312282588746,0.5481526282098559,0.9107051339414386,0.8793905711836285,0.5764700753821267
present1_seed17_12000,xv-H48,20260917,16,12000,4000,1.0,0.8821442706717385,0.7821913659572602,0.5595942359831597,0.9048347148630355,0.844288108083937,0.5963797130518491
present1_seed17_12000,xv-H48-repeat,20260917,16,12000,2250,1.0,0.9129314856396782,0.8503038323587842,0.7100338260332745,0.9271926565302745,0.9334884925021066,0.7466733124521044
original_seed18_12000,xv-H0,20260918,16,12000,4000,0.05,0.9173158241642848,0.8492327852381598,0.6762173732121786,0.925063188539611,0.9338817954063415,0.7387085417906444
