model,grid,joint_event_nll,split,horizon_ps,n,sources,prevalence,log_loss,brier,average_precision,threshold,recall,false_positive_rate,precision,log_loss_ci95,brier_ci95
packet-current-state-linear,native_all_states,0.0426929236217385,test,0,7680,30,0.338411458333333,0.04269293168213198,0.012067514972720149,0.9976760148790503,0.14953584969043732,0.9903809157368219,0.03129305254871093,0.9418221734357848,"[0.033038570266940806, 0.05172873688412562]","[0.00939767921300685, 0.014656486128006584]"
packet-current-state-mlp,native_all_states,0.03606272170777148,test,0,7680,30,0.338411458333333,0.036062741932070645,0.010283899766478118,0.998520840956477,0.04447236657142639,0.9957676029242016,0.03247392245620946,0.9400653832183072,"[0.02750649238067742, 0.04499887562228728]","[0.007878546439310893, 0.012726178633514579]"
packet-future-state-9ps-linear,native_all_states,0.043390753321550984,test,9,7680,30,0.35065104166666633,0.043390762290993035,0.012018421542375462,0.9972966868386801,0.14007164537906647,0.9910880059413294,0.031481852817325094,0.9444444444444444,"[0.032237864265809324, 0.05449925951472739]","[0.008711633370808344, 0.0152685424378197]"
packet-future-state-9ps-mlp,native_all_states,0.041823257776158584,test,9,7680,30,0.35065104166666633,0.041823264000219934,0.010376337428822711,0.998245146999349,0.045306771993637085,0.993687337541775,0.028875075195508373,0.948936170212766,"[0.028830831256476418, 0.05545938127509886]","[0.00727587216200255, 0.013666796266449503]"
packet-future-state-48ps-linear,native_all_states,0.05264132922773723,test,48,7680,30,0.40898437499999957,0.05264133382602023,0.014895927962959958,0.9974083509798848,0.22464649379253387,0.9879019420566698,0.03172504957039,0.9556513704958423,"[0.04104821200931766, 0.06485283256792687]","[0.011537320406807525, 0.018328335471189883]"
packet-future-state-48ps-mlp,native_all_states,0.045467834357930476,test,48,7680,30,0.40898437499999957,0.04546784113470899,0.013352679478663664,0.9982387186666931,0.12671378254890442,0.9929958611907036,0.03502974223397229,0.9514948139109213,"[0.03478536732726536, 0.056667324483263684]","[0.010060058515476837, 0.016738190778399116]"
packet-future-sequence-onset-9ps-linear,native_at_risk,0.022402314555347098,test,9,4691,30,0.030011946895797365,0.02240231503285653,0.006297430029431435,0.9369842870304576,0.016649918630719185,0.9784148107959989,0.03434405594894029,0.4684959250783277,"[0.017028189288790282, 0.02786065738574519]","[0.00469079059106457, 0.008022430887510795]"
packet-future-sequence-onset-9ps-mlp,native_at_risk,0.04042140508599908,test,9,4691,30,0.030011946895797365,0.039392659305480256,0.007245327174529661,0.9215552368291301,0.0001046854376909323,0.972775281246444,0.048655981040608476,0.3821789582488053,"[0.02291733744879651, 0.05766637953447231]","[0.0049536992409258095, 0.00964438203051368]"
packet-future-sequence-onset-48ps-linear,native_at_risk,0.097308245188243,test,48,4691,30,0.17346459462559105,0.09730824431207452,0.025025877162686866,0.9713856107279134,0.08882283419370651,0.9439994629854663,0.040455327321156045,0.8304272121045271,"[0.07966435589768488, 0.1148964663552954]","[0.020295229347511216, 0.029900749940444046]"
packet-future-sequence-onset-48ps-mlp,native_at_risk,0.1321628850245574,test,48,4691,30,0.17346459462559105,0.13215548439208782,0.027608956869640187,0.9726478769546908,0.009323722682893276,0.9713950444953864,0.05352424906679525,0.7920503833863288,"[0.09904837802190807, 0.1664813659313164]","[0.021650277771684826, 0.03392023725546634]"
raw-mace-current-state,native_all_states,0.06617954449762539,test,0,7680,30,0.338411458333333,0.06617956004641917,0.01786482271911347,0.9940426288410034,0.13484370708465576,0.9849942285494421,0.03641015548120454,0.9326047358834243,"[0.05239721926107804, 0.08026772073420131]","[0.013793840527445492, 0.022005414437755055]"
