population,candidate,reference,horizon_ps,metric,difference,ci95_lower,ci95_upper,sources
descriptor_grid,linear-packet_H0,linear-condition,0.75,log_loss,-0.005588506318548322,-0.007349616463981259,-0.0038396117664395916,30
descriptor_grid,linear-packet_H0,linear-condition,0.75,brier,-0.00010438999725478051,-0.00017130017921001233,-3.892538340473024e-05,30
descriptor_grid,linear-packet_H0,linear-condition,3,log_loss,-0.012509793071707855,-0.01463687289063167,-0.010114119991959672,30
descriptor_grid,linear-packet_H0,linear-condition,3,brier,-0.0005446293615993004,-0.0008057699697652323,-0.000270195534010295,30
descriptor_grid,linear-packet_H0,linear-condition,9,log_loss,-0.02109211214424966,-0.024498105428360457,-0.01694139946435969,30
descriptor_grid,linear-packet_H0,linear-condition,9,brier,-0.0021284050899992705,-0.0028167945553513175,-0.0013170980446936234,30
descriptor_grid,linear-packet_H0,linear-condition,24,log_loss,-0.018621208126237784,-0.022196424329334937,-0.014574834586305914,30
descriptor_grid,linear-packet_H0,linear-condition,24,brier,-0.004418757529380594,-0.005675429381830007,-0.003213480782107373,30
descriptor_grid,linear-packet_H0,linear-condition,48,log_loss,-0.010278143586765787,-0.01362775042148886,-0.006358138040282704,30
descriptor_grid,linear-packet_H0,linear-condition,48,brier,-0.003278823438711545,-0.0046935159089090805,-0.0017645481799588095,30
descriptor_grid,linear-packet_H0,linear-condition,96,log_loss,-0.00393815378695605,-0.019234138202174938,0.011407063748159372,30
descriptor_grid,linear-packet_H0,linear-condition,96,brier,-0.001416428014543918,-0.008325476451464966,0.00558274373201066,30
descriptor_grid,linear-packet_H3,linear-packet_H0,0.75,log_loss,-0.0007478734805105452,-0.0016944378739404816,0.00018872892691248227,30
descriptor_grid,linear-packet_H3,linear-packet_H0,0.75,brier,-6.504982124707548e-05,-0.0002235175100143597,0.00010847763586198074,30
descriptor_grid,linear-packet_H3,linear-packet_H0,3,log_loss,-0.004409022399604715,-0.00615973352098557,-0.002620457587402452,30
descriptor_grid,linear-packet_H3,linear-packet_H0,3,brier,-0.00044840534724509273,-0.0008500645752377131,-5.2249159258740954e-05,30
descriptor_grid,linear-packet_H3,linear-packet_H0,9,log_loss,-0.011108188776139675,-0.013670907618559982,-0.008547480971894344,30
descriptor_grid,linear-packet_H3,linear-packet_H0,9,brier,-0.0023117972405603676,-0.0031749361262326495,-0.001543077466568745,30
descriptor_grid,linear-packet_H3,linear-packet_H0,24,log_loss,-0.011547054806419573,-0.01442602078992035,-0.008666459659586834,30
descriptor_grid,linear-packet_H3,linear-packet_H0,24,brier,-0.003400629831061276,-0.0048273309779641865,-0.0020979799785553533,30
descriptor_grid,linear-packet_H3,linear-packet_H0,48,log_loss,-0.008020978785768917,-0.010196930737364539,-0.005768494723861303,30
descriptor_grid,linear-packet_H3,linear-packet_H0,48,brier,-0.00290269811660033,-0.003937868272352011,-0.0018122356727604029,30
descriptor_grid,linear-packet_H3,linear-packet_H0,96,log_loss,-0.00495482922041154,-0.008045297606008183,-0.00163564383260732,30
descriptor_grid,linear-packet_H3,linear-packet_H0,96,brier,-0.0024359907791501366,-0.0037658449540216264,-0.000984787569871947,30
descriptor_grid,linear-packet_H12,linear-packet_H0,0.75,log_loss,-0.0007764189202628404,-0.0017301373612582237,0.0001080360052880112,30
descriptor_grid,linear-packet_H12,linear-packet_H0,0.75,brier,8.022005045989166e-05,-7.163907308965242e-05,0.00025213423034123924,30
descriptor_grid,linear-packet_H12,linear-packet_H0,3,log_loss,-0.005525095280045091,-0.007162817601556655,-0.003677032124131534,30
descriptor_grid,linear-packet_H12,linear-packet_H0,3,brier,-0.00044367057560332706,-0.0008177890532699315,8.857901916609863e-06,30
descriptor_grid,linear-packet_H12,linear-packet_H0,9,log_loss,-0.013665099345456283,-0.018255565773784694,-0.009406393766949817,30
descriptor_grid,linear-packet_H12,linear-packet_H0,9,brier,-0.002937065665378814,-0.004152995632005647,-0.0017693839740107564,30
descriptor_grid,linear-packet_H12,linear-packet_H0,24,log_loss,-0.014018572497298551,-0.01861344943674161,-0.009491423775643047,30
descriptor_grid,linear-packet_H12,linear-packet_H0,24,brier,-0.004285662019468585,-0.006705360503415527,-0.0021109877628702413,30
descriptor_grid,linear-packet_H12,linear-packet_H0,48,log_loss,-0.00731066971626646,-0.013011943527200118,-0.0018061284780438824,30
descriptor_grid,linear-packet_H12,linear-packet_H0,48,brier,-0.002613881005259363,-0.00522262932664871,-0.00033108560364385615,30
descriptor_grid,linear-packet_H12,linear-packet_H0,96,log_loss,-0.0007079724960863629,-0.007770676615729284,0.0059722573350780355,30
descriptor_grid,linear-packet_H12,linear-packet_H0,96,brier,-0.0014221480561869486,-0.004349657620618073,0.0011780532680284019,30
descriptor_grid,linear-packet_H48,linear-packet_H0,0.75,log_loss,-0.0004185126705816619,-0.001416986410358901,0.0005687218522512232,30
descriptor_grid,linear-packet_H48,linear-packet_H0,0.75,brier,0.00015439714467608943,-5.0962418917271705e-05,0.0003798897472518097,30
descriptor_grid,linear-packet_H48,linear-packet_H0,3,log_loss,-0.004605782936748421,-0.0060196777667060695,-0.002946935053878907,30
descriptor_grid,linear-packet_H48,linear-packet_H0,3,brier,-0.0002567060190221597,-0.0006455051488378013,0.0001873465087025846,30
descriptor_grid,linear-packet_H48,linear-packet_H0,9,log_loss,-0.009630281461847173,-0.01304629909880746,-0.006444134397900722,30
descriptor_grid,linear-packet_H48,linear-packet_H0,9,brier,-0.0019327509683000233,-0.002929991610095479,-0.0008667939774692905,30
descriptor_grid,linear-packet_H48,linear-packet_H0,24,log_loss,-0.002026481757012124,-0.009061493226511784,0.0047872171172082135,30
descriptor_grid,linear-packet_H48,linear-packet_H0,24,brier,3.4739541892764236e-05,-0.002475825137540309,0.002445826949305137,30
descriptor_grid,linear-packet_H48,linear-packet_H0,48,log_loss,0.009776135576597521,-0.0008473958488140826,0.019711489919938097,30
descriptor_grid,linear-packet_H48,linear-packet_H0,48,brier,0.003979773122564122,-0.00024258708987552724,0.007716584234101835,30
descriptor_grid,linear-packet_H48,linear-packet_H0,96,log_loss,0.026271406854207417,0.011282676202547519,0.041054540414938646,30
descriptor_grid,linear-packet_H48,linear-packet_H0,96,brier,0.006699752984303717,0.001260879457824149,0.011984513661781384,30
descriptor_grid,linear-packet_H12,linear-packet_repeat12,0.75,log_loss,-0.00028728369204940335,-0.0011224005181637137,0.0005553364356473782,30
descriptor_grid,linear-packet_H12,linear-packet_repeat12,0.75,brier,0.00010437671737141568,-4.3926829074978835e-05,0.0002746099219180605,30
descriptor_grid,linear-packet_H12,linear-packet_repeat12,3,log_loss,-0.0049433359792850785,-0.006776720455528382,-0.003034197345375932,30
descriptor_grid,linear-packet_H12,linear-packet_repeat12,3,brier,-0.00041161592351214306,-0.0008351654876275875,6.759390771524122e-05,30
descriptor_grid,linear-packet_H12,linear-packet_repeat12,9,log_loss,-0.01274211329381761,-0.01757771363412366,-0.008462565368302678,30
descriptor_grid,linear-packet_H12,linear-packet_repeat12,9,brier,-0.0028660095429295556,-0.0041744877601418645,-0.00170743601906169,30
descriptor_grid,linear-packet_H12,linear-packet_repeat12,24,log_loss,-0.01299176329676535,-0.017937941946267303,-0.008358221951312434,30
descriptor_grid,linear-packet_H12,linear-packet_repeat12,24,brier,-0.004071744164120957,-0.006570199845039404,-0.0018771465230233522,30
descriptor_grid,linear-packet_H12,linear-packet_repeat12,48,log_loss,-0.006352009279324111,-0.012303602637162668,-0.0008378972580619137,30
descriptor_grid,linear-packet_H12,linear-packet_repeat12,48,brier,-0.0022741051794173055,-0.00489358837415336,0.00010718395202074732,30
descriptor_grid,linear-packet_H12,linear-packet_repeat12,96,log_loss,0.00011476613112754996,-0.0067518442503608864,0.0068573631807590405,30
descriptor_grid,linear-packet_H12,linear-packet_repeat12,96,brier,-0.001026957802083148,-0.003912013808399986,0.001632372326198015,30
descriptor_grid,linear-packet_plus_center_H0,linear-packet_H0,0.75,log_loss,-0.0011697491015152327,-0.0018694638686943996,-0.0005433159826065744,30
descriptor_grid,linear-packet_plus_center_H0,linear-packet_H0,0.75,brier,-6.911635835050811e-05,-0.00016024219970347088,1.6560313235270364e-05,30
descriptor_grid,linear-packet_plus_center_H0,linear-packet_H0,3,log_loss,-0.0025597521592616904,-0.0035968050446301835,-0.001262317871094623,30
