reference,candidate,metric,horizon_ps,difference,ci95_lower,ci95_upper,sources,rows
h100-mace,h100-axial_gatr,future_mse,all,0.05647520113115865,0.041326860676547006,0.07376838905890355,30,7680
h100-mace,h100-axial_gatr,future_mse,0.75,0.07170729410357152,0.05768532707050551,0.08827298219060492,30,7680
h100-mace,h100-axial_gatr,future_mse,3,0.06813605608946859,0.053635645760052496,0.08456587769202352,30,7680
h100-mace,h100-axial_gatr,future_mse,9,0.06469362942596132,0.049722125173113314,0.08144510529655813,30,7680
h100-mace,h100-axial_gatr,future_mse,24,0.056715947204268286,0.04128969317965204,0.07511769101326211,30,7680
h100-mace,h100-axial_gatr,future_mse,48,0.0440579557903685,0.02832401468156831,0.0629198260667351,30,7680
h100-mace,h100-axial_gatr,future_mse,96,0.03354032417331376,0.017054260408135125,0.052798098867738785,30,7680
ridge-packet_H0,h100-mace,future_mse,all,0.07348686032462197,0.0647133784600714,0.08298121659269296,30,7680
ridge-packet_H0,h100-mace,future_mse,0.75,0.1097469675983194,0.09922958130979023,0.12226737550468639,30,7680
ridge-packet_H0,h100-mace,future_mse,3,0.09253206537138077,0.0814483064729268,0.10464388209824464,30,7680
ridge-packet_H0,h100-mace,future_mse,9,0.0802612581912491,0.07105468156095888,0.09035169835917162,30,7680
ridge-packet_H0,h100-mace,future_mse,24,0.06883830533613132,0.059412446829294696,0.07864765801556535,30,7680
ridge-packet_H0,h100-mace,future_mse,48,0.05554134106766009,0.046814825180759995,0.0645957146897393,30,7680
ridge-packet_H0,h100-mace,future_mse,96,0.03400122438299121,0.026690871153624583,0.04149594021223363,30,7680
ridge-packet_H0,ridge-packet_H12,future_mse,all,-0.006827115738551924,-0.00857132412160558,-0.00531341340848929,30,7680
ridge-packet_H0,ridge-packet_H12,future_mse,0.75,-0.01302184644582429,-0.015375354889825834,-0.010739243458340614,30,7680
ridge-packet_H0,ridge-packet_H12,future_mse,3,-0.012782149722935471,-0.015469510209561133,-0.010270939076805562,30,7680
ridge-packet_H0,ridge-packet_H12,future_mse,9,-0.01004963432326204,-0.012133747363947962,-0.00825203349168327,30,7680
ridge-packet_H0,ridge-packet_H12,future_mse,24,-0.0060622848862189336,-0.008748246665722473,-0.003672926636243799,30,7680
ridge-packet_H0,ridge-packet_H12,future_mse,48,-0.00226127350298423,-0.004317247629384393,-0.00034784629916812833,30,7680
ridge-packet_H0,ridge-packet_H12,future_mse,96,0.003214494449913413,0.0009549593374002416,0.005330066183320732,30,7680
