method,horizon_ps,persistence_frames,tp,fp,fn,tn,n,positive,prevalence,accuracy,precision,recall,specificity,false_positive_rate,balanced_accuracy,f1,auroc,average_precision,timing_mae_ps,timing_bias_ps,timing_median_absolute_error_ps,timing_p90_absolute_error_ps,timing_within_0_75_ps,timing_within_1_5_ps,timing_within_3_ps,timed_within_1_5_ps_recall,accuracy_ci95_lower,accuracy_ci95_upper,accuracy_bootstrap_valid,precision_ci95_lower,precision_ci95_upper,precision_bootstrap_valid,recall_ci95_lower,recall_ci95_upper,recall_bootstrap_valid,f1_ci95_lower,f1_ci95_upper,f1_bootstrap_valid,false_positive_rate_ci95_lower,false_positive_rate_ci95_upper,false_positive_rate_bootstrap_valid,timing_mae_ps_ci95_lower,timing_mae_ps_ci95_upper,timing_mae_ps_bootstrap_valid,timing_bias_ps_ci95_lower,timing_bias_ps_ci95_upper,timing_bias_ps_bootstrap_valid,timed_within_1_5_ps_recall_ci95_lower,timed_within_1_5_ps_recall_ci95_upper,timed_within_1_5_ps_recall_bootstrap_valid
direct,6,3,396,0,928,0,1324,1324,1.0,0.2990936555891239,1.0,0.2990936555891239,,,,0.4604651162790698,,0.9999999999999999,2.7803030303030303,-2.7803030303030303,3.0,5.25,0.2676767676767677,0.3686868686868687,0.5909090909090909,0.11027190332326284,0.2664617579969801,0.33308080215149694,2000,1.0,1.0,2000,0.2664617579969801,0.33308080215149694,2000,0.42079716391232674,0.49971582801399517,2000,,,0,2.530286295062696,3.009002360611511,2000,-3.009002360611511,-2.530286295062696,2000,0.09390048154093097,0.12903288128832827,2000
direct,6,5,321,0,907,0,1228,1228,1.0,0.26140065146579805,1.0,0.26140065146579805,,,,0.4144609425435765,,1.0,2.7009345794392523,-2.7009345794392523,3.0,5.25,0.27414330218068533,0.38006230529595014,0.6261682242990654,0.0993485342019544,0.22843365072684388,0.2972578203303821,2000,1.0,1.0,2000,0.22843365072684388,0.2972578203303821,2000,0.3719104415168562,0.45828641764664135,2000,,,0,2.4780351627328048,2.8946959816284727,2000,-2.8946959816284727,-2.478035162732805,2000,0.08451927955352612,0.11471423899268222,2000
direct,6,9,273,0,822,0,1095,1095,1.0,0.2493150684931507,1.0,0.2493150684931507,,,,0.3991228070175439,,1.0,2.6538461538461537,-2.6538461538461537,2.25,5.25,0.29304029304029305,0.39194139194139194,0.6190476190476191,0.09771689497716896,0.21127421020713705,0.2877247557548898,2000,1.0,1.0,2000,0.21127421020713705,0.2877247557548898,2000,0.3488462111943002,0.44687306718053116,2000,,,0,2.4087205583565354,2.9043320105820105,2000,-2.9043320105820105,-2.4087205583565354,2000,0.07669456049430262,0.1200346239360608,2000
direct,9,3,343,0,1023,0,1366,1366,1.0,0.25109809663250365,1.0,0.25109809663250365,,,,0.4014043300175541,,1.0,4.182944606413995,-4.182944606413995,3.75,8.25,0.13994169096209913,0.25072886297376096,0.4314868804664723,0.0629575402635432,0.21956099229254947,0.28496381659068065,2000,1.0,1.0,2000,0.21956099229254947,0.28496381659068065,2000,0.36006561974200785,0.4435359380950732,2000,,,0,3.922016249776533,4.402603776435045,2000,-4.402603776435045,-3.922016249776533,2000,0.05160404947487657,0.07547206519345129,2000
direct,9,5,302,0,984,0,1286,1286,1.0,0.23483670295489892,1.0,0.23483670295489892,,,,0.380352644836272,,1.0,4.125,-4.125,3.75,8.25,0.1490066225165563,0.27483443708609273,0.44370860927152317,0.0645412130637636,0.20470990526335642,0.26823672883787664,2000,1.0,1.0,2000,0.20470990526335642,0.26823672883787664,2000,0.3398492936602937,0.42300734979306404,2000,,,0,3.814341036893,4.441788789155523,2000,-4.441788789155523,-3.814341036893,2000,0.051994138634046894,0.07740927062560969,2000
direct,9,9,285,0,898,0,1183,1183,1.0,0.24091293322062554,1.0,0.24091293322062554,,,,0.388283378746594,,1.0,4.0131578947368425,-4.0131578947368425,3.75,8.25,0.20350877192982456,0.312280701754386,0.47017543859649125,0.07523245984784446,0.21143015550233435,0.2704296545914069,2000,1.0,1.0,2000,0.21143015550233435,0.2704296545914069,2000,0.3490587621910078,0.42572944297082227,2000,,,0,3.725083631518133,4.302062698576041,2000,-4.302062698576042,-3.725083631518133,2000,0.06103119110546095,0.09142004438591356,2000
persistence,3,3,203,0,1010,0,1213,1213,1.0,0.16735366859027206,1.0,0.16735366859027206,,,,0.2867231638418079,,1.0,2.25,-2.25,2.25,2.25,0.0,0.0,1.0,0.0,0.14364249396865167,0.19469226042755572,2000,1.0,1.0,2000,0.14364249396865167,0.19469226042755572,2000,0.2512017422737121,0.3259287211740042,2000,,,0,2.25,2.25,2000,-2.25,-2.25,2000,0.0,0.0,2000
persistence,3,5,178,0,889,0,1067,1067,1.0,0.1668228678537957,1.0,0.1668228678537957,,,,0.2859437751004016,,1.0,2.25,-2.25,2.25,2.25,0.0,0.0,1.0,0.0,0.13981148292911158,0.20021118687717768,2000,1.0,1.0,2000,0.13981148292911158,0.20021118687717768,2000,0.24532387152643126,0.33362659620578133,2000,,,0,2.25,2.25,2000,-2.25,-2.25,2000,0.0,0.0,2000
persistence,3,9,163,0,787,0,950,950,1.0,0.17157894736842105,1.0,0.17157894736842105,,,,0.29290206648697215,,0.9999999999999999,2.25,-2.25,2.25,2.25,0.0,0.0,1.0,0.0,0.1452987421383648,0.20400033444816051,2000,1.0,1.0,2000,0.1452987421383648,0.20400033444816051,2000,0.2537307285647545,0.33887089331856773,2000,,,0,2.25,2.25,2000,-2.25,-2.25,2000,0.0,0.0,2000
persistence,6,3,278,0,1046,0,1324,1324,1.0,0.20996978851963746,1.0,0.20996978851963746,,,,0.3470661672908864,,0.9999999999999999,5.25,-5.25,5.25,5.25,0.0,0.0,0.0,0.0,0.17550020684026973,0.2434967248767807,2000,1.0,1.0,2000,0.17550020684026973,0.2434967248767807,2000,0.29859664128788155,0.39163227266675543,2000,,,0,5.25,5.25,2000,-5.25,-5.25,2000,0.0,0.0,2000
persistence,6,5,281,0,947,0,1228,1228,1.0,0.2288273615635179,1.0,0.2288273615635179,,,,0.3724320742213386,,1.0,5.25,-5.25,5.25,5.25,0.0,0.0,0.0,0.0,0.19327571128731344,0.2654456881688059,2000,1.0,1.0,2000,0.19327571128731344,0.2654456881688059,2000,0.32394141230213874,0.41952916729325873,2000,,,0,5.25,5.25,2000,-5.25,-5.25,2000,0.0,0.0,2000
persistence,6,9,149,0,946,0,1095,1095,1.0,0.13607305936073058,1.0,0.13607305936073058,,,,0.2395498392282958,,1.0,5.25,-5.25,5.25,5.25,0.0,0.0,0.0,0.0,0.10774510857801943,0.165736682317049,2000,1.0,1.0,2000,0.10774510857801943,0.165736682317049,2000,0.19453050637167388,0.2843466878849354,2000,,,0,5.25,5.25,2000,-5.25,-5.25,2000,0.0,0.0,2000
persistence,9,3,234,0,1132,0,1366,1366,1.0,0.17130307467057102,1.0,0.17130307467057102,,,,0.2925,,1.0,8.25,-8.25,8.25,8.25,0.0,0.0,0.0,0.0,0.13949477379760053,0.20446260247976888,2000,1.0,1.0,2000,0.13949477379760053,0.20446260247976888,2000,0.24483617745479377,0.3395084280522694,2000,,,0,8.25,8.25,2000,-8.25,-8.25,2000,0.0,0.0,2000
persistence,9,5,207,0,1079,0,1286,1286,1.0,0.16096423017107309,1.0,0.16096423017107309,,,,0.2772940388479571,,1.0,8.25,-8.25,8.25,8.25,0.0,0.0,0.0,0.0,0.12764088831140022,0.1976629105610629,2000,1.0,1.0,2000,0.12764088831140022,0.1976629105610629,2000,0.2263857042067202,0.3300810407761845,2000,,,0,8.25,8.25,2000,-8.25,-8.25,2000,0.0,0.0,2000
persistence,9,9,198,0,985,0,1183,1183,1.0,0.16737109044801352,1.0,0.16737109044801352,,,,0.28674873280231716,,1.0,8.25,-8.25,8.25,8.25,0.0,0.0,0.0,0.0,0.13410828168370645,0.20210745238856193,2000,1.0,1.0,2000,0.13410828168370645,0.20210745238856193,2000,0.23649995717670794,0.3362552176893489,2000,,,0,8.25,8.25,2000,-8.25,-8.25,2000,0.0,0.0,2000
history_mean,3,3,407,0,806,0,1213,1213,1.0,0.33553173948887055,1.0,0.33553173948887055,,,,0.5024691358024691,,1.0,2.25,-2.25,2.25,2.25,0.0,0.0,1.0,0.0,0.2863997353497164,0.38632628028212207,2000,1.0,1.0,2000,0.2863997353497164,0.38632628028212207,2000,0.4452733119852611,0.5573381760579686,2000,,,0,2.25,2.25,2000,-2.25,-2.25,2000,0.0,0.0,2000
history_mean,3,5,361,0,706,0,1067,1067,1.0,0.338331771321462,1.0,0.338331771321462,,,,0.5056022408963585,,1.0,2.25,-2.25,2.25,2.25,0.0,0.0,1.0,0.0,0.29007368269442146,0.3914065863553568,2000,1.0,1.0,2000,0.29007368269442146,0.3914065863553568,2000,0.44970095339610355,0.5626056204056592,2000,,,0,2.25,2.25,2000,-2.25,-2.25,2000,0.0,0.0,2000
history_mean,3,9,57,0,893,0,950,950,1.0,0.06,1.0,0.06,,,,0.11320754716981132,,0.9999999999999999,2.25,-2.25,2.25,2.25,0.0,0.0,1.0,0.0,0.043130909806231056,0.07854805827748161,2000,1.0,1.0,2000,0.043130909806231056,0.07854805827748161,2000,0.08269510427159238,0.14565518443402203,2000,,,0,2.25,2.25,2000,-2.25,-2.25,2000,0.0,0.0,2000
history_mean,6,3,317,0,1007,0,1324,1324,1.0,0.2394259818731118,1.0,0.2394259818731118,,,,0.3863497867154174,,0.9999999999999999,5.25,-5.25,5.25,5.25,0.0,0.0,0.0,0.0,0.1997310983906158,0.2829570837887933,2000,1.0,1.0,2000,0.1997310983906158,0.2829570837887933,2000,0.3329597751379168,0.44110140129350167,2000,,,0,5.25,5.25,2000,-5.25,-5.25,2000,0.0,0.0,2000
history_mean,6,5,294,0,934,0,1228,1228,1.0,0.23941368078175895,1.0,0.23941368078175895,,,,0.38633377135348224,,1.0,5.25,-5.25,5.25,5.25,0.0,0.0,0.0,0.0,0.19860186430717197,0.2865542641108559,2000,1.0,1.0,2000,0.19860186430717197,0.2865542641108559,2000,0.3313892129528932,0.4454600503302925,2000,,,0,5.25,5.25,2000,-5.25,-5.25,2000,0.0,0.0,2000
history_mean,6,9,269,0,826,0,1095,1095,1.0,0.245662100456621,1.0,0.245662100456621,,,,0.3944281524926686,,1.0,5.25,-5.25,5.25,5.25,0.0,0.0,0.0,0.0,0.2051253357206804,0.2909043372086849,2000,1.0,1.0,2000,0.2051253357206804,0.2909043372086849,2000,0.34042158009547596,0.45069851296320956,2000,,,0,5.25,5.25,2000,-5.25,-5.25,2000,0.0,0.0,2000
history_mean,9,3,250,0,1116,0,1366,1366,1.0,0.18301610541727673,1.0,0.18301610541727673,,,,0.3094059405940594,,1.0,8.25,-8.25,8.25,8.25,0.0,0.0,0.0,0.0,0.14840642855800315,0.2214663643235072,2000,1.0,1.0,2000,0.14840642855800315,0.2214663643235072,2000,0.2584562825709323,0.3626237623762376,2000,,,0,8.25,8.25,2000,-8.25,-8.25,2000,0.0,0.0,2000
history_mean,9,5,256,0,1030,0,1286,1286,1.0,0.19906687402799378,1.0,0.19906687402799378,,,,0.3320363164721141,,1.0,8.25,-8.25,8.25,8.25,0.0,0.0,0.0,0.0,0.16064661399936078,0.24138104489002984,2000,1.0,1.0,2000,0.16064661399936078,0.24138104489002984,2000,0.27682261242977735,0.3888911399243652,2000,,,0,8.25,8.25,2000,-8.25,-8.25,2000,0.0,0.0,2000
history_mean,9,9,244,0,939,0,1183,1183,1.0,0.2062552831783601,1.0,0.2062552831783601,,,,0.3419761737911703,,1.0,8.25,-8.25,8.25,8.25,0.0,0.0,0.0,0.0,0.16764947470142227,0.24819828725600496,2000,1.0,1.0,2000,0.16764947470142227,0.24819828725600496,2000,0.28715719628817865,0.3976904775924383,2000,,,0,8.25,8.25,2000,-8.25,-8.25,2000,0.0,0.0,2000
linear_trend,3,3,252,0,961,0,1213,1213,1.0,0.20774938169826876,1.0,0.20774938169826876,,,,0.3440273037542662,,1.0,1.4494047619047619,-1.4494047619047619,1.5,2.25,0.3611111111111111,0.5317460317460317,1.0,0.11046990931574609,0.18331888809827565,0.2353437661340724,2000,1.0,1.0,2000,0.18331888809827565,0.2353437661340724,2000,0.30983852263772477,0.38101744975304924,2000,,,0,1.3316667195834393,1.560970067086598,2000,-1.560970067086598,-1.3316667195834393,2000,0.09224140708915145,0.13073943462188098,2000
linear_trend,3,5,200,0,867,0,1067,1067,1.0,0.18744142455482662,1.0,0.18744142455482662,,,,0.31570639305445936,,1.0,1.39875,-1.39875,1.5,2.25,0.385,0.56,1.0,0.1049671977507029,0.1631236010470807,0.2167158184717993,2000,1.0,1.0,2000,0.1631236010470807,0.2167158184717993,2000,0.280492286115007,0.3562307893190572,2000,,,0,1.2558001835985313,1.535126329787234,2000,-1.5351263297872342,-1.2558001835985313,2000,0.08905858591211989,0.12296600718782161,2000
linear_trend,3,9,183,0,767,0,950,950,1.0,0.19263157894736843,1.0,0.19263157894736843,,,,0.323036187113857,,0.9999999999999999,1.4139344262295082,-1.4139344262295082,1.5,2.25,0.3770491803278688,0.5519125683060109,1.0,0.10631578947368421,0.16877116697016628,0.22095473693320297,2000,1.0,1.0,2000,0.16877116697016628,0.22095473693320297,2000,0.2888010446116249,0.3619376382197725,2000,,,0,1.265881990496117,1.5567664092664093,2000,-1.5567664092664093,-1.265881990496117,2000,0.08883609432263494,0.12593577460965694,2000
linear_trend,6,3,171,0,1153,0,1324,1324,1.0,0.12915407854984895,1.0,0.12915407854984895,,,,0.22876254180602007,,0.9999999999999999,2.6666666666666665,-2.6666666666666665,2.25,5.25,0.27485380116959063,0.4152046783625731,0.5964912280701754,0.05362537764350453,0.10326309097821117,0.15470761346119197,2000,1.0,1.0,2000,0.10326309097821117,0.15470761346119197,2000,0.18719576791808873,0.2679598046280727,2000,,,0,2.418863547827319,2.912990472432067,2000,-2.912990472432067,-2.418863547827319,2000,0.039471799125320464,0.06912613214494492,2000
linear_trend,6,5,159,0,1069,0,1228,1228,1.0,0.12947882736156352,1.0,0.12947882736156352,,,,0.22927180966113914,,1.0,2.7264150943396226,-2.7264150943396226,3.0,5.25,0.24528301886792453,0.37735849056603776,0.6037735849056604,0.048859934853420196,0.10351659957581266,0.15535356875353948,2000,1.0,1.0,2000,0.10351659957581266,0.15535356875353948,2000,0.18761221055686023,0.2689281832004912,2000,,,0,2.46875,2.979052033492823,2000,-2.979052033492823,-2.46875,2000,0.034534363670045254,0.06389813710378281,2000
linear_trend,6,9,133,0,962,0,1095,1095,1.0,0.12146118721461187,1.0,0.12146118721461187,,,,0.21661237785016288,,1.0,2.8026315789473686,-2.8026315789473686,3.0,5.25,0.24060150375939848,0.37593984962406013,0.6165413533834586,0.045662100456621,0.09404055924831371,0.14675171174520557,2000,1.0,1.0,2000,0.09404055924831371,0.14675171174520557,2000,0.17191421003161583,0.2559433052513868,2000,,,0,2.4733934732604945,3.146642072701438,2000,-3.1466420727014386,-2.4733934732604945,2000,0.029946291675720136,0.06373269896193767,2000
linear_trend,9,3,123,0,1243,0,1366,1366,1.0,0.09004392386530015,1.0,0.09004392386530015,,,,0.16521155137676294,,1.0,4.128048780487805,-4.128048780487805,4.5,7.5,0.14634146341463414,0.25203252032520324,0.42276422764227645,0.022693997071742314,0.06871181092047801,0.11299254882896216,2000,1.0,1.0,2000,0.06871181092047801,0.11299254882896216,2000,0.1285880975683782,0.20304277655632735,2000,,,0,3.6479098783082855,4.546574327405381,2000,-4.546574327405381,-3.6479098783082864,2000,0.014327731092436975,0.03177478499966279,2000
linear_trend,9,5,124,0,1162,0,1286,1286,1.0,0.09642301710730948,1.0,0.09642301710730948,,,,0.17588652482269504,,1.0,3.9254032258064515,-3.9254032258064515,4.125,7.5,0.1693548387096774,0.29838709677419356,0.4274193548387097,0.028771384136858476,0.07534499488710446,0.11792259941065295,2000,1.0,1.0,2000,0.07534499488710446,0.11792259941065295,2000,0.1401317622256522,0.21096737300936508,2000,,,0,3.435483870967742,4.3654560810810805,2000,-4.3654560810810805,-3.435483870967742,2000,0.021030361791614584,0.03745535233514017,2000
linear_trend,9,9,120,0,1063,0,1183,1183,1.0,0.1014370245139476,1.0,0.1014370245139476,,,,0.1841903300076746,,1.0,3.875,-3.875,3.75,7.5,0.19166666666666668,0.2833333333333333,0.44166666666666665,0.028740490278951817,0.08339125422262572,0.12119154230389947,2000,1.0,1.0,2000,0.08339125422262572,0.12119154230389947,2000,0.15394485264122781,0.21618347468713206,2000,,,0,3.402669270833333,4.3464758311461065,2000,-4.346475831146107,-3.402669270833334,2000,0.020286827709735198,0.03807111529192748,2000
observed_future,3,3,704,0,509,0,1213,1213,1.0,0.5803792250618302,1.0,0.5803792250618302,,,,0.7344809598330725,,1.0,0.33984375,-0.33984375,0.0,1.5,0.8409090909090909,0.9275568181818182,1.0,0.5383347073371806,0.5398560236016386,0.6238276675960787,2000,1.0,1.0,2000,0.5398560236016386,0.6238276675960787,2000,0.7011772727674012,0.7683422076021355,2000,,,0,0.29046437072939896,0.38896201109633627,2000,-0.3889620110963364,-0.29046437072939896,2000,0.5008536255411256,0.578463601532567,2000
observed_future,3,5,458,0,609,0,1067,1067,1.0,0.42924086223055297,1.0,0.42924086223055297,,,,0.600655737704918,,1.0,0.24563318777292575,-0.24563318777292575,0.0,1.5,0.8799126637554585,0.9454148471615721,1.0,0.40581068416119964,0.3820332863782069,0.4758468133907482,2000,1.0,1.0,2000,0.3820332863782069,0.4758468133907482,2000,0.5528568524970964,0.6448458042151457,2000,,,0,0.17955624026066017,0.32018335504083345,2000,-0.32018335504083356,-0.17955624026066017,2000,0.35936030103480715,0.4515643530348286,2000
observed_future,3,9,370,0,580,0,950,950,1.0,0.3894736842105263,1.0,0.3894736842105263,,,,0.5606060606060606,,0.9999999999999999,0.21283783783783783,-0.21283783783783783,0.0,1.5,0.8918918918918919,0.9513513513513514,1.0,0.3705263157894737,0.34736684525685474,0.431436140311019,2000,1.0,1.0,2000,0.34736684525685474,0.431436140311019,2000,0.5156232638888889,0.6028017984725302,2000,,,0,0.15274521884092487,0.28535825118656444,2000,-0.28535825118656444,-0.15274521884092487,2000,0.3291324495839797,0.41255233963567295,2000
observed_future,6,3,711,0,613,0,1324,1324,1.0,0.5370090634441088,1.0,0.5370090634441088,,,,0.6987714987714988,,0.9999999999999999,0.570675105485232,-0.570675105485232,0.0,2.25,0.7932489451476793,0.8677918424753868,0.9507735583684951,0.466012084592145,0.49406394925282965,0.5799740665194556,2000,1.0,1.0,2000,0.49406394925282965,0.5799740665194556,2000,0.6613692131034661,0.7341564379813729,2000,,,0,0.45671731793410947,0.6912754605361688,2000,-0.6912754605361688,-0.45671731793410963,2000,0.4231267223089304,0.5086264113518462,2000
observed_future,6,5,487,0,741,0,1228,1228,1.0,0.3965798045602606,1.0,0.3965798045602606,,,,0.567930029154519,,1.0,0.6853182751540041,-0.6853182751540041,0.0,3.0,0.7515400410677618,0.813141683778234,0.9322381930184805,0.32247557003257327,0.35944589100451113,0.4321392760016621,2000,1.0,1.0,2000,0.35944589100451113,0.4321392760016621,2000,0.5288123541463522,0.6034877796701457,2000,,,0,0.5386330321367075,0.8337016164540748,2000,-0.8337016164540748,-0.5386330321367078,2000,0.2857142857142857,0.3605138923015678,2000
observed_future,6,9,416,0,679,0,1095,1095,1.0,0.37990867579908677,1.0,0.37990867579908677,,,,0.5506287227001986,,1.0,0.6905048076923077,-0.6905048076923077,0.0,3.0,0.7596153846153846,0.8149038461538461,0.9254807692307693,0.3095890410958904,0.346184228393761,0.41412871101709237,2000,1.0,1.0,2000,0.346184228393761,0.41412871101709237,2000,0.5143192453889811,0.585701580514793,2000,,,0,0.5463312258322592,0.8363226686995868,2000,-0.8363226686995868,-0.5463312258322593,2000,0.28017755537492384,0.3407946721952746,2000
observed_future,9,3,753,0,613,0,1366,1366,1.0,0.5512445095168375,1.0,0.5512445095168375,,,,0.7107126002831524,,1.0,0.7629482071713147,-0.7629482071713147,0.0,3.0,0.7662682602921647,0.8459495351925631,0.9296148738379814,0.4663250366032211,0.5087438496891052,0.5942277914778918,2000,1.0,1.0,2000,0.5087438496891052,0.5942277914778918,2000,0.6743939281610261,0.7454741342839899,2000,,,0,0.6309190187803863,0.9020659166988824,2000,-0.9020659166988825,-0.6309190187803863,2000,0.424085401459854,0.5098095398617899,2000
