method,horizon_ps,persistence_frames,tp,fp,fn,tn,n,positive,prevalence,accuracy,precision,recall,specificity,false_positive_rate,balanced_accuracy,f1,auroc,average_precision,timing_mae_ps,timing_bias_ps,timing_median_absolute_error_ps,timing_p90_absolute_error_ps,timing_within_0_75_ps,timing_within_1_5_ps,timing_within_3_ps,timed_within_1_5_ps_recall,accuracy_ci95_lower,accuracy_ci95_upper,accuracy_bootstrap_valid,precision_ci95_lower,precision_ci95_upper,precision_bootstrap_valid,recall_ci95_lower,recall_ci95_upper,recall_bootstrap_valid,f1_ci95_lower,f1_ci95_upper,f1_bootstrap_valid,false_positive_rate_ci95_lower,false_positive_rate_ci95_upper,false_positive_rate_bootstrap_valid,timing_mae_ps_ci95_lower,timing_mae_ps_ci95_upper,timing_mae_ps_bootstrap_valid,timing_bias_ps_ci95_lower,timing_bias_ps_ci95_upper,timing_bias_ps_bootstrap_valid,timed_within_1_5_ps_recall_ci95_lower,timed_within_1_5_ps_recall_ci95_upper,timed_within_1_5_ps_recall_bootstrap_valid
ar,3,3,410,0,803,0,1213,1213,1.0,0.33800494641385,1.0,0.33800494641385,,,,0.5052372150338879,,1.0,1.4579268292682928,-1.4579268292682928,2.25,2.25,0.348780487804878,0.44878048780487806,1.0,0.15169002473206925,0.30762586768555233,0.3706357680058325,2000,1.0,1.0,2000,0.30762586768555233,0.3706357680058325,2000,0.4705105260361535,0.5408231371784097,2000,,,0,1.3553858998661907,1.555265507518797,2000,-1.555265507518797,-1.355385899866191,2000,0.128406662537054,0.17567471120251132,2000
ar,3,5,332,0,735,0,1067,1067,1.0,0.31115276476101217,1.0,0.31115276476101217,,,,0.4746247319513939,,1.0,1.4164156626506024,-1.4164156626506024,2.25,2.25,0.37650602409638556,0.47289156626506024,1.0,0.1471415182755389,0.2879717076892425,0.338977034064946,2000,1.0,1.0,2000,0.2879717076892425,0.338977034064946,2000,0.44717085809343693,0.5063223982037377,2000,,,0,1.304153948288571,1.5299098114979055,2000,-1.5299098114979055,-1.304153948288571,2000,0.12511936609676935,0.17019600438689875,2000
ar,3,9,306,0,644,0,950,950,1.0,0.32210526315789473,1.0,0.32210526315789473,,,,0.4872611464968153,,0.9999999999999999,1.4191176470588236,-1.4191176470588236,2.25,2.25,0.3758169934640523,0.4673202614379085,1.0,0.15052631578947367,0.29479616671737147,0.3530781940636283,2000,1.0,1.0,2000,0.29479616671737147,0.3530781940636283,2000,0.4553553281068525,0.5218888241906656,2000,,,0,1.3076650943396226,1.5318245364832535,2000,-1.5318245364832535,-1.3076650943396229,2000,0.12499674817898022,0.1765318196978406,2000
ar,6,3,427,0,897,0,1324,1324,1.0,0.32250755287009064,1.0,0.32250755287009064,,,,0.48772130211307824,,0.9999999999999999,2.9771662763466042,-2.9771662763466042,3.0,5.25,0.1873536299765808,0.3091334894613583,0.5925058548009368,0.09969788519637462,0.2927645804735237,0.3535823242726394,2000,1.0,1.0,2000,0.2927645804735237,0.3535823242726394,2000,0.4529279066385516,0.5224393340857788,2000,,,0,2.7988439685314686,3.153238328992186,2000,-3.153238328992186,-2.7988439685314686,2000,0.08533720797868852,0.11512019583157276,2000
ar,6,5,333,0,895,0,1228,1228,1.0,0.2711726384364821,1.0,0.2711726384364821,,,,0.42664958360025623,,1.0,2.5833333333333335,-2.5833333333333335,2.25,5.25,0.2552552552552553,0.3813813813813814,0.6846846846846847,0.10342019543973942,0.23922703984418003,0.3054985033168773,2000,1.0,1.0,2000,0.23922703984418003,0.3054985033168773,2000,0.3860907335907336,0.46801815641487265,2000,,,0,2.434169046149097,2.7332271765311136,2000,-2.7332271765311136,-2.4341690461490972,2000,0.08705532076580051,0.11925933438481019,2000
ar,6,9,320,0,775,0,1095,1095,1.0,0.2922374429223744,1.0,0.2922374429223744,,,,0.45229681978798586,,1.0,2.64609375,-2.64609375,2.25,5.25,0.25,0.378125,0.6625,0.11050228310502283,0.2574846352988224,0.32967476914720256,2000,1.0,1.0,2000,0.2574846352988224,0.32967476914720256,2000,0.40952331037236694,0.4958727898912446,2000,,,0,2.496484089322519,2.8009833666476296,2000,-2.8009833666476296,-2.496484089322519,2000,0.09361092884222806,0.12800197044334974,2000
ar,9,3,351,0,1015,0,1366,1366,1.0,0.2569546120058565,1.0,0.2569546120058565,,,,0.40885264997087944,,1.0,4.848290598290598,-4.848290598290598,5.25,8.25,0.10826210826210826,0.15669515669515668,0.31054131054131057,0.04026354319180088,0.21762296598745198,0.2979506121130493,2000,1.0,1.0,2000,0.21762296598745198,0.2979506121130493,2000,0.35745542267022135,0.4591093199630866,2000,,,0,4.595292594247644,5.08740228472418,2000,-5.087402284724181,-4.595292594247644,2000,0.02735446344649113,0.05453183912861332,2000
ar,9,5,299,0,987,0,1286,1286,1.0,0.23250388802488337,1.0,0.23250388802488337,,,,0.3772870662460568,,1.0,4.6806020066889635,-4.6806020066889635,5.25,8.25,0.11705685618729098,0.17391304347826086,0.32441471571906355,0.04043545878693624,0.19613659077083515,0.27132673784379713,2000,1.0,1.0,2000,0.19613659077083515,0.27132673784379713,2000,0.3279501549116092,0.4268402914886743,2000,,,0,4.392821067821068,4.951922919397116,2000,-4.951922919397116,-4.392821067821068,2000,0.02848460473836871,0.05378332926144747,2000
ar,9,9,277,0,906,0,1183,1183,1.0,0.23415046491969568,1.0,0.23415046491969568,,,,0.37945205479452054,,1.0,4.581227436823105,-4.581227436823105,4.5,8.25,0.11191335740072202,0.19133574007220217,0.36101083032490977,0.044801352493660185,0.19719593260497564,0.27252082156973456,2000,1.0,1.0,2000,0.19719593260497564,0.27252082156973456,2000,0.32942967350874774,0.4283164821755426,2000,,,0,4.29836903561828,4.866444341948374,2000,-4.866444341948374,-4.29836903561828,2000,0.032618572470521495,0.059886025192735816,2000
direct,3,3,392,0,821,0,1213,1213,1.0,0.3231657048639736,1.0,0.3231657048639736,,,,0.4884735202492212,,1.0,1.4521683673469388,-1.4521683673469388,1.5,2.25,0.3469387755102041,0.5535714285714286,1.0,0.17889530090684255,0.29137370295803006,0.3535569173852155,2000,1.0,1.0,2000,0.29137370295803006,0.3535569173852155,2000,0.45126163283579246,0.5224115993847591,2000,,,0,1.3561840537780803,1.5463291637103989,2000,-1.5463291637103989,-1.3561840537780803,2000,0.157153474927077,0.20097258133285348,2000
direct,3,5,327,0,740,0,1067,1067,1.0,0.3064667291471415,1.0,0.3064667291471415,,,,0.46915351506456243,,1.0,1.3623853211009174,-1.3623853211009174,1.5,2.25,0.39755351681957185,0.5840978593272171,1.0,0.1790065604498594,0.277873118707135,0.33709986006352305,2000,1.0,1.0,2000,0.277873118707135,0.33709986006352305,2000,0.4348993866670627,0.5042254062422189,2000,,,0,1.2416465946843853,1.4751506024096386,2000,-1.4751506024096386,-1.2416465946843855,2000,0.15963829982090522,0.19940498010054464,2000
direct,3,9,208,0,742,0,950,950,1.0,0.21894736842105264,1.0,0.21894736842105264,,,,0.3592400690846287,,0.9999999999999999,1.1322115384615385,-1.1322115384615385,0.75,2.25,0.5096153846153846,0.7163461538461539,1.0,0.1568421052631579,0.19269129917750674,0.2457902699236285,2000,1.0,1.0,2000,0.19269129917750674,0.2457902699236285,2000,0.32312014894978763,0.3945933368039826,2000,,,0,1.0105460063009637,1.2596767955801103,2000,-1.2596767955801105,-1.010546006300964,2000,0.13028908873827708,0.18522374123282204,2000
