task,family,method,source,temperature_K,caliper_A,target,n,loss,true_contrast_rms,discordant,concordance
structure,linear,radial,911,400.0,0.05,q4,2,0.01502458258743619,0.156088250809767,,
structure,linear,radial,911,400.0,0.05,q6,2,0.09116829316826475,0.1392019094762592,,
structure,linear,radial,911,400.0,0.05,w4,2,0.15544128334286508,0.32627599448075145,,
structure,linear,radial,911,400.0,0.05,w6,2,0.007026843862676739,0.10278381802583629,,
structure,linear,radial,911,400.0,0.05,qbar6,2,0.07107439039770322,0.010945204147925254,,
structure,linear,radial,911,400.0,0.05,q6_coherence,2,0.0528027521614324,0.010117604830586538,,
structure,linear,radial,911,400.0,0.05,bond_order,2,0.0654230242533964,0.16380039422338022,,
structure,linear,radial,911,400.0,0.05,angular_arrangement,2,0.25479617215484207,0.5322235002296847,,
structure,linear,radial,942,450.0,0.05,q4,1,0.02103928887357345,0.07125223941609359,,
structure,linear,radial,942,450.0,0.05,q6,1,0.0014134833296187235,0.06103165057492276,,
structure,linear,radial,942,450.0,0.05,w4,1,0.004833658709368559,0.03636067633642757,,
structure,linear,radial,942,450.0,0.05,w6,1,0.009323762721337853,0.04322356139918561,,
structure,linear,radial,942,450.0,0.05,qbar6,1,0.00011847841945432731,0.008611071169454941,,
structure,linear,radial,942,450.0,0.05,q6_coherence,1,0.00826531363805563,0.007597365575279685,,
structure,linear,radial,942,450.0,0.05,bond_order,1,0.007498997615234758,0.04495180668921859,,
structure,linear,radial,942,450.0,0.05,angular_arrangement,1,0.06277316460622809,0.32707166763148465,,
structure,linear,radial,911,400.0,0.1,q4,172,0.2761775484147247,0.5129617611641258,,
structure,linear,radial,911,400.0,0.1,q6,172,0.16037748648588784,0.3632021794368057,,
structure,linear,radial,911,400.0,0.1,w4,172,0.2551013942053585,0.49744097044318036,,
structure,linear,radial,911,400.0,0.1,w6,172,0.4477203008269439,0.6638800808971207,,
structure,linear,radial,911,400.0,0.1,qbar6,172,0.1054330684453871,0.22915969927435692,,
structure,linear,radial,911,400.0,0.1,q6_coherence,172,0.12823470933410983,0.29521688689862785,,
structure,linear,radial,911,400.0,0.1,bond_order,172,0.22884075128540196,0.45146004816471097,,
structure,linear,radial,911,400.0,0.1,angular_arrangement,172,0.3169263980489608,0.6602420100754829,,
structure,linear,radial,913,400.0,0.1,q4,126,0.9060363512380182,0.9901612518647169,,
structure,linear,radial,913,400.0,0.1,q6,126,0.3377248353584035,0.5607878068733738,,
structure,linear,radial,913,400.0,0.1,w4,126,0.736125758720756,0.8555991044523487,,
structure,linear,radial,913,400.0,0.1,w6,126,2.8945164010622877,1.6771434451029166,,
structure,linear,radial,913,400.0,0.1,qbar6,126,0.11957144378315458,0.22420826642845748,,
structure,linear,radial,913,400.0,0.1,q6_coherence,126,0.19185727255033866,0.3479095132100854,,
structure,linear,radial,913,400.0,0.1,bond_order,126,0.8643053437854932,0.9138811564002205,,
structure,linear,radial,913,400.0,0.1,angular_arrangement,126,0.5850552947543431,0.8405749525289181,,
structure,linear,radial,938,450.0,0.1,q4,91,0.7552239469928342,0.8364226129056815,,
structure,linear,radial,938,450.0,0.1,q6,91,0.17156458690113469,0.4054583993753211,,
structure,linear,radial,938,450.0,0.1,w4,91,0.4986708107612067,0.6500793215477096,,
structure,linear,radial,938,450.0,0.1,w6,91,0.5813681311306661,0.7672954258749177,,
structure,linear,radial,938,450.0,0.1,qbar6,91,0.10637385131087145,0.30420198887482397,,
structure,linear,radial,938,450.0,0.1,q6_coherence,91,0.10474716017679789,0.31039136618588287,,
structure,linear,radial,938,450.0,0.1,bond_order,91,0.3696580812122519,0.5865472908064907,,
structure,linear,radial,938,450.0,0.1,angular_arrangement,91,0.48635496493302816,0.8034480382537533,,
structure,linear,radial,942,450.0,0.1,q4,191,0.4691242436766454,0.6848081239315917,,
structure,linear,radial,942,450.0,0.1,q6,191,0.09845469928332444,0.3045996571495689,,
structure,linear,radial,942,450.0,0.1,w4,191,0.41907450186571876,0.6029434399457076,,
structure,linear,radial,942,450.0,0.1,w6,191,0.3707259077136262,0.5997974191256887,,
structure,linear,radial,942,450.0,0.1,qbar6,191,0.0571798590264738,0.17430126477279742,,
structure,linear,radial,942,450.0,0.1,q6_coherence,191,0.07085333009409878,0.2258745204172401,,
structure,linear,radial,942,450.0,0.1,bond_order,191,0.24756875694331462,0.4772213119327441,,
structure,linear,radial,942,450.0,0.1,angular_arrangement,191,0.3243554297289878,0.7073908013359534,,
structure,linear,radial,970,500.0,0.1,q4,156,0.3114845037603399,0.5427958532186881,,
structure,linear,radial,970,500.0,0.1,q6,156,0.10765691729981186,0.31415844042898583,,
structure,linear,radial,970,500.0,0.1,w4,156,0.30837988514139486,0.5471450551937437,,
structure,linear,radial,970,500.0,0.1,w6,156,0.22653638574154947,0.4735897075452456,,
structure,linear,radial,970,500.0,0.1,qbar6,156,0.0676334812740053,0.13339467402976257,,
structure,linear,radial,970,500.0,0.1,q6_coherence,156,0.04459156824938519,0.14387694799707285,,
structure,linear,radial,970,500.0,0.1,bond_order,156,0.17771379024441444,0.39905565645750707,,
structure,linear,radial,970,500.0,0.1,angular_arrangement,156,0.3493348426564326,0.7414295025787065,,
structure,linear,radial,971,500.0,0.1,q4,142,0.4824283713182848,0.6561699949959883,,
structure,linear,radial,971,500.0,0.1,q6,142,0.1777361962350656,0.428707105312773,,
structure,linear,radial,971,500.0,0.1,w4,142,0.4699918573808742,0.7058237690180038,,
structure,linear,radial,971,500.0,0.1,w6,142,0.4364723156262248,0.6486561218081057,,
structure,linear,radial,971,500.0,0.1,qbar6,142,0.14085996216820426,0.3345009800219259,,
structure,linear,radial,971,500.0,0.1,q6_coherence,142,0.14539005542628697,0.3353274547235976,,
structure,linear,radial,971,500.0,0.1,bond_order,142,0.3088131263591567,0.541237195272036,,
structure,linear,radial,971,500.0,0.1,angular_arrangement,142,0.46134552665241285,0.8220813036374066,,
structure,linear,radial,1000,510.0,0.1,q4,33,1.718431203667546,1.2447935951461606,,
structure,linear,radial,1000,510.0,0.1,q6,33,0.8056091834007402,0.8570341052940958,,
structure,linear,radial,1000,510.0,0.1,w4,33,1.1376941378590821,1.0437125453475344,,
structure,linear,radial,1000,510.0,0.1,w6,33,3.577083184970597,1.8846070503100016,,
structure,linear,radial,1000,510.0,0.1,qbar6,33,0.12912611324300088,0.3222112522060935,,
structure,linear,radial,1000,510.0,0.1,q6_coherence,33,0.217766815485016,0.46006374940638883,,
structure,linear,radial,1000,510.0,0.1,bond_order,33,1.264285106437664,1.098527568165241,,
structure,linear,radial,1000,510.0,0.1,angular_arrangement,33,1.167455154218629,1.1509391979611254,,
structure,linear,radial,1001,510.0,0.1,q4,97,1.3480185522877366,1.160572976042111,,
structure,linear,radial,1001,510.0,0.1,q6,97,0.20036213193462157,0.4805482371753739,,
structure,linear,radial,1001,510.0,0.1,w4,97,1.8756111097139865,1.386141296438495,,
structure,linear,radial,1001,510.0,0.1,w6,97,0.8129829341371273,0.878608502553682,,
structure,linear,radial,1001,510.0,0.1,qbar6,97,0.1459066246835279,0.40308803275389254,,
structure,linear,radial,1001,510.0,0.1,q6_coherence,97,0.13403531077898997,0.35582213333112767,,
structure,linear,radial,1001,510.0,0.1,bond_order,97,0.752819443922665,0.8718071449715944,,
structure,linear,radial,1001,510.0,0.1,angular_arrangement,97,0.6149381774884936,0.8868320474094303,,
structure,linear,radial,881,520.0,0.1,q4,99,1.0169089513745293,0.9877981222786641,,
structure,linear,radial,881,520.0,0.1,q6,99,0.30827610337602407,0.5336228564487344,,
structure,linear,radial,881,520.0,0.1,w4,99,0.7475450635363853,0.8456158960370362,,
structure,linear,radial,881,520.0,0.1,w6,99,1.1053032006109427,1.0359049643447915,,
structure,linear,radial,881,520.0,0.1,qbar6,99,0.13058601375073595,0.29643283225559547,,
structure,linear,radial,881,520.0,0.1,q6_coherence,99,0.2194765346637044,0.40176555728327495,,
structure,linear,radial,881,520.0,0.1,bond_order,99,0.588015977885387,0.7413896646551302,,
structure,linear,radial,881,520.0,0.1,angular_arrangement,99,0.5636499240878419,0.8551680861071987,,
structure,linear,radial,1009,520.0,0.1,q4,160,1.6524729678666794,1.281270713981003,,
structure,linear,radial,1009,520.0,0.1,q6,160,0.2607522774189312,0.5130031277573246,,
structure,linear,radial,1009,520.0,0.1,w4,160,2.411359658891804,1.5483593306656047,,
structure,linear,radial,1009,520.0,0.1,w6,160,0.36123948937900563,0.5891823752673391,,
structure,linear,radial,1009,520.0,0.1,qbar6,160,0.11922447103479254,0.3173129552609609,,
structure,linear,radial,1009,520.0,0.1,q6_coherence,160,0.08461693434727667,0.24823631573473656,,
structure,linear,radial,1009,520.0,0.1,bond_order,160,0.8149442998230815,0.8955155051519292,,
structure,linear,radial,1009,520.0,0.1,angular_arrangement,160,0.778364270474946,1.0071228361065612,,
structure,linear,radial_control,911,400.0,0.05,q4,2,0.02239754906542587,0.156088250809767,,
structure,linear,radial_control,911,400.0,0.05,q6,2,0.08700585168417836,0.1392019094762592,,
structure,linear,radial_control,911,400.0,0.05,w4,2,0.12404347309153342,0.32627599448075145,,
structure,linear,radial_control,911,400.0,0.05,w6,2,0.007711724678833059,0.10278381802583629,,
structure,linear,radial_control,911,400.0,0.05,qbar6,2,0.08377532351629326,0.010945204147925254,,
structure,linear,radial_control,911,400.0,0.05,q6_coherence,2,0.06465728107888047,0.010117604830586538,,
structure,linear,radial_control,911,400.0,0.05,bond_order,2,0.0649318671858574,0.16380039422338022,,
structure,linear,radial_control,911,400.0,0.05,angular_arrangement,2,0.25022840098018495,0.5322235002296847,,
structure,linear,radial_control,942,450.0,0.05,q4,1,0.03723960110232171,0.07125223941609359,,
structure,linear,radial_control,942,450.0,0.05,q6,1,0.00011138944410203882,0.06103165057492276,,
structure,linear,radial_control,942,450.0,0.05,w4,1,0.009596829137467764,0.03636067633642757,,
structure,linear,radial_control,942,450.0,0.05,w6,1,0.0070430183794287,0.04322356139918561,,
structure,linear,radial_control,942,450.0,0.05,qbar6,1,0.0007017605240442065,0.008611071169454941,,
structure,linear,radial_control,942,450.0,0.05,q6_coherence,1,0.011260305574241661,0.007597365575279685,,
structure,linear,radial_control,942,450.0,0.05,bond_order,1,0.010992150693601014,0.04495180668921859,,
structure,linear,radial_control,942,450.0,0.05,angular_arrangement,1,0.06014348289879103,0.32707166763148465,,
structure,linear,radial_control,911,400.0,0.1,q4,172,0.29282429779395464,0.5129617611641258,,
structure,linear,radial_control,911,400.0,0.1,q6,172,0.1529788076424193,0.3632021794368057,,
structure,linear,radial_control,911,400.0,0.1,w4,172,0.25223198931911195,0.49744097044318036,,
structure,linear,radial_control,911,400.0,0.1,w6,172,0.4542861815894558,0.6638800808971207,,
structure,linear,radial_control,911,400.0,0.1,qbar6,172,0.1047506275237239,0.22915969927435692,,
structure,linear,radial_control,911,400.0,0.1,q6_coherence,172,0.12777150431540946,0.29521688689862785,,
structure,linear,radial_control,911,400.0,0.1,bond_order,172,0.23080723469734588,0.45146004816471097,,
structure,linear,radial_control,911,400.0,0.1,angular_arrangement,172,0.3072226783818047,0.6602420100754829,,
structure,linear,radial_control,913,400.0,0.1,q4,126,0.9206031293394042,0.9901612518647169,,
structure,linear,radial_control,913,400.0,0.1,q6,126,0.32868091548106876,0.5607878068733738,,
structure,linear,radial_control,913,400.0,0.1,w4,126,0.7210000710750895,0.8555991044523487,,
