task,family,caliper_A,target,baseline,method,sources,n,improvement_percent,low,high,baseline_loss,candidate_loss
structure,linear,0.05,q4,radial,radial_control,9,609,-2.095892535383137,-3.1923739099453563,-1.5234042870138964,0.3747871007284811,0.3826422355962282
structure,linear,0.05,q4,radial_control,plus_gatr,9,609,0.30739535043946553,-0.8070124120627575,0.713958949276805,0.3826422355962282,0.38146601115518775
structure,linear,0.05,q4,radial_control,delta_gatr,9,609,-1.0933987857017602,-2.5205202344775746,-0.34196451541443906,0.3826422355962282,0.3868260411538194
structure,linear,0.05,q4,radial_control,duplicate_gatr,9,609,0.18269866569444737,-1.1447587908150814,0.5991273695575505,0.3826422355962282,0.38194315333741047
structure,linear,0.05,q4,radial_control,plus_mace,9,609,-0.4330257886692168,-15.99552616837856,3.425242217130098,0.3826422355962282,0.38429917515470025
structure,linear,0.05,q4,radial_control,delta_mace,9,609,0.028755308906602828,-18.22027248901805,4.5443832180663835,0.3826422355962282,0.38253220563937534
structure,linear,0.05,q4,radial_control,duplicate_mace,9,609,0.2992679075701665,-1.4273873663225078,0.646099307097947,0.3826422355962282,0.3814971101842796
structure,linear,0.05,q4,radial_control,plus_soap,9,609,94.1607811149465,86.64302496143237,95.79892386659093,0.3826422355962282,0.022343317683125856
structure,linear,0.05,q4,duplicate_gatr,plus_gatr,9,609,0.12492492090864227,-0.00026342300656345685,0.5997043255107637,0.38194315333741047,0.38146601115518775
structure,linear,0.05,q4,duplicate_gatr,delta_gatr,9,609,-1.278433131669554,-1.8991564934621286,-0.3430986701087768,0.38194315333741047,0.3868260411538194
structure,linear,0.05,q4,duplicate_mace,plus_mace,9,609,-0.7344917944639429,-15.640682790079419,2.919216870953134,0.3814971101842796,0.38429917515470025
structure,linear,0.05,q4,duplicate_mace,delta_mace,9,609,-0.27132458607503906,-17.85862336116675,4.069014111520275,0.3814971101842796,0.38253220563937534
structure,linear,0.05,q6,radial,radial_control,9,609,7.435285744993947,2.0604010682945817,11.44745373903544,0.06544917318306495,0.06058284013916812
structure,linear,0.05,q6,radial_control,plus_gatr,9,609,-0.9839359098263278,-1.9895512441656216,0.31877267227070627,0.06058284013916812,0.06117893645849007
structure,linear,0.05,q6,radial_control,delta_gatr,9,609,-6.240202678595952,-17.028869499558663,-1.0499223919195222,0.06058284013916812,0.064363332152302
structure,linear,0.05,q6,radial_control,duplicate_gatr,9,609,-0.6444627685177506,-1.520901776372563,0.8670330520315517,0.06058284013916812,0.06097327398797568
structure,linear,0.05,q6,radial_control,plus_mace,9,609,15.068984960334719,9.950960605590453,29.521812804463178,0.06058284013916812,0.05145362107005325
structure,linear,0.05,q6,radial_control,delta_mace,9,609,16.042597181012297,10.188329621230817,36.83359688989687,0.06058284013916812,0.050863779134824746
structure,linear,0.05,q6,radial_control,duplicate_mace,9,609,-0.6509518700712924,-2.069139364302486,0.6502195758180562,0.06058284013916812,0.06097720526999633
structure,linear,0.05,q6,radial_control,plus_soap,9,609,93.46304193393885,89.84973895914867,94.68823704879176,0.06058284013916812,0.003960274855126284
structure,linear,0.05,q6,duplicate_gatr,plus_gatr,9,609,-0.337299372434785,-0.9127776074804306,-0.03380400171557607,0.06097327398797568,0.06117893645849007
structure,linear,0.05,q6,duplicate_gatr,delta_gatr,9,609,-5.559908370665578,-16.166957638548695,-0.004186460128807745,0.06097327398797568,0.064363332152302
structure,linear,0.05,q6,duplicate_mace,plus_mace,9,609,15.618269413585494,10.487684665196229,29.260693501521683,0.06097720526999633,0.05145362107005325
structure,linear,0.05,q6,duplicate_mace,delta_mace,9,609,16.5855848761699,11.000412490507472,36.65765469840646,0.06097720526999633,0.050863779134824746
structure,linear,0.05,w4,radial,radial_control,9,609,-1.0885823684767537,-4.724827707055357,-0.32215862731652667,0.5137359011474414,0.5193283395878676
structure,linear,0.05,w4,radial_control,plus_gatr,9,609,0.18444000720477804,0.014533646697068026,0.8936746537940299,0.5193283395878676,0.5183704903609153
structure,linear,0.05,w4,radial_control,delta_gatr,9,609,0.9719679272773063,0.5439813925649406,2.514773311518481,0.5193283395878676,0.5142806346898118
structure,linear,0.05,w4,radial_control,duplicate_gatr,9,609,0.17094911742534524,-0.004251295055102133,0.8609701652616986,0.5193283395878676,0.5184405523748025
structure,linear,0.05,w4,radial_control,plus_mace,9,609,-2.298455740107408,-5.241901644942293,0.9337986994680803,0.5193283395878676,0.5312648716191295
