task,family,method,source,temperature_K,caliper_A,target,n,loss,true_contrast_rms
structure,linear,radial,911,400.0,0.05,q4,91,0.6231199385026711,0.7864290239137353
structure,linear,radial,911,400.0,0.05,q6,91,0.08611028723905528,0.28107120380936584
structure,linear,radial,911,400.0,0.05,w4,91,0.9786291912428683,1.0039194051485754
structure,linear,radial,911,400.0,0.05,w6,91,0.010433428472329564,0.09833909551856254
structure,linear,radial,911,400.0,0.05,qbar6,91,0.04648522861043376,0.1637500602188683
structure,linear,radial,911,400.0,0.05,q6_coherence,91,0.029986433818797138,0.08737102635964063
structure,linear,radial,911,400.0,0.05,bond_order,91,0.2957940846476925,0.5399759500006852
structure,linear,radial,911,400.0,0.05,angular_arrangement,91,0.3451271640464192,0.613096792440957
structure,linear,radial,913,400.0,0.05,q4,158,0.04579622594343422,0.16580978263499452
structure,linear,radial,913,400.0,0.05,q6,158,0.019210567618361367,0.11235314043889053
structure,linear,radial,913,400.0,0.05,w4,158,0.05371623932402264,0.21209998368458238
structure,linear,radial,913,400.0,0.05,w6,158,0.018495734424391865,0.07868418925212133
structure,linear,radial,913,400.0,0.05,qbar6,158,0.023040838014637122,0.040421867971188956
structure,linear,radial,913,400.0,0.05,q6_coherence,158,0.02157297141936257,0.024684560340675978
structure,linear,radial,913,400.0,0.05,bond_order,158,0.030305429457368298,0.12485790045134083
structure,linear,radial,913,400.0,0.05,angular_arrangement,158,0.10698012476581499,0.37381207866282845
structure,linear,radial,938,450.0,0.05,q4,13,1.556548899441921,1.2555246469716765
structure,linear,radial,938,450.0,0.05,q6,13,0.2575957654984934,0.5500440943831092
structure,linear,radial,938,450.0,0.05,w4,13,2.349414276953217,1.547580763054549
structure,linear,radial,938,450.0,0.05,w6,13,0.0503058287545785,0.2132062701016716
structure,linear,radial,938,450.0,0.05,qbar6,13,0.09203473979390733,0.35945473949190987
structure,linear,radial,938,450.0,0.05,q6_coherence,13,0.035510777039123594,0.2256067345542457
structure,linear,radial,938,450.0,0.05,bond_order,13,0.7235683812468735,0.8659734296468224
structure,linear,radial,938,450.0,0.05,angular_arrangement,13,1.0448274949999574,1.0600659779537185
structure,linear,radial,942,450.0,0.05,q4,206,0.05715927477754086,0.18808513950432873
structure,linear,radial,942,450.0,0.05,q6,206,0.026068759442844053,0.11409508279772727
structure,linear,radial,942,450.0,0.05,w4,206,0.09075767686137014,0.2723829738548929
structure,linear,radial,942,450.0,0.05,w6,206,0.012160079230319374,0.09270735987560787
structure,linear,radial,942,450.0,0.05,qbar6,206,0.024337071931741564,0.04026644987015386
structure,linear,radial,942,450.0,0.05,q6_coherence,206,0.01800113413942247,0.0203954079111501
structure,linear,radial,942,450.0,0.05,bond_order,206,0.03808066606387307,0.1490068266283638
structure,linear,radial,942,450.0,0.05,angular_arrangement,206,0.12849637428535463,0.3904597233780116
structure,linear,radial,970,500.0,0.05,q4,82,0.15323812172383477,0.4122969130415288
structure,linear,radial,970,500.0,0.05,q6,82,0.026471799201281752,0.15570356584334472
structure,linear,radial,970,500.0,0.05,w4,82,0.13767442377284486,0.3966564763436262
structure,linear,radial,970,500.0,0.05,w6,82,0.01401411821255407,0.10562520457987064
structure,linear,radial,970,500.0,0.05,qbar6,82,0.019900182870085676,0.07958244387716755
structure,linear,radial,970,500.0,0.05,q6_coherence,82,0.011810476215952392,0.04325246021223588
structure,linear,radial,970,500.0,0.05,bond_order,82,0.06051818699942559,0.24863947449927762
structure,linear,radial,970,500.0,0.05,angular_arrangement,82,0.17580150350513657,0.4564394598621464
structure,linear,radial,971,500.0,0.05,q4,16,0.510640566774098,0.6995239887906375
structure,linear,radial,971,500.0,0.05,q6,16,0.08097873805101118,0.19126547100619057
structure,linear,radial,971,500.0,0.05,w4,16,0.4957473087452748,0.7208948353117678
structure,linear,radial,971,500.0,0.05,w6,16,0.038159821903585696,0.1406353350802877
structure,linear,radial,971,500.0,0.05,qbar6,16,0.05477141873639407,0.13026485036415222
structure,linear,radial,971,500.0,0.05,q6_coherence,16,0.03960781958290445,0.08282895095921848
structure,linear,radial,971,500.0,0.05,bond_order,16,0.20331761229887801,0.4260699314084698
structure,linear,radial,971,500.0,0.05,angular_arrangement,16,0.22016967754618386,0.4772211851500516
structure,linear,radial,1000,510.0,0.05,q4,2,0.026358007204731238,0.18959328285465324
structure,linear,radial,1000,510.0,0.05,q6,2,0.023018457258412034,0.18444600397720076
