method,normalized_rms_jump,low,high,roughness,reversal_fraction,increment_cosine,effective_rank,reference_variance_trace
old_gatr,0.6802021627925434,0.6592041073068678,0.7006252861771161,1.472851369443276,0.8897684605757196,-0.4502067735236908,6.2806854116339474,2.1548602218049202e-05
gatr,0.5179425360719313,0.5023490838558164,0.5330143208407015,1.4661501773884693,0.8394242803504379,-0.4328723638273126,1.8726007597150667,2.3846767745848404e-05
old_mace,0.7227678255917054,0.696144693734013,0.7486785451361133,1.480407503412397,0.7456195244055068,-0.3966430849244643,1.8711833163946057,0.0011728492011512897
mace,0.716347547394854,0.6842645632461619,0.746304320436215,1.4790827219640201,0.7368272841051313,-0.3936874001716391,1.6560424768885011,0.0006793582091883248
soap,0.5866125977025614,0.5714430930904079,0.6013995933869276,1.4739064524155108,0.8505006257822278,-0.4412064497594067,2.7636848640666245,0.5831514646940797
tda,0.3707015945049796,0.3694798984611374,0.37192881567393793,1.485641085097402,0.7809449311639549,-0.42060463213604526,1.1973673694723173,0.017740526989428945
