method,source,temperature_K,lag_ps,displacement2
gatr,938,450.0,12.0,0.27335716129061377
gatr,938,450.0,24.0,0.29506366805167566
gatr,938,450.0,48.0,0.32331365331283046
gatr,938,450.0,96.0,0.4119135266036913
gatr,938,450.0,192.0,0.5968566618007185
gatr,942,450.0,0.75,0.22275581202424466
gatr,942,450.0,1.5,0.23440050959932318
gatr,942,450.0,3.0,0.2501790989862454
gatr,942,450.0,6.0,0.2685946015565089
gatr,942,450.0,12.0,0.3035815428444489
gatr,942,450.0,24.0,0.36599194970146437
gatr,942,450.0,48.0,0.4738021684418447
gatr,942,450.0,96.0,0.6029015243021999
gatr,942,450.0,192.0,0.9092123256398189
gatr,970,500.0,0.75,0.2324890476738623
gatr,970,500.0,1.5,0.24959100035900614
gatr,970,500.0,3.0,0.2644085928598075
gatr,970,500.0,6.0,0.27804362513054615
gatr,970,500.0,12.0,0.2979875208474487
gatr,970,500.0,24.0,0.331173428608365
gatr,970,500.0,48.0,0.40149060543696097
gatr,970,500.0,96.0,0.5366363825491889
gatr,970,500.0,192.0,0.7847538331982146
gatr,971,500.0,0.75,0.27549487842601095
gatr,971,500.0,1.5,0.3003168705340486
gatr,971,500.0,3.0,0.3185471354777004
gatr,971,500.0,6.0,0.33930721215266285
gatr,971,500.0,12.0,0.36896903479896453
gatr,971,500.0,24.0,0.39442945588343764
gatr,971,500.0,48.0,0.42711929682658967
gatr,971,500.0,96.0,0.5137909775869132
gatr,971,500.0,192.0,0.7661748138884431
gatr,1000,510.0,0.75,0.34651684874792393
gatr,1000,510.0,1.5,0.37351213851805054
gatr,1000,510.0,3.0,0.4009635669696452
gatr,1000,510.0,6.0,0.43187513597937066
gatr,1000,510.0,12.0,0.44521689567767014
gatr,1000,510.0,24.0,0.4793469138097834
gatr,1000,510.0,48.0,0.5403199803009144
gatr,1000,510.0,96.0,0.6595424673345731
gatr,1000,510.0,192.0,0.814477254488274
gatr,1001,510.0,0.75,0.2962056640516234
gatr,1001,510.0,1.5,0.31476403990018553
gatr,1001,510.0,3.0,0.3295891449199599
gatr,1001,510.0,6.0,0.3559970954176454
gatr,1001,510.0,12.0,0.3692627368119457
gatr,1001,510.0,24.0,0.40708305012116347
gatr,1001,510.0,48.0,0.45814688121940494
gatr,1001,510.0,96.0,0.5475876507085093
gatr,1001,510.0,192.0,0.7665883134882304
gatr,881,520.0,0.75,0.3590196808069458
gatr,881,520.0,1.5,0.3881952461358544
gatr,881,520.0,3.0,0.41133733524664434
gatr,881,520.0,6.0,0.4298609907902191
gatr,881,520.0,12.0,0.45280773717009504
gatr,881,520.0,24.0,0.4771785783616888
gatr,881,520.0,48.0,0.5461305369270174
gatr,881,520.0,96.0,0.6706866697456024
gatr,881,520.0,192.0,0.9834124889423133
gatr,1009,520.0,0.75,0.25202085396496243
gatr,1009,520.0,1.5,0.2734204015402044
gatr,1009,520.0,3.0,0.28783573500363946
gatr,1009,520.0,6.0,0.2987287831955702
gatr,1009,520.0,12.0,0.3154904948411483
gatr,1009,520.0,24.0,0.36139840715418564
gatr,1009,520.0,48.0,0.4485191218327651
gatr,1009,520.0,96.0,0.6262756817670728
gatr,1009,520.0,192.0,0.9804381339302181
old_mace,911,400.0,0.75,0.43189141122290964
old_mace,911,400.0,1.5,0.443359156233584
old_mace,911,400.0,3.0,0.45523781739821456
old_mace,911,400.0,6.0,0.4828121465190826
old_mace,911,400.0,12.0,0.5063674820302289
old_mace,911,400.0,24.0,0.5587172801764279
old_mace,911,400.0,48.0,0.6039141410748334
old_mace,911,400.0,96.0,0.6791788097113363
old_mace,911,400.0,192.0,0.7144711785862928
old_mace,913,400.0,0.75,0.5039761311820459
old_mace,913,400.0,1.5,0.5252555936863775
old_mace,913,400.0,3.0,0.5284259899894914
