task,family,method,source,temperature_K,target,n,loss,constant_loss,r2_vs_training_mean
structure,linear,radial,911,400.0,q4,2238,0.9445750369837921,1.1443648811884488,0.17458578770537803
structure,linear,radial,911,400.0,q6,2238,0.23477627358446315,1.1028623478471773,0.7871209638784442
structure,linear,radial,911,400.0,w4,2238,0.8416901341920409,1.0522241197813087,0.20008473635162882
structure,linear,radial,911,400.0,w6,2238,1.272076824580608,1.3575359183247573,0.06295162624470996
structure,linear,radial,911,400.0,qbar6,2238,0.09570341956320917,1.1481506998003033,0.9166455940149192
structure,linear,radial,911,400.0,q6_coherence,2238,0.1512541752626686,1.134225644461915,0.8666454280934331
structure,linear,radial,911,400.0,bond_order,2238,0.5900126440277971,1.1565606019006516,0.4898558337036635
structure,linear,radial,911,400.0,angular_arrangement,2238,0.40466001392170187,0.9874796974868285,0.5902092823259291
structure,linear,radial,913,400.0,q4,2237,0.8461945575883131,1.0967235604701675,0.2284340483890509
structure,linear,radial,913,400.0,q6,2237,0.3106216208143239,1.2516078379981557,0.7518219274568161
structure,linear,radial,913,400.0,w4,2237,0.6260751296064658,0.848277654034737,0.26194551202827276
structure,linear,radial,913,400.0,w6,2237,1.4045342253966493,1.4685536243750148,0.04359350446301258
structure,linear,radial,913,400.0,qbar6,2237,0.12465013193029197,1.2016142763033708,0.8962644382740159
structure,linear,radial,913,400.0,q6_coherence,2237,0.1937663680626344,1.1929343583768688,0.8375716428133758
structure,linear,radial,913,400.0,bond_order,2237,0.5843070055664464,1.1766185519263859,0.5034015020332578
structure,linear,radial,913,400.0,angular_arrangement,2237,0.4436544841580885,1.1022314904523085,0.5974942759292499
structure,linear,radial,938,450.0,q4,2238,1.012483597230218,1.0882204009043663,0.06959693423428492
structure,linear,radial,938,450.0,q6,2238,0.23029280930536206,0.8946284282976426,0.7425827281795883
structure,linear,radial,938,450.0,w4,2238,1.151209902004769,1.2415758068856833,0.07278323593271707
structure,linear,radial,938,450.0,w6,2238,0.6316834753911985,0.6749901332489974,0.0641589494787822
structure,linear,radial,938,450.0,qbar6,2238,0.12265816366386971,0.885344643551178,0.861457157325898
structure,linear,radial,938,450.0,q6_coherence,2238,0.1545521299854186,0.9108314353941552,0.8303175275032779
structure,linear,radial,938,450.0,bond_order,2238,0.5504800129301393,0.949265141380337,0.42009878069505413
structure,linear,radial,938,450.0,angular_arrangement,2238,0.4648462408228873,0.8890192248257077,0.47712464720431613
structure,linear,radial,942,450.0,q4,2239,0.6499561147359524,0.9347624217178728,0.30468309419040795
structure,linear,radial,942,450.0,q6,2239,0.1496912984781267,1.0200194880685722,0.8532466288839538
structure,linear,radial,942,450.0,w4,2239,0.6434377578367679,1.02996777727967,0.37528360398205596
structure,linear,radial,942,450.0,w6,2239,0.6306943735356337,0.7012875966460428,0.10066230095616424
structure,linear,radial,942,450.0,qbar6,2239,0.07052217722254189,1.1102550802240212,0.9364811037763391
structure,linear,radial,942,450.0,q6_coherence,2239,0.11118318119227365,1.0440280606360612,0.8935055623653098
structure,linear,radial,942,450.0,bond_order,2239,0.37591415050021604,0.9733867374287068,0.6138080209586286
structure,linear,radial,942,450.0,angular_arrangement,2239,0.32855814457279736,1.0632788007792342,0.6909953021427585
structure,linear,radial,970,500.0,q4,2238,0.4952617526425972,0.7981020329037515,0.37945058122371156
structure,linear,radial,970,500.0,q6,2238,0.12798489206728292,1.0592289124095737,0.8791716402678831
structure,linear,radial,970,500.0,w4,2238,0.48683225359910887,0.9163710105803565,0.4687389190860719
structure,linear,radial,970,500.0,w6,2238,0.60671037606167,0.6874841076730114,0.11749178011509742
structure,linear,radial,970,500.0,qbar6,2238,0.059967510912441783,1.2615090551905164,0.9524636698676845
structure,linear,radial,970,500.0,q6_coherence,2238,0.09281145579537921,1.1898586674839757,0.9219979159443916
structure,linear,radial,970,500.0,bond_order,2238,0.31159470684641327,0.9854256310401975,0.6837968315097512
structure,linear,radial,970,500.0,angular_arrangement,2238,0.285278663150652,1.0682146690550813,0.7329388264224053
structure,linear,radial,971,500.0,q4,2238,0.7795301660385522,1.0080384416586077,0.22668607284864284
structure,linear,radial,971,500.0,q6,2238,0.2043010428846414,0.8843726645118415,0.7689876099942414
structure,linear,radial,971,500.0,w4,2238,0.7546277808095528,1.0565463753770175,0.28575990756650704
structure,linear,radial,971,500.0,w6,2238,0.8246690628794924,0.8922127082241945,0.07570352307482464
structure,linear,radial,971,500.0,qbar6,2238,0.0957274268600108,0.8994278832228348,0.8935685354594526
structure,linear,radial,971,500.0,q6_coherence,2238,0.13894885357517053,0.9424740819670433,0.8525701064530395
structure,linear,radial,971,500.0,bond_order,2238,0.46630072217457,0.9471786924935898,0.5076950887197815
structure,linear,radial,971,500.0,angular_arrangement,2238,0.41299341177242477,0.925824440407614,0.5539182227781807
structure,linear,radial,1000,510.0,q4,2237,1.0537514414253866,1.2479607950530807,0.15562135797658094
structure,linear,radial,1000,510.0,q6,2237,0.2689962267212172,1.0581249147662009,0.7457802732292211
structure,linear,radial,1000,510.0,w4,2237,0.9585334250145621,1.1892495470349704,0.19400143779379897
structure,linear,radial,1000,510.0,w6,2237,1.4412440607588128,1.5146855873552745,0.0484863176949446
structure,linear,radial,1000,510.0,qbar6,2237,0.09376395954894974,1.0412801847405824,0.9099531894268117
structure,linear,radial,1000,510.0,q6_coherence,2237,0.15689585892240207,1.0884132309054493,0.8558489969918128
structure,linear,radial,1000,510.0,bond_order,2237,0.6621974953985551,1.1899523766425928,0.4435092459187979
structure,linear,radial,1000,510.0,angular_arrangement,2237,0.5464122154414595,1.0997716812217193,0.5031584966486329
structure,linear,radial,1001,510.0,q4,2239,0.7631371351987275,1.021417272119019,0.2528644697621637
structure,linear,radial,1001,510.0,q6,2239,0.18172807588571885,0.8146388514805087,0.7769219138573494
structure,linear,radial,1001,510.0,w4,2239,0.7655255285093087,1.1051425913909472,0.30730610287509774
structure,linear,radial,1001,510.0,w6,2239,0.7514374854428838,0.8160289728106548,0.07915342410612947
structure,linear,radial,1001,510.0,qbar6,2239,0.09239521272269818,0.874870311095893,0.8943898180669079
structure,linear,radial,1001,510.0,q6_coherence,2239,0.1368387620445799,0.909913081733532,0.8496133699013538
structure,linear,radial,1001,510.0,bond_order,2239,0.4485103666339862,0.9236685134384257,0.5144249694466985
structure,linear,radial,1001,510.0,angular_arrangement,2239,0.3718501944450651,0.8955150169493804,0.5847638650306584
structure,linear,radial,881,520.0,q4,2239,1.0538439832489417,1.2981681510339615,0.1882068725768855
structure,linear,radial,881,520.0,q6,2239,0.2521992738862505,0.8095798076789098,0.6884812695498006
structure,linear,radial,881,520.0,w4,2239,1.0394760629613438,1.2691081555789059,0.18093973441752487
structure,linear,radial,881,520.0,w6,2239,1.3845567789460864,1.4990400816071192,0.07637107510714147
structure,linear,radial,881,520.0,qbar6,2239,0.09334011529442778,0.9253935000629113,0.8991346759102131
structure,linear,radial,881,520.0,q6_coherence,2239,0.16802103353984635,1.003665257085787,0.832592557773986
structure,linear,radial,881,520.0,bond_order,2239,0.665239541312816,1.1341591588412658,0.41345133429732206
structure,linear,radial,881,520.0,angular_arrangement,2239,0.4960703243790236,0.9440996308209285,0.47455723084260437
structure,linear,radial,1009,520.0,q4,2238,0.8312973093313802,1.0039012127527414,0.1719331556021071
structure,linear,radial,1009,520.0,q6,2238,0.18041211231335805,0.8487022304614354,0.787425900583213
structure,linear,radial,1009,520.0,w4,2238,1.0237371522966314,1.2606203881995535,0.18791004660907007
structure,linear,radial,1009,520.0,w6,2238,0.6069768379100293,0.6617959679501171,0.08283388339443576
structure,linear,radial,1009,520.0,qbar6,2238,0.08260485949416295,0.9133580159398111,0.9095591673226127
structure,linear,radial,1009,520.0,q6_coherence,2238,0.10911304548289949,0.9470008280571955,0.8847804117481622
structure,linear,radial,1009,520.0,bond_order,2238,0.47235688613807697,0.9392297738934756,0.4970805874477632
structure,linear,radial,1009,520.0,angular_arrangement,2238,0.4192170811475074,0.8544851859538652,0.5093922188018583
structure,linear,radial_control,911,400.0,q4,2238,0.9416497507962368,1.1443648811884488,0.17714204072890438
structure,linear,radial_control,911,400.0,q6,2238,0.23421577717153172,1.1028623478471773,0.7876291836159531
structure,linear,radial_control,911,400.0,w4,2238,0.8393522069105953,1.0522241197813087,0.20230662733235583
structure,linear,radial_control,911,400.0,w6,2238,1.2795210986022327,1.3575359183247573,0.05746795990399822
structure,linear,radial_control,911,400.0,qbar6,2238,0.09598297138824145,1.1481506998003033,0.9164021139342287
structure,linear,radial_control,911,400.0,q6_coherence,2238,0.15178839006723446,1.134225644461915,0.8661744329196119
structure,linear,radial_control,911,400.0,bond_order,2238,0.5904183658226788,1.1565606019006516,0.48950503341337603
structure,linear,radial_control,911,400.0,angular_arrangement,2238,0.40292137932258304,0.9874796974868285,0.5919699611566369
structure,linear,radial_control,913,400.0,q4,2237,0.8538894906427824,1.0967235604701675,0.22141775610554193
structure,linear,radial_control,913,400.0,q6,2237,0.3119723283648115,1.2516078379981557,0.7507427495310466
structure,linear,radial_control,913,400.0,w4,2237,0.6233224677271058,0.848277654034737,0.26519051307983565
structure,linear,radial_control,913,400.0,w6,2237,1.4041955945218487,1.4685536243750148,0.04382409248457342
structure,linear,radial_control,913,400.0,qbar6,2237,0.12361740598622706,1.2016142763033708,0.8971238870708811
structure,linear,radial_control,913,400.0,q6_coherence,2237,0.19524209143029342,1.1929343583768688,0.836334589527672
structure,linear,radial_control,913,400.0,bond_order,2237,0.5853732297788449,1.1766185519263859,0.5024953254217699
structure,linear,radial_control,913,400.0,angular_arrangement,2237,0.4441843616326869,1.1022314904523085,0.5970135443595314
structure,linear,radial_control,938,450.0,q4,2238,1.0264478864871107,1.0882204009043663,0.05676470902945718
structure,linear,radial_control,938,450.0,q6,2238,0.22715011036913532,0.8946284282976426,0.7460955820492186
structure,linear,radial_control,938,450.0,w4,2238,1.1716060263007892,1.2415758068856833,0.05635562500239377
structure,linear,radial_control,938,450.0,w6,2238,0.6335506781003978,0.6749901332489974,0.061392682807280385
structure,linear,radial_control,938,450.0,qbar6,2238,0.12194666297440564,0.885344643551178,0.8622607999464827
structure,linear,radial_control,938,450.0,q6_coherence,2238,0.14935989347838405,0.9108314353941552,0.8360180735157108
structure,linear,radial_control,938,450.0,bond_order,2238,0.5550102096183704,0.949265141380337,0.4153264610440409
structure,linear,radial_control,938,450.0,angular_arrangement,2238,0.4619349783532694,0.8890192248257077,0.48039933732160656
structure,linear,radial_control,942,450.0,q4,2239,0.6517342224044438,0.9347624217178728,0.3027808914197577
structure,linear,radial_control,942,450.0,q6,2239,0.14877545133890024,1.0200194880685722,0.8541445010814356
structure,linear,radial_control,942,450.0,w4,2239,0.6441931710394261,1.02996777727967,0.3745501701608025
structure,linear,radial_control,942,450.0,w6,2239,0.632487427286654,0.7012875966460428,0.09810549864054419
structure,linear,radial_control,942,450.0,qbar6,2239,0.07015649939316854,1.1102550802240212,0.9368104675738005
structure,linear,radial_control,942,450.0,q6_coherence,2239,0.10700157229164377,1.0440280606360612,0.8975108272219672
structure,linear,radial_control,942,450.0,bond_order,2239,0.3757247239590394,0.9733867374287068,0.6140026265905865
structure,linear,radial_control,942,450.0,angular_arrangement,2239,0.325890998800614,1.0632788007792342,0.6935037183457606
structure,linear,radial_control,970,500.0,q4,2238,0.4911945319168064,0.7981020329037515,0.3845466974571121
structure,linear,radial_control,970,500.0,q6,2238,0.1265839320128159,1.0592289124095737,0.8804942628266651
structure,linear,radial_control,970,500.0,w4,2238,0.4758365010471428,0.9163710105803565,0.4807381556671181
structure,linear,radial_control,970,500.0,w6,2238,0.6107772837293687,0.6874841076730114,0.11157614130642102
structure,linear,radial_control,970,500.0,qbar6,2238,0.059069830069662876,1.2615090551905164,0.9531752627326626
structure,linear,radial_control,970,500.0,q6_coherence,2238,0.09155266901498987,1.1898586674839757,0.9230558456084678
structure,linear,radial_control,970,500.0,bond_order,2238,0.30916912463179774,0.9854256310401975,0.6862582878979469
structure,linear,radial_control,970,500.0,angular_arrangement,2238,0.2846022405722207,1.0682146690550813,0.7335720536173
structure,linear,radial_control,971,500.0,q4,2238,0.7832348790486934,1.0080384416586077,0.22301090248108668
structure,linear,radial_control,971,500.0,q6,2238,0.20371150330636367,0.8843726645118415,0.7696542289456573
structure,linear,radial_control,971,500.0,w4,2238,0.7379223989981479,1.0565463753770175,0.3015712171320184
structure,linear,radial_control,971,500.0,w6,2238,0.8312725645072959,0.8922127082241945,0.06830225926527111
structure,linear,radial_control,971,500.0,qbar6,2238,0.09526089174880774,0.8994278832228348,0.8940872375365233
structure,linear,radial_control,971,500.0,q6_coherence,2238,0.13745566443230692,0.9424740819670433,0.8541544355836053
structure,linear,radial_control,971,500.0,bond_order,2238,0.4648096503402692,0.9471786924935898,0.5092693131466163
structure,linear,radial_control,971,500.0,angular_arrangement,2238,0.4100551392037171,0.925824440407614,0.5570919050017933
structure,linear,radial_control,1000,510.0,q4,2237,1.0524194291279036,1.2479607950530807,0.15668870905264287
structure,linear,radial_control,1000,510.0,q6,2237,0.2676583557710084,1.0581249147662009,0.7470446522562517
structure,linear,radial_control,1000,510.0,w4,2237,0.9619679970458764,1.1892495470349704,0.19111342153188193
structure,linear,radial_control,1000,510.0,w6,2237,1.4463307014997882,1.5146855873552745,0.04512810211315066
structure,linear,radial_control,1000,510.0,qbar6,2237,0.09229039970325663,1.0412801847405824,0.9113683319285969
structure,linear,radial_control,1000,510.0,q6_coherence,2237,0.15558835330573695,1.0884132309054493,0.8570502922164009
structure,linear,radial_control,1000,510.0,bond_order,2237,0.662709206075595,1.1899523766425928,0.4430792197370076
structure,linear,radial_control,1000,510.0,angular_arrangement,2237,0.545095482029811,1.0997716812217193,0.5043557755330881
structure,linear,radial_control,1001,510.0,q4,2239,0.7584518761981315,1.021417272119019,0.2574514873586804
structure,linear,radial_control,1001,510.0,q6,2239,0.18112362992194814,0.8146388514805087,0.7776638941381477
structure,linear,radial_control,1001,510.0,w4,2239,0.7674051092940208,1.1051425913909472,0.3056053442586494
structure,linear,radial_control,1001,510.0,w6,2239,0.7549620082876345,0.8160289728106548,0.07483430926807277
structure,linear,radial_control,1001,510.0,qbar6,2239,0.09128963981518969,0.874870311095893,0.8956535172615046
structure,linear,radial_control,1001,510.0,q6_coherence,2239,0.1359173842403898,0.909913081733532,0.8506259697009244
structure,linear,radial_control,1001,510.0,bond_order,2239,0.4481916079595524,0.9236685134384257,0.5147700701725499
structure,linear,radial_control,1001,510.0,angular_arrangement,2239,0.3706191342009933,0.8955150169493804,0.5861385602850893
structure,linear,radial_control,881,520.0,q4,2239,1.0451176139646494,1.2981681510339615,0.19492893649236664
structure,linear,radial_control,881,520.0,q6,2239,0.2514072141573251,0.8095798076789098,0.6894596285965713
structure,linear,radial_control,881,520.0,w4,2239,1.0416535101133069,1.2691081555789059,0.17922400424717555
structure,linear,radial_control,881,520.0,w6,2239,1.3920283467270715,1.4990400816071192,0.0713868402806952
structure,linear,radial_control,881,520.0,qbar6,2239,0.09024552561953555,0.9253935000629113,0.9024787556716138
structure,linear,radial_control,881,520.0,q6_coherence,2239,0.1677606271671512,1.003665257085787,0.8328520131759307
structure,linear,radial_control,881,520.0,bond_order,2239,0.66470213962484,1.1341591588412658,0.4139251669898386
structure,linear,radial_control,881,520.0,angular_arrangement,2239,0.49453288597177003,0.9440996308209285,0.4761857013525618
structure,linear,radial_control,1009,520.0,q4,2238,0.8275467998776515,1.0039012127527414,0.17566909037943912
structure,linear,radial_control,1009,520.0,q6,2238,0.17978426101561817,0.8487022304614354,0.7881656786528412
structure,linear,radial_control,1009,520.0,w4,2238,1.0286521702585205,1.2606203881995535,0.18401115840458138
structure,linear,radial_control,1009,520.0,w6,2238,0.6090941508551785,0.6617959679501171,0.07963453941579623
structure,linear,radial_control,1009,520.0,qbar6,2238,0.08198666744901141,0.9133580159398111,0.910236001635514
structure,linear,radial_control,1009,520.0,q6_coherence,2238,0.11028893993153878,0.9470008280571955,0.8835387080306991
structure,linear,radial_control,1009,520.0,bond_order,2238,0.47289216489791974,0.9392297738934756,0.4965106749782896
structure,linear,radial_control,1009,520.0,angular_arrangement,2238,0.4187233180439716,0.8544851859538652,0.5099700674429493
structure,linear,plus_gatr,911,400.0,q4,2238,0.9415143614786681,1.1443648811884488,0.17726035029938692
structure,linear,plus_gatr,911,400.0,q6,2238,0.2357164690817886,1.1028623478471773,0.786268459031252
