task,family,target,baseline,method,sources,n,improvement_percent,low,high,baseline_loss,candidate_loss
structure,linear,q4,radial,radial_control,10,32040,-0.25902201360159527,-1.177821496802789,0.7312843957035908,0.7847115949000383,0.7867441706741136
structure,linear,q4,radial_control,plus_gatr,10,32040,1.4928054725982465,0.1304706272945655,2.7305497656634703,0.7867441706741136,0.7749996106389427
structure,linear,q4,radial_control,delta_gatr,10,32040,1.557090919257298,-0.09416477015384839,3.0733660948966124,0.7867441706741136,0.7744938486347609
structure,linear,q4,radial_control,duplicate_gatr,10,32040,0.6239344256202539,-0.2580592498037826,1.452625041772934,0.7867441706741136,0.7818354029517173
structure,linear,q4,radial_control,old_gatr,10,32040,1.2163087256057525,0.023049300184707633,2.302725493798341,0.7867441706741136,0.7771749326780097
structure,linear,q4,radial_control,plus_mace,10,32040,15.528573365086961,9.045837729085427,21.285797630509734,0.7867441706741136,0.6645740249354389
structure,linear,q4,radial_control,delta_mace,10,32040,17.195562867447332,10.929057702848743,22.86417873355403,0.7867441706741136,0.6514590821998693
structure,linear,q4,radial_control,duplicate_mace,10,32040,1.5518054860224173,0.1693868944621646,2.8160967072170418,0.7867441706741136,0.7745354314726312
structure,linear,q4,radial_control,old_mace,10,32040,15.249223827751502,10.038447548598661,19.974602108551043,0.7867441706741136,0.6667717911362308
structure,linear,q4,radial_control,plus_soap,10,32040,73.48491519372149,71.29708504534257,75.50494045178341,0.7867441706741136,0.20860588406269379
structure,linear,q4,radial_control,plus_tda,10,32040,6.378977445373712,2.2726874811447417,10.241981126678741,0.7867441706741136,0.7365579374740194
structure,linear,q4,duplicate_gatr,plus_gatr,10,32040,0.8743262695660614,0.0006576070118669008,1.8063513763236783,0.7818354029517173,0.7749996106389427
structure,linear,q4,duplicate_gatr,delta_gatr,10,32040,0.9390153335650075,-0.22426977738780884,2.0274224808761954,0.7818354029517173,0.7744938486347609
structure,linear,q4,old_gatr,plus_gatr,10,32040,0.2799012098307463,0.107446092682284,0.44087659599629814,0.7771749326780097,0.7749996106389427
structure,linear,q4,duplicate_mace,plus_mace,10,32040,14.197078928735596,8.906856555183518,19.038507293489896,0.7745354314726312,0.6645740249354389
structure,linear,q4,duplicate_mace,delta_mace,10,32040,15.890344621001484,10.78926638587121,20.626113906746816,0.7745354314726312,0.6514590821998693
structure,linear,q4,old_mace,plus_mace,10,32040,0.3296129545382609,-1.1219038070748866,1.8154433364585998,0.6667717911362308,0.6645740249354389
structure,linear,q6,radial,radial_control,10,32040,-0.03828585123690775,-0.44293048568284255,0.3805631439427606,0.21379909464115882,0.21388094944447897
structure,linear,q6,radial_control,plus_gatr,10,32040,-0.0496374226482299,-0.24799382197127073,0.16372734482976714,0.21388094944447897,0.2139871144353188
structure,linear,q6,radial_control,delta_gatr,10,32040,-0.03286926274181923,-0.19905630561116716,0.14677874777686029,0.21388094944447897,0.21395125053570657
structure,linear,q6,radial_control,duplicate_gatr,10,32040,-0.030855886625147377,-0.24621919160139338,0.19230452525892394,0.21388094944447897,0.21394694430775232
structure,linear,q6,radial_control,old_gatr,10,32040,0.04410991908917472,-0.37633756684933184,0.41952788890274106,0.21388094944447897,0.21378660673073185
structure,linear,q6,radial_control,plus_mace,10,32040,27.596456266295945,24.546623561063885,30.936117786116036,0.21388094944447897,0.1548573867690948
structure,linear,q6,radial_control,delta_mace,10,32040,30.333278291373876,27.726459928945367,33.08569142200384,0.21388094944447897,0.14900384583725249
structure,linear,q6,radial_control,duplicate_mace,10,32040,0.14125035496580507,-0.05462641956841541,0.3618287611586557,0.21388094944447897,0.2135788418441844
structure,linear,q6,radial_control,old_mace,10,32040,22.634494964342622,21.260313387307818,23.997121408474563,0.21388094944447897,0.1654700767127802
structure,linear,q6,radial_control,plus_soap,10,32040,91.5881910711726,91.0680372903157,92.16419328862537,0.21388094944447897,0.017991256802431507
structure,linear,q6,radial_control,plus_tda,10,32040,17.998671506676487,14.868225308706794,21.528046650205013,0.21388094944447897,0.1753852199386064
structure,linear,q6,duplicate_gatr,plus_gatr,10,32040,-0.018775742601251366,-0.039185805921104766,0.003499949667760393,0.21394694430775232,0.2139871144353188
structure,linear,q6,duplicate_gatr,delta_gatr,10,32040,-0.0020127550632631497,-0.30763904621791127,0.3146330817764942,0.21394694430775232,0.21395125053570657
structure,linear,q6,old_gatr,plus_gatr,10,32040,-0.0937887118623193,-0.495230726919898,0.37247977693737333,0.21378660673073185,0.2139871144353188
structure,linear,q6,duplicate_mace,plus_mace,10,32040,27.494041342320607,24.33004945143865,30.939247547504046,0.2135788418441844,0.1548573867690948
structure,linear,q6,duplicate_mace,delta_mace,10,32040,30.234734606362533,27.544728269739103,33.09495684397047,0.2135788418441844,0.14900384583725249
structure,linear,q6,old_mace,plus_mace,10,32040,6.4136611008567375,4.009615686227755,9.197922483234999,0.1654700767127802,0.1548573867690948
structure,linear,w4,radial,radial_control,10,32040,0.7917618631567036,-0.2617147492304239,1.832285940716183,0.7162879122982619,0.710616617778283
structure,linear,w4,radial_control,plus_gatr,10,32040,-0.2027806740349858,-0.3749251145434229,-0.06646917285333398,0.710616617778283,0.7120576109456185
structure,linear,w4,radial_control,delta_gatr,10,32040,0.13899206327874225,-0.5694746857728861,0.8997766621089087,0.710616617778283,0.7096289170792314
structure,linear,w4,radial_control,duplicate_gatr,10,32040,-0.21280339838729567,-0.38821873964900444,-0.07490229557918227,0.710616617778283,0.71212883409042
