source,temperature_K,caliper_A,candidate_pairs,matched_pairs,mean_radial_rms_A,mean_full_radial_rms_A,mean_density_relative
911,400.0,0.025,4806,0,,,
911,400.0,0.05,4806,2,0.04940993991221733,0.043434727842256146,0.016866244610078893
911,400.0,0.1,4806,172,0.0759907253965332,0.05820696865691459,0.010413073559374498
913,400.0,0.025,4806,0,,,
913,400.0,0.05,4806,0,,,
913,400.0,0.1,4806,126,0.07847342846271878,0.05367180230970573,0.009908003486132981
938,450.0,0.025,4806,0,,,
938,450.0,0.05,4806,0,,,
938,450.0,0.1,4806,91,0.08632228476002869,0.05648947313660853,0.009428159644993528
942,450.0,0.025,4806,0,,,
942,450.0,0.05,4806,1,0.0388664554989604,0.03412849831756929,0.01866315427844128
942,450.0,0.1,4806,191,0.07614214092493568,0.050757058059455476,0.009861050050094047
970,500.0,0.025,4806,0,,,
970,500.0,0.05,4806,0,,,
970,500.0,0.1,4806,156,0.08198338384190294,0.05162273696296159,0.009442575242925244
971,500.0,0.025,4806,0,,,
971,500.0,0.05,4806,0,,,
971,500.0,0.1,4806,142,0.0862884952511348,0.061752911209563645,0.009894915958961515
1000,510.0,0.025,4806,0,,,
1000,510.0,0.05,4806,0,,,
1000,510.0,0.1,4806,33,0.09032694211226426,0.06176557737836381,0.00802065957823706
1001,510.0,0.025,4806,0,,,
1001,510.0,0.05,4806,0,,,
1001,510.0,0.1,4806,97,0.0842388603512238,0.06240750342102553,0.010458456822097532
881,520.0,0.025,4806,0,,,
881,520.0,0.05,4806,0,,,
881,520.0,0.1,4806,99,0.08497703751574996,0.061011397073251795,0.009932574954469786
1009,520.0,0.025,4806,0,,,
1009,520.0,0.05,4806,0,,,
1009,520.0,0.1,4806,160,0.08276364182069691,0.057958745760413,0.009585590646852956
