method,hot_test_mse,relaxed_test_mse,hot_alpha,relaxed_alpha,boundary_fraction,increment_reduction_075ps,q6_test_reduction,feature_rank
frozen-mean80,0.017148161814077342,0.03575263295212127,1e-05,0.0001,0.03667982340918307,0.8255282611389276,0.7944793454347255,1.04909119882109
frozen-halo_mean80,0.04250155913071508,0.031094945361699607,0.001,0.0001,0.006451889815711325,0.6012636309116407,0.7151439612907855,1.0213582518930582
frozen-halo_inner,0.04135693218746485,0.030924820849480467,0.1,0.001,1.4346395915036392e-09,0.6171460386007811,0.7311739699869456,1.025417986421729
frozen-halo_center,0.07755597979451717,0.049863333252286604,1e-07,1e-06,1.4881618041952936e-10,0.28393184296459895,0.8101883349393827,1.2349748687264404
