epsilon_A,balanced_tda_mse,fraction_of_075ps_tda_energy
0.1,0.005575822833055479,0.03014410672075505
0.01,0.004706691834870101,0.025445396172009083
0.001,0.0046423931334780046,0.025097783456397172
0.0001,0.004635987559327527,0.0250631535342169
