source_id,population,method,metric,value,samples
895,all,encoder,future/0.75ps/bond_order,0.18933086097240448,12
896,all,encoder,future/0.75ps/bond_order,0.2175769954919815,12
897,all,encoder,future/0.75ps/bond_order,0.2774028480052948,12
898,all,encoder,future/0.75ps/bond_order,0.3198978900909424,12
899,all,encoder,future/0.75ps/bond_order,0.260346919298172,12
900,all,encoder,future/0.75ps/bond_order,0.25304850935935974,12
901,all,encoder,future/0.75ps/bond_order,0.2414580136537552,12
914,all,encoder,future/0.75ps/bond_order,0.37914004921913147,12
915,all,encoder,future/0.75ps/bond_order,0.6976324915885925,12
916,all,encoder,future/0.75ps/bond_order,0.5145272016525269,12
917,all,encoder,future/0.75ps/bond_order,0.18290890753269196,12
918,all,encoder,future/0.75ps/bond_order,0.26299044489860535,12
919,all,encoder,future/0.75ps/bond_order,0.28334304690361023,12
920,all,encoder,future/0.75ps/bond_order,0.5264370441436768,12
921,all,encoder,future/0.75ps/bond_order,0.3209371566772461,12
922,all,encoder,future/0.75ps/bond_order,0.4099457561969757,12
923,all,encoder,future/0.75ps/bond_order,0.40745803713798523,12
924,all,encoder,future/0.75ps/bond_order,0.585669219493866,12
925,all,encoder,future/0.75ps/bond_order,0.45807671546936035,12
926,all,encoder,future/0.75ps/bond_order,0.33039626479148865,12
927,all,encoder,future/0.75ps/bond_order,0.39801737666130066,12
928,all,encoder,future/0.75ps/bond_order,0.2961745262145996,12
929,all,encoder,future/0.75ps/bond_order,0.45437291264533997,12
930,all,encoder,future/0.75ps/bond_order,0.21231956779956818,12
931,all,encoder,future/0.75ps/bond_order,0.48644301295280457,12
944,all,encoder,future/0.75ps/bond_order,0.41116905212402344,12
945,all,encoder,future/0.75ps/bond_order,0.4033872187137604,12
946,all,encoder,future/0.75ps/bond_order,0.33946549892425537,12
947,all,encoder,future/0.75ps/bond_order,0.26675450801849365,12
948,all,encoder,future/0.75ps/bond_order,0.282746821641922,12
949,all,encoder,future/0.75ps/bond_order,0.2960125505924225,12
950,all,encoder,future/0.75ps/bond_order,0.20380495488643646,12
951,all,encoder,future/0.75ps/bond_order,0.30748632550239563,12
952,all,encoder,future/0.75ps/bond_order,0.3488089144229889,12
953,all,encoder,future/0.75ps/bond_order,0.4044991731643677,12
954,all,encoder,future/0.75ps/bond_order,0.23447346687316895,12
955,all,encoder,future/0.75ps/bond_order,0.20255528390407562,12
956,all,encoder,future/0.75ps/bond_order,0.31845465302467346,12
957,all,encoder,future/0.75ps/bond_order,0.4144640862941742,12
958,all,encoder,future/0.75ps/bond_order,0.3433394730091095,12
959,all,encoder,future/0.75ps/bond_order,0.6962554454803467,12
960,all,encoder,future/0.75ps/bond_order,0.30361443758010864,12
961,all,encoder,future/0.75ps/bond_order,0.35237959027290344,12
974,all,encoder,future/0.75ps/bond_order,0.3627099096775055,12
975,all,encoder,future/0.75ps/bond_order,0.4156937599182129,12
976,all,encoder,future/0.75ps/bond_order,0.3179938793182373,12
977,all,encoder,future/0.75ps/bond_order,0.3338383436203003,12
978,all,encoder,future/0.75ps/bond_order,0.1734703630208969,12
979,all,encoder,future/0.75ps/bond_order,0.22808921337127686,12
980,all,encoder,future/0.75ps/bond_order,0.3275366425514221,12
981,all,encoder,future/0.75ps/bond_order,0.49738726019859314,12
982,all,encoder,future/0.75ps/bond_order,0.33913007378578186,12
983,all,encoder,future/0.75ps/bond_order,0.3087679147720337,12
984,all,encoder,future/0.75ps/bond_order,0.43953004479408264,12
985,all,encoder,future/0.75ps/bond_order,0.3238674998283386,12
986,all,encoder,future/0.75ps/bond_order,0.21585558354854584,12
987,all,encoder,future/0.75ps/bond_order,0.4024007022380829,12
988,all,encoder,future/0.75ps/bond_order,0.3203712999820709,12
989,all,encoder,future/0.75ps/bond_order,0.316432923078537,12
990,all,encoder,future/0.75ps/bond_order,0.2563796937465668,12
991,all,encoder,future/0.75ps/bond_order,0.26402607560157776,12
1004,all,encoder,future/0.75ps/bond_order,0.20427024364471436,12
