seed,variant,readout,horizon_ps,known_examples,events,threshold,average_precision,auroc,brier,mean_risk,observed_frequency,precision,recall,false_alarm_rate,detected_events,missed_events,interval_timing_mae_ps,timed_within_first_bin_recall
20260916,A,linear,0.75,221,1,0.6863183379173279,0.03773584905660377,0.785714285714285,0.043657372146216726,0.10176104815311396,0.008333333333333337,0.0,0.0,0.014005602240896359,0,1,,0.0
20260916,A,linear,3.0,221,2,0.9028277397155762,0.04645413142485361,0.7468220338983044,0.09328743354660539,0.16081228275051457,0.016666666666666673,0.0,0.0,0.014124293785310738,0,2,,0.0
20260916,A,linear,9.0,148,2,0.9692074060440063,0.058898305084745764,0.7526595744680851,0.1352387132848397,0.22030369774923506,0.020833333333333332,0.0,0.0,0.010638297872340425,0,2,,0.0
20260916,A,nonlinear,0.75,221,1,0.4686117470264435,0.03550295857988166,0.7717086834733886,0.0238458225926984,0.061636660799240434,0.008333333333333337,0.0,0.0,0.014005602240896359,0,1,,0.0
20260916,A,nonlinear,3.0,221,2,0.7025638818740845,0.04533768618649256,0.7397598870056489,0.057733418353289524,0.10905294868419638,0.016666666666666673,0.0,0.0,0.014124293785310738,0,2,,0.0
20260916,A,nonlinear,9.0,148,2,0.8368569016456604,0.058898305084745764,0.7526595744680851,0.08841823970521802,0.15019941800771144,0.020833333333333332,0.0,0.0,0.010638297872340425,0,2,,0.0
20260916,A,state_constant,0.75,221,1,0.383064329624176,0.03550295857988166,0.7717086834733886,0.01871316264083322,0.054159338621085,0.008333333333333337,0.0,0.0,0.014005602240896359,0,1,,0.0
20260916,A,state_constant,3.0,221,2,0.6415194869041443,0.046667141940543236,0.7468220338983044,0.05198170258156232,0.10869471049103327,0.016666666666666673,0.0,0.0,0.014124293785310738,0,2,,0.0
20260916,A,state_constant,9.0,148,2,0.7681236267089844,0.05909090909090909,0.7526595744680851,0.07600870681737565,0.14253558353326903,0.020833333333333332,0.0,0.0,0.010638297872340425,0,2,,0.0
20260916,A,state_history,0.75,221,1,0.2906138300895691,0.03773584905660377,0.785714285714285,0.01872445362192619,0.05447660406232361,0.008333333333333337,0.0,0.0,0.06302521008403361,0,1,,0.0
20260916,A,state_history,3.0,221,2,0.5518327951431274,0.050446871896722936,0.7662429378531066,0.0519462161407561,0.11101758932865646,0.016666666666666673,0.0,0.0,0.04943502824858757,0,2,,0.0
20260916,A,state_history,9.0,148,2,0.7640901207923889,0.06346153846153846,0.7712765957446808,0.07715275357256088,0.14623096867419208,0.020833333333333332,,0.0,0.0,0,2,,0.0
