left,right,readout,population,metric,seeds,value,ci95_low,ci95_high,sources
state_history,state_constant,A,all,delta/0.75ps/block_mean,3,-0.0003543397446197472,-0.000845885942086435,0.00022904282780709313,30
state_history,state_constant,A,all,delta/0.75ps/bond_order,3,0.0003554271948006418,2.7443578259812475e-05,0.0006856935636864766,30
state_history,state_constant,A,all,delta/0.75ps/instantaneous_TDA_H0,3,0.0006381149093310039,0.0004061927335957687,0.0008695320453908707,30
state_history,state_constant,A,all,delta/0.75ps/instantaneous_TDA_H1,3,0.0006753584576977624,0.00045566801602641745,0.0008960974713166554,30
state_history,state_constant,A,all,delta/0.75ps/instantaneous_TDA_H2,3,0.0005527681360642114,0.00045071626702944433,0.0006643506946663061,30
state_history,state_constant,A,all,delta/0.75ps/motion_even,3,-0.005596046315299141,-0.008409265279769899,-0.0028429107036855488,30
state_history,state_constant,A,all,delta/0.75ps/motion_odd,3,0.0012483391496870254,-0.0006690908140606349,0.0033542407883538137,30
state_history,state_constant,A,all,delta/3ps/block_mean,3,-0.000780411761392047,-0.0013421265030693708,-0.00023092662725873262,30
state_history,state_constant,A,all,delta/3ps/bond_order,3,0.00028901985949940156,-3.873224577142131e-05,0.0006108947553568414,30
state_history,state_constant,A,all,delta/3ps/instantaneous_TDA_H0,3,0.0006548767288525898,0.00039059444848034116,0.0009244313380784459,30
state_history,state_constant,A,all,delta/3ps/instantaneous_TDA_H1,3,0.00039112452003690933,0.00017841196515493924,0.0006079398571617072,30
state_history,state_constant,A,all,delta/3ps/instantaneous_TDA_H2,3,0.0005757701479726368,0.0004347525361097522,0.0007402326735771363,30
state_history,state_constant,A,all,delta/3ps/motion_even,3,-0.006530365678999159,-0.009943454513947169,-0.0034093263414171023,30
state_history,state_constant,A,all,delta/3ps/motion_odd,3,-6.289614571465385e-05,-0.0017792085972097185,0.0018156070510546329,30
state_history,state_constant,A,all,delta/9ps/block_mean,3,-0.0006239753423465597,-0.0011529835656768097,-0.00011077255665981174,30
state_history,state_constant,A,all,delta/9ps/bond_order,3,0.00039461292326450355,7.097907364368434e-05,0.0007348550048967202,30
state_history,state_constant,A,all,delta/9ps/instantaneous_TDA_H0,3,0.0006660557455486721,0.0003538486982385317,0.0009748069031371011,30
