variant,readout,population,method,metric,seeds,value,ci95_low,ci95_high,sources
A,joint,all,encoder,present/block_mean,3,0.4385957022438999,0.4007281125845664,0.48112559853138875,30
A,joint,all,encoder,present/bond_order,3,0.2809864431619644,0.2424811841588881,0.32446809202432636,30
A,joint,all,encoder,present/instantaneous_TDA_H0,3,0.17677133431037265,0.1509360078970591,0.21308110513000023,30
A,joint,all,encoder,present/instantaneous_TDA_H1,3,0.14466856569051742,0.12000337345732583,0.17158769111459451,30
A,joint,all,encoder,present/instantaneous_TDA_H2,3,0.1275877968718608,0.10044929867610335,0.1578938550936679,30
A,joint,all,encoder,present/motion_even,3,0.9732811954286364,0.8607966846724352,1.097692042125596,30
A,joint,all,encoder,present/motion_odd,3,0.9282788780000477,0.7795768517504135,1.0786941722863252,30
A,joint,all,encoder,temporal/0.75ps/covariance_trace,3,1.402591146859858,0.8053819681538477,2.156842956749929,30
A,joint,all,encoder,temporal/0.75ps/increment_p95,3,1.0803013984527852,0.9873277796328894,1.1781726443527474,30
A,joint,all,encoder,temporal/0.75ps/increment_rms,3,0.6885779549678166,0.6251179640988509,0.7521974990185762,30
A,joint,all,encoder,temporal/0.75ps/normalized_rms_jump,3,0.6348024904949219,0.5182558281338242,0.7463555221062683,30
A,joint,low_order,encoder,present/block_mean,3,0.47644275311210177,0.4262606763448322,0.5331202745601974,17
A,joint,low_order,encoder,present/bond_order,3,0.2576050819719539,0.19564539125444844,0.35064429277736764,17
A,joint,low_order,encoder,present/instantaneous_TDA_H0,3,0.16641652496422038,0.14745282077175728,0.18390774883914224,17
A,joint,low_order,encoder,present/instantaneous_TDA_H1,3,0.18663610795549318,0.15562821843971808,0.22151159951645943,17
A,joint,low_order,encoder,present/instantaneous_TDA_H2,3,0.1657740180837173,0.12784909098135197,0.2076201931701279,17
A,joint,low_order,encoder,present/motion_even,3,1.0592411873387357,0.9055415857656329,1.2402763275831352,17
A,joint,low_order,encoder,present/motion_odd,3,1.022983598358491,0.8036978714021983,1.2397535586327897,17
A,joint,low_order,encoder,temporal/0.75ps/covariance_trace,3,0.46954141929745674,0.37194185898018384,0.5864627765569215,16
A,joint,low_order,encoder,temporal/0.75ps/increment_p95,3,1.2234535998975238,1.106006352282129,1.3366546724845343,16
A,joint,low_order,encoder,temporal/0.75ps/increment_rms,3,0.80723637342453,0.7378718016048271,0.8824895477388054,16
A,joint,low_order,encoder,temporal/0.75ps/normalized_rms_jump,3,0.8968693872964947,0.8146399541522367,0.9662244468952067,16
A,linear,all,encoder,delta/0.75ps/block_mean,3,0.6608537609964885,0.5775513755790543,0.7468689830791789,30
A,linear,all,encoder,delta/0.75ps/bond_order,3,0.1104235580191016,0.0887906839020757,0.13331417561612197,30
A,linear,all,encoder,delta/0.75ps/instantaneous_TDA_H0,3,0.28908005828658745,0.24756405644532706,0.3332958968439036,30
A,linear,all,encoder,delta/0.75ps/instantaneous_TDA_H1,3,0.14809535965323448,0.13243745621086822,0.16501684641879466,30
A,linear,all,encoder,delta/0.75ps/instantaneous_TDA_H2,3,0.1180749972247415,0.10654047596475316,0.1319222905538562,30
A,linear,all,encoder,delta/0.75ps/motion_even,3,1.4988888449139066,1.255031489448415,1.7520703264739774,30
A,linear,all,encoder,delta/0.75ps/motion_odd,3,1.8005597478813593,1.5302016518182229,2.092263241741392,30
A,linear,all,encoder,delta/3ps/block_mean,3,0.6989912279985017,0.6323151804137698,0.7687586713408084,30
A,linear,all,encoder,delta/3ps/bond_order,3,0.1265880275103781,0.10112463620698287,0.15378287691312528,30
A,linear,all,encoder,delta/3ps/instantaneous_TDA_H0,3,0.31170868807368807,0.2702740375283691,0.35253554423650096,30
A,linear,all,encoder,delta/3ps/instantaneous_TDA_H1,3,0.1598167812658681,0.14255267560068105,0.17852681762849293,30
