variant,readout,population,method,metric,seeds,value,ci95_low,ci95_high,sources
D,joint,all,encoder,delta/0.75ps/block_mean,1,0.6367497978111109,0.5579354067643484,0.7155641888578733,2
D,joint,all,encoder,delta/0.75ps/bond_order,1,0.1910826936364174,0.1498764455318451,0.23228894174098969,2
D,joint,all,encoder,delta/0.75ps/instantaneous_TDA_H0,1,0.1951519027352333,0.1936975121498108,0.19660629332065582,2
D,joint,all,encoder,delta/0.75ps/instantaneous_TDA_H1,1,0.14178595319390297,0.10537981241941452,0.17819209396839142,2
D,joint,all,encoder,delta/0.75ps/instantaneous_TDA_H2,1,0.10757702961564064,0.07222888618707657,0.1429251730442047,2
D,joint,all,encoder,delta/0.75ps/motion_even,1,1.6521878838539124,1.399155616760254,1.9052201509475708,2
D,joint,all,encoder,delta/0.75ps/motion_odd,1,1.5327133238315582,0.9212096333503723,2.144217014312744,2
D,joint,all,encoder,delta/3ps/block_mean,1,0.9088726863265038,0.852645680308342,0.9650996923446655,2
D,joint,all,encoder,delta/3ps/bond_order,1,0.21403362601995468,0.13371606171131134,0.294351190328598,2
D,joint,all,encoder,delta/3ps/instantaneous_TDA_H0,1,0.2901349142193794,0.2186173051595688,0.36165252327919006,2
D,joint,all,encoder,delta/3ps/instantaneous_TDA_H1,1,0.15688587352633476,0.1210942491889,0.19267749786376953,2
D,joint,all,encoder,delta/3ps/instantaneous_TDA_H2,1,0.13246897235512733,0.08558971434831619,0.17934823036193848,2
D,joint,all,encoder,delta/3ps/motion_even,1,2.182675004005432,1.5530037879943848,2.8123462200164795,2
D,joint,all,encoder,delta/3ps/motion_odd,1,2.477037727832794,1.744510531425476,3.2095649242401123,2
D,joint,all,encoder,delta/9ps/block_mean,1,0.8577561937272549,0.7909832174579302,0.9245291699965795,2
D,joint,all,encoder,delta/9ps/bond_order,1,0.2594512328505516,0.22818197309970856,0.29072049260139465,2
D,joint,all,encoder,delta/9ps/instantaneous_TDA_H0,1,0.49710093438625336,0.45357778668403625,0.5406240820884705,2
D,joint,all,encoder,delta/9ps/instantaneous_TDA_H1,1,0.21859975159168243,0.20639128983020782,0.23080821335315704,2
D,joint,all,encoder,delta/9ps/instantaneous_TDA_H2,1,0.23794712126255035,0.20645195245742798,0.26944229006767273,2
D,joint,all,encoder,delta/9ps/motion_even,1,1.8134097456932068,1.442745327949524,2.1840741634368896,2
D,joint,all,encoder,delta/9ps/motion_odd,1,2.1200283765792847,2.058605194091797,2.1814515590667725,2
D,joint,all,encoder,future/0.75ps/block_mean,1,0.9049767802158992,0.8276597559452057,0.9822938044865926,2
D,joint,all,encoder,future/0.75ps/bond_order,1,1.00998654961586,0.8995502591133118,1.1204228401184082,2
D,joint,all,encoder,future/0.75ps/instantaneous_TDA_H0,1,1.0391514301300049,0.7422013282775879,1.3361015319824219,2
D,joint,all,encoder,future/0.75ps/instantaneous_TDA_H1,1,0.7897348999977112,0.7195153832435608,0.8599544167518616,2
D,joint,all,encoder,future/0.75ps/instantaneous_TDA_H2,1,0.8604304790496826,0.7897824645042419,0.9310784935951233,2
D,joint,all,encoder,future/0.75ps/motion_even,1,0.9748491942882538,0.8797120451927185,1.069986343383789,2
D,joint,all,encoder,future/0.75ps/motion_odd,1,0.7557081282138824,0.717515230178833,0.7939010262489319,2
D,joint,all,encoder,future/3ps/block_mean,1,1.094531754652659,0.9332588315010071,1.255804677804311,2
D,joint,all,encoder,future/3ps/bond_order,1,0.9946902394294739,0.8397095203399658,1.149670958518982,2
D,joint,all,encoder,future/3ps/instantaneous_TDA_H0,1,0.8971860110759735,0.6674100756645203,1.1269619464874268,2
D,joint,all,encoder,future/3ps/instantaneous_TDA_H1,1,0.6805296540260315,0.6494541764259338,0.7116051316261292,2
D,joint,all,encoder,future/3ps/instantaneous_TDA_H2,1,0.8313649594783783,0.7107626795768738,0.9519672393798828,2
