step,examples_seen,elapsed_seconds,score,present_mse,future_mse,present_blocks.radial,present_blocks.pair,present_blocks.angular,present_blocks.speed,present_blocks.radial_velocity,present_blocks.moments,future_by_horizon.0.75,future_by_horizon.3.0,future_by_horizon.9.0,future_by_horizon.24.0,future_by_horizon.48.0,future_by_horizon.96.0,future_blocks.radial,future_blocks.pair,future_blocks.angular,future_blocks.speed,future_blocks.radial_velocity,future_blocks.moments,validation_seconds,input_wait_seconds,windows
1,8,0.3006934430450201,1.8295253813266754,0.9127706345170736,0.9167547468096018,0.711045375559479,0.9072788516059518,0.9839266142807901,1.1935265437932685,0.9116822830401361,0.9763811775483191,0.8034199140965939,0.9633007301017642,0.9416643008589745,0.9274988044053316,0.8876027995720506,0.9770419979467988,0.7854374824091792,0.8409522827714682,1.0325907049700618,0.981473715044558,1.040035480633378,1.0271586142480373,0.052196703385561705,1.201685518026352e-05,32
25,200,1.4538118238560855,1.8484974531456828,0.9039422469213605,0.9445552062243223,0.7117751524783671,0.8973539900034666,0.9766127588227391,1.182248973986134,0.8972081141546369,0.9572096872143447,0.8262142166495323,0.9889917895197868,0.9672066494822502,0.9525965712964535,0.9198481654748321,1.012473882175982,0.8140201447531581,0.8744930308312178,1.0656096832826734,1.0020127622410655,1.064217148348689,1.0475757652893662,0.04788970807567239,1.2399163097143173e-05,32
50,400,2.614985784050077,1.887808570638299,0.8276107423007488,1.0601978283375502,0.7215929962694645,0.9019736172631383,0.969548084307462,0.8736708243377507,0.6987356483004987,0.8317980282008648,0.9277055747807026,1.0852610673755407,1.086703971028328,1.0830664038658142,1.0514683406800032,1.1269816346466541,0.9164318088442087,1.0009011309593916,1.1805316833779216,1.1600339142605662,1.1786997132003307,1.12765141017735,0.04784059105440974,1.1436175554990768e-05,32
75,600,3.784778750035912,2.017184636555612,0.7636274201795459,1.2535572163760662,0.7096768030896783,0.8997147716581821,0.9463801812380552,0.6053256212035194,0.6265037506818771,0.7120266892015934,1.1221116799861193,1.245081800967455,1.2847297545522451,1.274011136032641,1.2732056835666299,1.3222031984478235,1.0998701946809888,1.1949939299374819,1.3825833853334188,1.3686480224132538,1.3685008771717548,1.3189971540123224,0.04791954904794693,1.1804979294538498e-05,32
100,800,4.941359435673803,1.8480664328671992,0.6898356922902167,1.1582307405769825,0.691582519095391,0.871725101955235,0.9312869408167899,0.3703773751622066,0.4749193391762674,0.6154866749420762,1.013754015788436,1.1790443900972605,1.1872591897845268,1.1755843553692102,1.1764303771778941,1.2173119699582458,1.0129447365179658,1.1018023462966084,1.2741380315274,1.2636483274400234,1.2716464791446924,1.2269186489284039,0.04778782231733203,1.1768657714128494e-05,32
125,1000,6.120171396993101,1.8749084370210767,0.6617949409410357,1.213113496080041,0.6835863310843706,0.8643443631008267,0.917661942075938,0.2563812804874033,0.43605919694527984,0.5883956742472947,1.0673443023115396,1.2431565076112747,1.24056641664356,1.223022574558854,1.2401867303997278,1.264404360204935,1.0630320282652974,1.1605443814769387,1.331518817692995,1.3283082880079746,1.3240326456725597,1.2738953102380037,0.04835813399404287,1.1397525668144226e-05,32
150,1200,7.300781812053174,1.8533818880096078,0.6544555341824889,1.1989263538271189,0.6792237684130669,0.8546914989128709,0.9076015492901206,0.24688552162842825,0.4325585104525089,0.5807681265287101,1.0524511383846402,1.2221118174493313,1.22660097386688,1.2132852403447032,1.218728618696332,1.2603803109377623,1.052715533412993,1.1435993649065495,1.320146655663848,1.3088262341916561,1.3075660336762667,1.2622421029955149,0.04766988614574075,1.08364038169384e-05,32
175,1400,8.420643168035895,1.8315031453967094,0.6688097789883614,1.162693366408348,0.686193972826004,0.8609284642152488,0.9172192593105137,0.2746864017099142,0.46255443850532174,0.6017732471227646,1.016539053991437,1.1981710456311703,1.1898800944909453,1.1749913953244686,1.1800797823816538,1.2164988722652197,1.0191204734146595,1.1120705548673868,1.2826511897146702,1.259588360786438,1.2702352460473776,1.2266901582479477,0.04781248886138201,1.222873106598854e-05,32
200,1600,9.557459567673504,1.875131987966597,0.6576982727274299,1.2174337152391672,0.6787708876654506,0.8495677812024951,0.9055943735875189,0.26032656349707395,0.44875520979985595,0.5902327466756105,1.0653159525245428,1.2471731044352055,1.2440488832071424,1.2282084729522467,1.238989468663931,1.2808664003387094,1.0733127193525434,1.1695379493758082,1.3416224122047424,1.3211921490728855,1.317634031176567,1.2733197659254074,0.04823777265846729,4.44464385509491e-05,32
225,1800,10.733773762825876,1.9588454719632864,0.6535549405962229,1.3052905313670635,0.6747607626020908,0.8414879748597741,0.891532039269805,0.2594070523045957,0.45511134224943817,0.5898915543220937,1.1572371320798993,1.3456666935235262,1.3240794660523534,1.3010395020246506,1.3288370538502932,1.374883295968175,1.1652155704796314,1.2514631329104304,1.4352039583027363,1.4294154681265354,1.3932163789868355,1.3511309176683426,0.04827948613092303,1.1028256267309189e-05,32
