step,examples_seen,elapsed_seconds,score,present_mse,future_mse,present_blocks.radial,present_blocks.pair,present_blocks.angular,present_blocks.speed,present_blocks.radial_velocity,present_blocks.moments,future_by_horizon.0.75,future_by_horizon.3.0,future_by_horizon.9.0,future_by_horizon.24.0,future_by_horizon.48.0,future_by_horizon.96.0,future_blocks.radial,future_blocks.pair,future_blocks.angular,future_blocks.speed,future_blocks.radial_velocity,future_blocks.moments,validation_seconds,input_wait_seconds,windows
1,8,1.8913816278800368,1.862758019923543,0.928122963119919,0.9346350568036239,0.7991621278071155,0.8791143449023366,1.003908936601753,1.0194945413716292,1.014677625708282,1.0303496520655853,0.9585422438879808,0.9476626072699824,0.9303135224307577,0.9159362410816054,0.923955471192797,0.9314002538720767,0.8034641724390288,0.8818693196245779,1.011495066837718,1.0178298658846567,1.0328380676917732,1.0442504701515039,1.704013040754944,0.0004940754733979702,960
256,2048,13.250607304740697,1.5988443944137543,0.718354628002271,0.8804897664114832,0.7878837446526935,0.8624101471776764,0.9802262955655654,0.2338392823071141,0.5059621618362143,0.7262215038722691,0.8965669421789546,0.8916591495585939,0.8719927110243588,0.8628008442620436,0.875615845186015,0.8843031050016481,0.7458151753370961,0.805709468604376,0.9216902997034291,0.9899565010797233,1.0111931515857577,1.018028898878644,1.6596730002202094,0.0004776925779879093,960
512,4096,24.306079783011228,1.583718005257348,0.7276646038827796,0.8560534013745685,0.7889536725900446,0.8680538409932828,0.9881660465771953,0.2580366573665136,0.5290393412540046,0.7320597591266658,0.8715567352871101,0.8655620131331185,0.8467128796968609,0.8383187341193358,0.8512886668244998,0.8628813692523787,0.720717845717445,0.7705482083993653,0.8801454012903074,0.9795546792137126,1.0010516364748279,1.0051433793269098,1.6643395880237222,0.00048492709174752235,960
768,6144,35.422749045770615,1.5523541948913286,0.7134707342367619,0.8388834606545666,0.7872525866221015,0.8631372724038859,0.9825000476557763,0.1988983200387641,0.5001399313371317,0.7254478444616931,0.8554541653643051,0.8493637308167915,0.8288639436010271,0.8216325236018747,0.8340967948548497,0.8438896035930763,0.7033405063208191,0.743807932548225,0.8477624177001417,0.9742210125084966,0.9964750251422326,0.9983123512007295,1.6732807848602533,0.0005210060626268387,960
1024,8192,46.511922841891646,1.5384608754267295,0.7086469211615622,0.8298139542651672,0.7865185359570508,0.8609765910388281,0.9773607497646783,0.1905675573994813,0.4843812472070567,0.7218755586887708,0.8465806834865361,0.8377257402210185,0.8191641498046617,0.8134022480342538,0.8273598368900518,0.8346510593158505,0.6940112969061981,0.7313701063084106,0.8334494855254889,0.9694042583772292,0.9907650301543375,0.9941300343722106,1.682307758834213,0.00045710476115345955,960
1280,10240,57.63645693054423,1.5353003301192074,0.7106739434568832,0.8246263866623242,0.7889784795464948,0.8629913728994627,0.9816185598572095,0.19143638688256032,0.48146037687547505,0.7269365169224329,0.8428132216290881,0.8340814049821346,0.8157648908905686,0.8078367132072648,0.8190661488100887,0.828195936186239,0.6893709665164351,0.7236621114114921,0.8241849765647202,0.9669761427833388,0.9890488867337504,0.9907349329131345,1.6744727296754718,0.0004653325304389,960
1536,12288,68.75767626287416,1.5200712197770676,0.6996269038878382,0.8204443158892294,0.7829265255092953,0.8538937909451003,0.9681288292010625,0.17013036561838818,0.4674013129066831,0.7177141034121935,0.8354743656702339,0.8286782760949184,0.8100631844562788,0.8031018549886842,0.8177972153294832,0.8275509956603249,0.6839953760771701,0.7166768325259909,0.8168442771770061,0.9661761000286787,0.9880797385858993,0.9911099946126343,1.683515526354313,0.0004509100690484047,960
1792,14336,79.83484100783244,1.5210875681601466,0.7013060815011463,0.8197814866590004,0.7872546559199691,0.8575718221875528,0.9757081734171759,0.1645992228227745,0.46339916427386924,0.7170891478347282,0.836571276265507,0.8295888759040584,0.8100305607697615,0.8035627176364263,0.8155220586806535,0.8234134372944633,0.6834545457890877,0.7164053014867628,0.8184295192671319,0.9643253034291168,0.9872401240902642,0.9885372567611437,1.6809173915535212,0.00048738904297351837,960
2048,16384,90.92445018375292,1.507740731164813,0.6924156620477637,0.8153250691170493,0.7747337695987274,0.8430480817332864,0.9541417091619223,0.17481219521238625,0.46232599653109596,0.7124816889214951,0.829227946853886,0.8240588380334278,0.8048616828862577,0.7990531233139335,0.8137065288610756,0.8210422997362912,0.6785013848915696,0.7098186904254059,0.8115367662083979,0.9626849798640857,0.9851750579973062,0.9865636083918313,1.6702732942067087,0.00044536544010043144,960
