model,nominal_lead_ps,actual_lead_min_ps,actual_lead_max_ps,events,sources,matched_ap,matched_ap_lower95,matched_ap_upper95,restricted_timing_mae_ps,restricted_timing_mae_ps_lower95,restricted_timing_mae_ps_upper95,conditional_timing_mae_ps,conditional_timing_mae_ps_lower95,conditional_timing_mae_ps_upper95,case_probability,case_probability_lower95,case_probability_upper95,control_probability,control_probability_lower95,control_probability_upper95,event_mass_96ps,event_mass_96ps_lower95,event_mass_96ps_upper95
mace-direct,3.0,3.0,5.25,287,27,0.8506133118552617,0.8232457495356589,0.8799053954392971,19.24650620187209,16.92717392467825,21.899348651861793,11.903742623305419,10.312950096213678,13.653055992472062,0.27602909241336543,0.239012314574277,0.3117575835342974,0.056080038232654186,0.04132053081334857,0.07195976064441166,0.8944501175483078,0.8769579456895432,0.9107705517061084
mace-direct,6.0,6.0,8.25,287,27,0.8116176492976714,0.7775996721275051,0.8516778371747435,18.575466750582493,16.69739714238847,20.740842754962213,11.175192725802235,9.874110247225742,12.713375630044752,0.32461971836280473,0.2935857592309252,0.3532153219968293,0.08932844265036625,0.06740916777399766,0.11051184625282437,0.8912662618431211,0.8747706310053153,0.9062677826337984
mace-direct,9.0,9.0,11.25,287,27,0.7878706726754025,0.7541120894701075,0.8274079511555295,18.338166704928927,16.202346930090783,20.733077276720234,10.786191214470643,9.285435944027624,12.486917397777953,0.35622809844361386,0.322623539815022,0.388950054997184,0.11536913968673942,0.09093386187785464,0.13966998792203072,0.8863551953880198,0.869776440782127,0.9025256111797835
mace-direct,12.0,12.0,14.25,287,27,0.7639661159926431,0.7240787787037488,0.8085474981426048,18.285718215064986,15.691983185455717,21.04042057312425,10.729462625013698,9.02796842357875,12.631899017587033,0.38836328765884726,0.34955287204015856,0.424782775398603,0.1390145758613819,0.11369035540133106,0.16216347032936365,0.8729502330513819,0.8494232495866378,0.8929992596056808
mace-direct,18.0,18.0,20.25,287,27,0.7091666749253173,0.6723947042258412,0.759594345460543,19.40093102415966,17.03636894899506,21.819681917922175,11.484019256821721,9.959187106453527,13.026144743259112,0.39629320576004434,0.3654222316453249,0.4257487740314756,0.1695549892050976,0.13811944026242307,0.2007006926530863,0.8402300620590331,0.8127885809857693,0.865475239175673
mace-direct,24.0,24.0,26.25,287,27,0.6535906331560802,0.6113034491602153,0.7107184706543886,25.691362370237375,21.94719062768042,29.505004168293645,15.437346069475682,13.234441874449661,17.658018878809514,0.348815308199528,0.30967507622976387,0.3868994841630851,0.17516087689271334,0.13995921369013706,0.21247972525709577,0.739394332255195,0.6889262588279252,0.7854358151908505
mace-direct,36.0,36.0,38.25,287,27,0.5635781147367942,0.5131389936890874,0.6312637825771386,31.240968354537316,27.513634683903646,34.79188387928361,17.109308463047725,15.553036006915734,18.56303765249988,0.27045186656650005,0.2241185398625699,0.3216650784258495,0.19909608780561502,0.15653476125531318,0.25087553854466743,0.5843079535490943,0.5222281049870803,0.6489783713192907
mace-direct,48.0,48.0,50.25,287,27,0.5382747684831652,0.4937008335792702,0.5960545280579718,27.646660662702423,25.07725572151275,30.02402813979137,11.619381061304786,10.793171223110772,12.428194605324256,0.2461992327843183,0.20351847546868335,0.29329448016974796,0.219622391294473,0.18106636217101418,0.26010895010671387,0.4928738527189136,0.430430869762769,0.5564962450299327
mace-ar_mse,3.0,3.0,5.25,287,27,0.8401263836705293,0.8109073868286375,0.876759513738956,20.754813866649286,18.5105626589893,23.370999752364302,12.667163932803298,11.10356085564409,14.376501049086224,0.24256842229269854,0.20523287185954459,0.2793400042891933,0.049756014536293726,0.032836743872037645,0.06868467154939262,0.88485252773631,0.8659416086468453,0.9002972637793009
mace-ar_mse,6.0,6.0,8.25,287,27,0.8187523852523201,0.7841712593255389,0.85660590566757,20.691389206405358,18.674082804389545,23.195003726404675,12.549749451669427,11.182563133968404,14.160802940764398,0.2861601364672764,0.25530152013757174,0.31590312285699684,0.07365172433389106,0.05518986224339459,0.0923470025953872,0.8808608146265338,0.8621118756191968,0.8961051177779572
mace-ar_mse,9.0,9.0,11.25,287,27,0.792134406742123,0.7555864155048265,0.8301093379623152,20.482313749499617,18.24069493324658,22.976921667422562,12.316742188108485,10.830876572945105,14.002275918910268,0.31619032045971407,0.287488678255196,0.34752420528696504,0.10029175813867018,0.078675623813555,0.12176825652362486,0.8761780210094339,0.8552584948168886,0.8926150905169187
mace-ar_mse,12.0,12.0,14.25,287,27,0.7575583652362661,0.7195474268538765,0.8021464046886831,20.55116745699292,18.26271063546336,23.15018939990198,12.332828565605906,10.694855826778642,13.95120404377582,0.33372346926785973,0.3048071486917413,0.3654005894949804,0.12104844045657051,0.09773671926969196,0.14270026197816035,0.8657552796720908,0.8431977524006944,0.8849578198331116
mace-ar_mse,18.0,18.0,20.25,287,27,0.696507488665364,0.6556046325780005,0.7494199324332999,22.213679468739294,19.899108380779637,24.519610894601566,13.178575228263792,11.578948906433292,14.754383634083018,0.34551100395370443,0.31584782743254824,0.3727611375137483,0.1496847964001527,0.11833265034313589,0.18292160449168043,0.8239085631188852,0.7974061274987465,0.8483566763633029
mace-ar_mse,24.0,24.0,26.25,287,27,0.6538729766120153,0.6139867188284271,0.7131169004508779,27.848031574113556,24.176851337048106,31.636357542253798,16.445034131332633,14.205212632019498,18.639334875722934,0.31760153863967877,0.28306100441713106,0.3541143256326754,0.1519249582935871,0.12013893979431527,0.1850817355900284,0.7154079689275592,0.6677622594948757,0.760581708636218
mace-ar_mse,36.0,36.0,38.25,287,27,0.5608301703865168,0.5125212369797593,0.6267796930343478,32.71449047202939,29.091104457224468,36.06391060814072,17.717138432798095,16.020677371531402,19.196920637126688,0.2332475454102054,0.19504915100704667,0.27327403873583966,0.17488892859326882,0.13337298710857257,0.22463254039416258,0.5522023035305204,0.49336726430269356,0.6119993788906091
mace-ar_mse,48.0,48.0,50.25,287,27,0.5283130215346704,0.482238305993196,0.5888325073412902,28.975956411199206,26.383435202289494,31.412559559137634,11.953723297800295,11.387508420057094,12.537135760176836,0.21529449536716852,0.17555605590217757,0.25474758582124224,0.20154415439599221,0.16560017689087933,0.2403780867990151,0.4600734744219455,0.4024293963400636,0.518983848183865
mace-mixture,3.0,3.0,5.25,287,27,0.8343542886095565,0.8046326181716666,0.8689226112917522,19.253679338211484,16.864346779565125,22.118586684321635,10.380031748462486,8.93152654046634,12.07505551510281,0.24636155700326073,0.21610677192338465,0.2748927288324435,0.0585492367171989,0.04190923120431458,0.076446541945994,0.8764794084146494,0.8531493099764073,0.8948045668769082
mace-mixture,6.0,6.0,8.25,287,27,0.8086602678665308,0.7699850360654128,0.8521226016905498,18.353582988577422,16.272793094225868,20.78921142632789,9.880824853112593,8.466298245704214,11.456340167457572,0.32515271895439213,0.29302148910321707,0.3555000552088031,0.09135556016764754,0.0689128743890168,0.11345987822444102,0.8775149931455094,0.8578588901542402,0.894191307936824
mace-mixture,9.0,9.0,11.25,287,27,0.7691635120584055,0.7318351729508135,0.8098125600175814,18.238274689236164,15.96739528564376,21.020391338239957,10.09688619302103,8.651242057270052,11.787372932812026,0.3455378271576241,0.3150550991060259,0.3771866281134999,0.11832827414141393,0.09411715491428135,0.143689094620713,0.8752180325847038,0.8504494022708668,0.8936689739173321
mace-mixture,12.0,12.0,14.25,287,27,0.7421386849162994,0.7012066530699639,0.7895862674605165,18.494937689585704,15.916413773763898,21.667818806335042,10.615125358004757,8.925907488112328,12.42559249489822,0.3704779081992417,0.3327759445500447,0.406685384601739,0.14056555859588815,0.11322464005649314,0.1667139037732046,0.8655962776317669,0.8374865581373283,0.8871391000873778
mace-mixture,18.0,18.0,20.25,287,27,0.6795259942478424,0.6373970384271351,0.7352338649804315,21.58132978455173,19.047198381217655,24.051827000305217,12.830183393272865,11.128427803150007,14.511304487370191,0.36503940317931177,0.33549237277178645,0.3944411701991819,0.16339068033349285,0.13175362390703574,0.19768129773297036,0.8193036800640785,0.7921259543238129,0.8460431984176372
mace-mixture,24.0,24.0,26.25,287,27,0.6348991271316046,0.5878520588856597,0.6936794144924096,28.757859446902472,25.31098267301351,32.51423334285635,17.09631646477483,14.87754430289971,19.25477556341476,0.3071356052614913,0.2710388513310908,0.34442500398607373,0.15717599364118578,0.12376734455721529,0.19423440329628608,0.7016719131221021,0.6529173342766923,0.7467796538108067
mace-mixture,36.0,36.0,38.25,287,27,0.5546932854967176,0.5095332325772123,0.6173855681965261,34.37682823570174,31.094289061249,37.37410727527632,18.61322444771703,17.00748109716513,20.05338151905548,0.22197907669993025,0.1848911532956669,0.26057463347542453,0.1712561822483961,0.13023181811011222,0.2227104937308497,0.5222058348065634,0.4674875218739057,0.5777582110306766
mace-mixture,48.0,48.0,50.25,287,27,0.5181120047269361,0.48154415171620696,0.5690727473726533,29.915891706672653,27.78455488222933,32.10747166810823,12.186796229760443,11.45619443035164,12.848492634796344,0.20523396308544725,0.1708842406673025,0.24026875022090866,0.19669103162983403,0.1627023966482933,0.23667173227855545,0.4370083550661937,0.3839914006087249,0.4876556086586074
mace-diffusion,3.0,3.0,5.25,287,27,0.7923832619993301,0.7607691748015941,0.8245534055072202,19.2783363832799,17.031669099039664,21.94554328000228,16.128603670783694,14.22001975793029,18.40351237960667,0.17058643283416652,0.14361083143463446,0.19566521696039502,0.03140374983057141,0.021933365843466553,0.041242974729645686,0.9381765415351083,0.9215668896739876,0.9519962198436362
mace-diffusion,6.0,6.0,8.25,287,27,0.7932547467750792,0.7605371936217106,0.8261028047316277,18.591784066853677,16.517962207206224,21.058101809256286,15.33268580879573,13.62371198924568,17.242403359055135,0.17856346916436042,0.15327268647660494,0.19967831878804213,0.0385656240227954,0.02857527673945268,0.050140832744691985,0.9397680226517034,0.9252285688387791,0.9524127920542359
mace-diffusion,9.0,9.0,11.25,287,27,0.7808087347095536,0.7472658920933481,0.8152142652187913,18.363617361092714,16.267915906985326,20.786836011476456,15.31897633832504,13.594968767969672,17.25089725023178,0.2038388323506395,0.18374579225130167,0.22553894037452402,0.052291627608142266,0.03937736001245221,0.0655544362257722,0.9378990198409893,0.921542567986137,0.9510625071672822
mace-diffusion,12.0,12.0,14.25,287,27,0.7522364552247698,0.7187771848221377,0.7924892894237752,19.5508156248586,17.316195079644235,22.320991687363684,16.18738414565397,14.328482932548386,18.41459080075116,0.21819322458710774,0.19271751989083122,0.24236381964617779,0.06603577481254766,0.05108347315386519,0.0823194681620834,0.9220101748940774,0.9038648398837485,0.9366073824339688
mace-diffusion,18.0,18.0,20.25,287,27,0.6580284151725362,0.6104955429458047,0.7178360429751093,22.696995910530827,20.171373757101346,25.434144035522497,18.055017691409528,16.03834236578232,20.22592704088735,0.23807964516939342,0.21196800525822113,0.2629080264641369,0.10859491642807904,0.08117557916938474,0.14220472903374487,0.866093855229464,0.8331757675336728,0.8931321608190687
mace-diffusion,24.0,24.0,26.25,287,27,0.6427925769226918,0.5968371007764054,0.708899091160031,30.97196693718287,27.001799159899733,35.22387992973153,24.425922803538207,21.33496193673608,27.850199556988507,0.23596998953599885,0.19871410518255286,0.2771432847621883,0.10930487511900008,0.07660634013919124,0.14869853119307017,0.7368735581148192,0.6765675676833892,0.7911283053482037
mace-diffusion,36.0,36.0,38.25,287,27,0.5345160675954818,0.49357576604349307,0.590924987354747,37.34699841719252,33.18286333143671,40.901031967696255,27.559380249975618,24.308830469550845,30.324987009203554,0.17501314194059198,0.13448323895393263,0.22084383413272357,0.13563058943304732,0.08806886976006746,0.19147128213965822,0.54348779329307,0.4830166289475291,0.6140312396876627
mace-diffusion,48.0,48.0,50.25,287,27,0.5344707297470649,0.49944019485787294,0.5798360381770362,34.24209316685668,31.104287291718286,36.93480847418497,22.694192064783493,20.50655368743763,24.536999109646818,0.14441547369472757,0.10674830579840056,0.19290585799348006,0.11852227976651458,0.08489034552748323,0.15493482418367208,0.428434931173751,0.36764885831726674,0.501228870568184
gatr-direct,3.0,3.0,5.25,287,27,0.8455861023489288,0.8194462940219611,0.8769061751330582,20.51998807789797,17.93946897119373,23.682257821608964,12.070736067929223,10.485851204132079,14.017291895298863,0.25285650191045045,0.2166958404587566,0.2879898017076615,0.052782035691709764,0.03904829217820949,0.06804697399240278,0.8801056959316715,0.8573581757957285,0.8988392023343075
gatr-direct,6.0,6.0,8.25,287,27,0.8157416347154258,0.7884337078356883,0.8495516812083336,18.962135011045618,16.680512436400086,21.797691262688573,11.34078136212008,9.881218809213308,13.094082331343948,0.3077107585821231,0.27728986638578845,0.33433053636086485,0.08931455648165446,0.06873083002770163,0.10842987256041972,0.8890158985313628,0.8672624108192395,0.9068533967079885
gatr-direct,9.0,9.0,11.25,287,27,0.7837242399343027,0.7494406079940674,0.8222135647208628,18.168539660742525,15.596917704053826,21.233606104428357,10.869760167134032,9.177038591784608,12.893430389380939,0.35513922977000045,0.3167537547011223,0.39205061747227765,0.12388829265468232,0.0993404262123762,0.14785870477324517,0.8894979645468449,0.8654367201320325,0.9081194732951895
gatr-direct,12.0,12.0,14.25,287,27,0.7387471459761445,0.7022063056474167,0.7837932170177575,17.497801619020258,14.656145752666765,20.803292819107696,10.586049383642663,8.725691694964148,12.674499901010615,0.39316432336608026,0.3483721605526918,0.43572293293637127,0.16243360684708236,0.13102229407381,0.19264891827786818,0.8856109706547655,0.8608490779649342,0.9063087771205681
gatr-direct,18.0,18.0,20.25,287,27,0.6966582327078851,0.6576679934891924,0.7497003514101491,19.388146997360472,16.44642733813372,22.683445925113055,12.145075601435124,10.359707990632474,14.16728112150863,0.40947575766076194,0.3660251960977087,0.45177204427706225,0.18715780596937875,0.15357248839179263,0.22366253455162835,0.8450286340087609,0.814260559698981,0.8726783804420584
gatr-direct,24.0,24.0,26.25,287,27,0.6551741934304494,0.6127640200991863,0.7057008149610994,24.39323070866234,21.215101416932864,27.729362373326705,15.254319514869152,13.292967869648093,17.213662701115506,0.36986087914665255,0.3273451641414535,0.41150927535814796,0.18815433145599006,0.14902896625537318,0.22819847861826553,0.7640902339885868,0.7235180202296239,0.8001233157404601
gatr-direct,36.0,36.0,38.25,287,27,0.560118229479269,0.5205942203314334,0.6141490796692389,32.152433569148826,28.64379058383338,35.197118062041795,18.46497306397224,16.802700941389446,19.962000135741402,0.2516216208244228,0.21212539121466636,0.29896395680085486,0.18874311584925643,0.1483602790798067,0.23669398574943024,0.5724965789077358,0.5181182362887574,0.631115656844814
gatr-direct,48.0,48.0,50.25,287,27,0.5085495852333635,0.46973154235619063,0.5638711080539298,29.719143329655353,27.37793739836607,31.906865305051834,14.127274979087554,13.346933014060053,14.990210909275302,0.2112425061441278,0.17695275735129967,0.25078125301175164,0.20822925509229287,0.16763727475340268,0.25238211465441074,0.4569684320554598,0.4029404627467651,0.5120502553671267
gatr-ar_mse,3.0,3.0,5.25,287,27,0.8436537688894965,0.8185283442042718,0.8750410770058814,23.787418904310062,20.936035933481726,27.216540375997113,13.58568749725092,11.931704823513895,15.469863761351677,0.23766695654147385,0.1987207303177874,0.2745465094933533,0.04477568732119953,0.03166482596053951,0.05895057336355161,0.8536918882188957,0.82830871149172,0.8750995213065833
gatr-ar_mse,6.0,6.0,8.25,287,27,0.8168848560019462,0.7894298985870587,0.8469969489802184,22.324606900856427,19.79855247107246,25.183006069475752,12.630556157446424,11.104504607122514,14.443844389713593,0.2879420291494316,0.25657717156031784,0.31758177705822327,0.07847465541352189,0.0604061022448118,0.09672120567380978,0.8574281439347422,0.8342204268567163,0.8769754396479481
