source_id,split,validation_role,temperature_K,persistence_frames,grid,eligible,event_centers,positives
860,train,,520.0,3,native,69,15,"[0, 1, 4, 12, 22, 45]"
860,train,,520.0,3,dense,614,15,"[2, 12, 40, 114, 234, 398]"
860,train,,520.0,5,native,71,15,"[0, 1, 2, 12, 21, 43]"
860,train,,520.0,5,dense,629,15,"[2, 10, 36, 108, 228, 385]"
860,train,,520.0,9,native,71,15,"[0, 1, 2, 12, 20, 41]"
860,train,,520.0,9,dense,630,15,"[2, 9, 32, 100, 213, 368]"
861,train,,520.0,3,native,207,16,"[0, 1, 2, 11, 22, 49]"
861,train,,520.0,3,dense,2013,16,"[5, 13, 42, 122, 250, 506]"
861,train,,520.0,5,native,209,16,"[0, 1, 2, 9, 19, 48]"
861,train,,520.0,5,dense,2030,16,"[4, 10, 35, 103, 227, 482]"
861,train,,520.0,9,native,209,16,"[0, 1, 2, 9, 19, 48]"
861,train,,520.0,9,dense,2030,16,"[4, 10, 35, 103, 227, 482]"
862,train,,520.0,3,native,61,16,"[0, 1, 4, 12, 26, 47]"
862,train,,520.0,3,dense,536,16,"[2, 11, 39, 117, 245, 455]"
862,train,,520.0,5,native,61,16,"[0, 1, 3, 12, 25, 46]"
862,train,,520.0,5,dense,539,16,"[2, 9, 37, 114, 237, 447]"
862,train,,520.0,9,native,64,16,"[0, 1, 3, 11, 22, 43]"
862,train,,520.0,9,dense,585,16,"[3, 8, 33, 102, 219, 431]"
863,train,,520.0,3,native,58,15,"[0, 1, 3, 11, 23, 43]"
863,train,,520.0,3,dense,511,16,"[4, 11, 40, 111, 220, 367]"
863,train,,520.0,5,native,58,15,"[0, 1, 3, 11, 23, 43]"
863,train,,520.0,5,dense,511,16,"[4, 11, 39, 110, 219, 367]"
863,train,,520.0,9,native,58,14,"[0, 1, 3, 11, 23, 42]"
863,train,,520.0,9,dense,511,15,"[4, 11, 39, 110, 219, 361]"
864,train,,520.0,3,native,256,0,"[0, 0, 0, 0, 0, 0]"
864,train,,520.0,3,dense,2412,0,"[0, 0, 0, 0, 0, 0]"
864,train,,520.0,5,native,256,0,"[0, 0, 0, 0, 0, 0]"
864,train,,520.0,5,dense,2412,0,"[0, 0, 0, 0, 0, 0]"
864,train,,520.0,9,native,256,0,"[0, 0, 0, 0, 0, 0]"
864,train,,520.0,9,dense,2412,0,"[0, 0, 0, 0, 0, 0]"
865,train,,520.0,3,native,256,0,"[0, 0, 0, 0, 0, 0]"
865,train,,520.0,3,dense,2414,0,"[0, 0, 0, 0, 0, 0]"
865,train,,520.0,5,native,256,0,"[0, 0, 0, 0, 0, 0]"
865,train,,520.0,5,dense,2414,0,"[0, 0, 0, 0, 0, 0]"
865,train,,520.0,9,native,256,0,"[0, 0, 0, 0, 0, 0]"
