lag_ps,pairs,embedding_standardized_mse,fixed_membership_mse,global_centered_correlation,track_centered_correlation,observed_tda_increment_skill,observed_tda_increment_cosine,relaxed_readout_delta_mse,ptm_label_flip_fraction
0.75,2304,0.34340739332508735,0.3163047432899475,0.8270256246459402,0.062341716862220835,0.8145762561869769,0.8612040540907066,0.025568191390697544,0.012586805555555556
1.5,2160,0.3620987219682391,0.35364899039268494,0.8176527182703353,0.007752664439992382,0.8199023660634055,0.8649230532930843,0.027809020449670378,0.015277777777777777
3.0,1872,0.381961312694071,0.44009074568748474,0.8077201053971198,-0.04601635851129572,0.8265772835332844,0.8723438864347713,0.032781403528609136,0.01655982905982906
6.0,1296,0.4091602798375429,0.6673083901405334,0.7938018038507214,-0.11453413568852187,0.8271976070098773,0.8771534447060586,0.041348669655881395,0.027777777777777776
9.0,720,0.42119644677755375,1.0120936632156372,0.7869762009155366,-0.13977374315226104,0.8384546642942152,0.8852606180695612,0.052839874663619904,0.029166666666666667
12.0,144,0.4437259943995044,1.6750869750976562,0.7730780782899561,-0.18888182552086982,0.8444610206113141,0.8900862216045844,0.07901715887053279,0.034722222222222224
