replaced_atoms,n,embedding_mse_over_0p75ps,hot_tda_mse_over_0p75ps
1,144,0.07542612089696955,0.026109182597596734
2,144,0.15619968650828753,0.04906454876449195
4,144,0.36781366311079156,0.1192403893606151
