control,n,mse,mse_over_0p75ps
quantized_z,144,0.00819200649857521,0.023855067356747996
fixed_quantized_z,144,0.0021492973901331425,0.0062587394211938395
observed_TDA_global_float16,144,0.004341352265328169,0.023470296293306665
