target,model,split,n,balanced_mse,skill,low,high,sources,local_centered_skill,local_uncentered_skill,alpha,H0_local_centered_r2,H1_local_centered_r2,H2_local_centered_r2
hot,training_mean,train,3456,0.9623646313941715,0.0,0.0,0.0,18,0.0,-2.7410159618329657,,-2.220446049250313e-16,0.0,0.0
hot,training_mean,val,1152,0.8715237198287744,0.0,0.0,0.0,6,2.220446049250313e-16,-2.8191292536857393,,-2.220446049250313e-16,-2.220446049250313e-16,0.0
hot,training_mean,test,1152,0.9091421656962417,0.0,0.0,0.0,6,-2.220446049250313e-16,-2.036502651374364,,0.0,0.0,0.0
hot,temperature_mean,train,3456,0.9037208400781862,0.06093718472490883,0.0031411913202243668,0.12823211088912664,18,0.0,-2.5130489811079184,,0.0,0.0,0.0
hot,temperature_mean,val,1152,0.7621203201936287,0.12553117849350082,0.0013582527046768211,0.2960926816242697,6,0.0,-2.3397094576515642,,-2.220446049250313e-16,-2.220446049250313e-16,0.0
hot,temperature_mean,test,1152,0.9068793283348062,0.0024889807632038075,-0.053933890937329476,0.05115216054213978,6,-2.220446049250313e-16,-2.0289448546876754,,0.0,0.0,0.0
hot,mace,train,3456,0.01651442113607077,0.9828397463941018,0.9793933320626239,0.9853643154679328,18,0.9370419837594021,0.935803217351233,0.1,0.971377996973163,0.9485211733914699,0.8850288511122817
hot,mace,val,1152,0.0188440370276,0.9783780560426947,0.9652191241572275,0.9850187096724278,6,0.9189082862357484,0.9174230013111018,0.1,0.958447840303308,0.9355030097773208,0.8613637003409702
hot,mace,test,1152,0.01855294355384768,0.97959291268859,0.9768845097391877,0.9828041297041479,6,0.9391703118618087,0.938033825272075,0.1,0.9715247897220739,0.9500201301216613,0.889948604531329
hot,within_context_shuffle,train,3456,0.16360485236394653,0.8299970229299334,0.8123394927547353,0.8436593526166798,18,0.44139036030153045,0.36401614922175674,,0.4320645639796543,0.4850709245134369,0.4080166151862461
hot,within_context_shuffle,val,1152,0.1592441527041231,0.8172807588812279,0.7762150059678239,0.8395702936366682,6,0.3698340232182554,0.302171601032039,,0.33657922403891016,0.42012754326011403,0.35602821745231705
