lag_ps,observable,defined_pairs,rms_change,spearman_abs_change_vs_embedding
0.75,PTM_RMSD,2055,0.049103510458524784,0.31563973128827627
0.75,PTM_cutoff_margin,2055,0.049103510458524784,0.31563973128827627
0.75,q4,2304,0.03448704336195623,0.35455707863521096
0.75,q6,2304,0.05861834005779205,0.27802387910672643
0.75,density_r12,2304,0.012186895005485877,0.05469348598882758
0.75,mean_r12,2304,0.049516063631808015,0.12152117793164248
0.75,observed_TDA,,0.4300839304924011,0.4469502971147382
1.5,PTM_RMSD,1930,0.04950380853857617,0.3101958986662763
1.5,PTM_cutoff_margin,1930,0.04950380853857617,0.3101958986662763
1.5,q4,2160,0.0343786137813407,0.34022912170548736
1.5,q6,2160,0.05927100372997238,0.29036787011580817
1.5,density_r12,2160,0.012298375687390185,0.06776910343242848
1.5,mean_r12,2160,0.0506081213457712,0.12160116227543583
1.5,observed_TDA,,0.44078341126441956,0.4909344652208645
3.0,PTM_RMSD,1668,0.05231704940454538,0.30637688386216355
3.0,PTM_cutoff_margin,1668,0.05231704940454538,0.30637688386216355
3.0,q4,1872,0.03573410111559479,0.3224662259394621
3.0,q6,1872,0.06306686178133379,0.29125982175713033
3.0,density_r12,1872,0.012797359814010796,0.06527734117429564
3.0,mean_r12,1872,0.0540458037678714,0.13561079924402653
3.0,observed_TDA,,0.4447662830352783,0.4277966138000105
6.0,PTM_RMSD,1159,0.05570766336858764,0.3489757008060679
6.0,PTM_cutoff_margin,1159,0.05570766336858764,0.3489757008060679
6.0,q4,1296,0.037792269804498596,0.3638840239071543
6.0,q6,1296,0.0646571172410018,0.3379098561056927
6.0,density_r12,1296,0.013263642970907813,0.13035081029144413
6.0,mean_r12,1296,0.05516238680450052,0.18687715692341753
6.0,observed_TDA,,0.4581103026866913,0.40821851149530414
9.0,PTM_RMSD,649,0.05736366850598442,0.3637447486600029
9.0,PTM_cutoff_margin,649,0.05736366850598442,0.3637447486600029
9.0,q4,720,0.03858299453911437,0.34043150160397684
9.0,q6,720,0.06449529096090037,0.3276402925159963
9.0,density_r12,720,0.013790598626558034,0.17595359443171502
9.0,mean_r12,720,0.05544678621675238,0.1739170343049787
9.0,observed_TDA,,0.46842601895332336,0.46983880498740677
12.0,PTM_RMSD,130,0.06494398950192816,0.3564516789796392
12.0,PTM_cutoff_margin,130,0.06494398950192816,0.3564516789796392
12.0,q4,144,0.03684095910063881,0.32374809098947027
12.0,q6,144,0.06820593650252174,0.29205851619644724
12.0,density_r12,144,0.014691809687666209,0.11109637488947835
12.0,mean_r12,144,0.060609973748195684,0.19850494333252952
12.0,observed_TDA,,0.4940166771411896,0.43190258017844224
