target,reference,skill,low,high,sources
hot,geometry,0.9004584062845478,0.8943178866584539,0.9067712406109576,6
hot,within_context_shuffle,0.8924206373670546,0.8877123122133154,0.8976922270416412,6
hot,global_shuffle,0.9802965109158578,0.977812605460927,0.982978467113,6
hot,temperature_mean,0.9795419931029697,0.976790308421555,0.9821623784072079,6
relaxed,geometry,0.733508979669257,0.7171799718978891,0.7542158671335021,6
relaxed,within_context_shuffle,0.6711637806942117,0.6523869512083844,0.6853376317688751,6
relaxed,global_shuffle,0.9608057376458835,0.9560198444523379,0.9653138494189393,6
relaxed,temperature_mean,0.9567727806902445,0.9504133771895907,0.9608910593190451,6
