control,n,standardized_mse,mse_over_0p75ps,rms_over_0p75ps,max_abs_channel,p95_sample_standardized_rms
repeat1,144,2.4512785464642084e-12,7.138106500065071e-12,2.6717235074133457e-06,2.384185791015625e-07,1.994134856886376e-06
repeat2,144,2.4713141689308715e-12,7.196450096784598e-12,2.6826200060360018e-06,2.384185791015625e-07,1.9629200551207758e-06
reordered,144,9.092913921815438e-12,2.647850366228898e-11,5.145726738011743e-06,2.384185791015625e-07,6.2253598571260225e-06
singleton,144,3.219591260261723e-11,9.375427911110492e-11,9.682679335344371e-06,2.384185791015625e-07,6.496222704299726e-06
batch17,144,3.219184988023649e-11,9.374244849109002e-11,9.682068399422202e-06,2.384185791015625e-07,6.545709015881584e-06
rotation,144,2.4496266126661226e-10,7.133296080050257e-10,2.670823109090203e-05,2.0265579223632812e-06,2.264480244775768e-05
permutation,144,3.0084110116262996e-12,8.760472459538403e-12,2.959809530956072e-06,2.384185791015625e-07,2.1211871398918445e-06
translation,144,1.3815061594701916e-10,4.0229365654990016e-10,2.0057259447638908e-05,1.9669532775878906e-06,1.930091839312808e-05
local_float16,144,6.106791374804743e-07,1.7782935060526598e-06,0.0013335267174123884,0.0001093149185180664,0.0017893635202199218
embedding_float16,144,2.6116576918866485e-05,7.60512948366932e-05,0.00872073935149384,0.0004881620407104492,0.0058935810578987
radial_fp32,144,2.3675148952406744e-08,6.894187315878378e-08,0.0002625678448683002,6.496906280517578e-06,0.00017372428192174993
jitter_0.001A,144,3.7904032978985924e-06,1.103762869284063e-05,0.003322292686209424,0.00017523765563964844,0.003060431452468037
jitter_0.005A,144,9.169449913315475e-05,0.00026701375950386705,0.016340555666924765,0.0006521940231323242,0.013787289103493094
jitter_0.02A,144,0.0014487502630800009,0.004218750939088077,0.06495191251293587,0.0030275583267211914,0.05445569455623626
jitter_0.1A,144,0.09947492927312851,0.28967031929612636,0.5382102928188259,0.028549253940582275,0.44555889815092087
