horizon_ps,known_examples,events,threshold,average_precision,auroc,brier,mean_risk,observed_frequency,precision,recall,false_alarm_rate,detected_events,missed_events,interval_timing_mae_ps,timed_within_first_bin_recall
0.75,459,7,0.11045925319194794,0.07625600134477112,0.6069146263614781,0.03642265095174226,0.03919830052905595,0.03786044464010565,0.08450704225352114,0.14922480620155038,0.06361371666793766,1,6,0.0,0.14922480620155038
3.0,459,15,0.17001377046108246,0.1555277969441028,0.6508283422989921,0.07885804602631766,0.06002443738675934,0.08742387555946876,0.08450704225352114,0.06462442299622324,0.06706867671691792,1,14,2.25,0.0
9.0,314,22,0.21684087812900543,0.2436039671380641,0.687596035964109,0.09616962771981126,0.07513251266735031,0.1138418079096045,0.256198347107438,0.15384615384615385,0.05737966209754543,3,19,2.6612903225806455,0.10421836228287842
