dataset_id,record,recorded_state,location,sha256,observed_at
al_meam_independent_sources_70304_400-500K_30perT_float16_20260902,runs/source_000_T400_optimization_melt206158192_velocity611147995/outcome.json,complete,/work/PERSO/vmorozov/simulations/al_meam_independent_sources_70304_400-500K_30perT_float16_20260902/runs/source_000_T400_optimization_melt206158192_velocity611147995/outcome.json,3f77c8299beeaea49f4e47eeab24072c9167931fb9ec86f7ea47fe2e2cb4bb63,2026-09-13T18:33:21.413127+00:00
al_meam_independent_sources_70304_400-500K_30perT_float16_20260902,runs/source_001_T400_optimization_melt248699045_velocity607871863/outcome.json,complete,/work/PERSO/vmorozov/simulations/al_meam_independent_sources_70304_400-500K_30perT_float16_20260902/runs/source_001_T400_optimization_melt248699045_velocity607871863/outcome.json,64974f99768c1dc2ba46554076048daf366bceb5315a4a05bc8c41912cf39b6a,2026-09-13T18:33:21.413127+00:00
al_meam_independent_sources_70304_400-500K_30perT_float16_20260902,runs/source_002_T400_optimization_melt235751553_velocity626188066/outcome.json,complete,/work/PERSO/vmorozov/simulations/al_meam_independent_sources_70304_400-500K_30perT_float16_20260902/runs/source_002_T400_optimization_melt235751553_velocity626188066/outcome.json,ecc5e6635dc67af546b58ad680693dd7b09ae7acdbd2c121e4553898f2f70906,2026-09-13T18:33:21.413127+00:00
al_meam_independent_sources_70304_400-500K_30perT_float16_20260902,runs/source_003_T400_optimization_melt750494487_velocity85653941/outcome.json,complete,/work/PERSO/vmorozov/simulations/al_meam_independent_sources_70304_400-500K_30perT_float16_20260902/runs/source_003_T400_optimization_melt750494487_velocity85653941/outcome.json,6861682991e4ceabc6eef733cc4cb0cfb678a8b5a2b8429807aac6c2c1eec594,2026-09-13T18:33:21.413127+00:00
al_meam_independent_sources_70304_400-500K_30perT_float16_20260902,runs/source_004_T400_optimization_melt378118914_velocity845282558/outcome.json,complete,/work/PERSO/vmorozov/simulations/al_meam_independent_sources_70304_400-500K_30perT_float16_20260902/runs/source_004_T400_optimization_melt378118914_velocity845282558/outcome.json,d7ac0418abd36d304ac05cddf787e0e59fe7983655c4893aee692bcaaceafce9,2026-09-13T18:33:21.413127+00:00
al_meam_independent_sources_70304_400-500K_30perT_float16_20260902,runs/source_005_T400_optimization_melt387039544_velocity90935429/outcome.json,complete,/work/PERSO/vmorozov/simulations/al_meam_independent_sources_70304_400-500K_30perT_float16_20260902/runs/source_005_T400_optimization_melt387039544_velocity90935429/outcome.json,51720579c288091378abb0195f2e6dc681c07f676b3002d31811abc752917c2a,2026-09-13T18:33:21.413127+00:00
al_meam_independent_sources_70304_400-500K_30perT_float16_20260902,runs/source_006_T400_optimization_melt394685168_velocity679140933/outcome.json,complete,/work/PERSO/vmorozov/simulations/al_meam_independent_sources_70304_400-500K_30perT_float16_20260902/runs/source_006_T400_optimization_melt394685168_velocity679140933/outcome.json,9cf5769d825a27d7607702b26ed184cb978219322da502596f7cb46ff2c77044,2026-09-13T18:33:21.413127+00:00
al_meam_independent_sources_70304_400-500K_30perT_float16_20260902,runs/source_007_T400_optimization_melt648456630_velocity770990823/outcome.json,complete,/work/PERSO/vmorozov/simulations/al_meam_independent_sources_70304_400-500K_30perT_float16_20260902/runs/source_007_T400_optimization_melt648456630_velocity770990823/outcome.json,83b605cdb672b27893b26b00f040f9bd12f6625d4070f83f72438846aa18d72f,2026-09-13T18:33:21.413127+00:00
al_meam_independent_sources_70304_400-500K_30perT_float16_20260902,runs/source_008_T400_optimization_melt392346167_velocity213169955/outcome.json,complete,/work/PERSO/vmorozov/simulations/al_meam_independent_sources_70304_400-500K_30perT_float16_20260902/runs/source_008_T400_optimization_melt392346167_velocity213169955/outcome.json,510651967a5ad825d659027e68640c3b139e7b5a63b184065ef53f21aae4814b,2026-09-13T18:33:21.413127+00:00
al_meam_independent_sources_70304_400-500K_30perT_float16_20260902,runs/source_009_T400_optimization_melt373247889_velocity410965678/outcome.json,complete,/work/PERSO/vmorozov/simulations/al_meam_independent_sources_70304_400-500K_30perT_float16_20260902/runs/source_009_T400_optimization_melt373247889_velocity410965678/outcome.json,307f3eb0a5f9f714ed069867e8bdd435805884cde7f5c7dc202a35663e054e5d,2026-09-13T18:33:21.413127+00:00
