dataset_id,kind,location,available,observed_at
al_liquid_source_70304_mpa_seed12346_500K,simulation,/store/PERSO/vmorozov/projects/PointCloudMaterials-20260913T174741Z/output/synthetic_data/al_liquid_source_70304_mpa_seed12346_500K,True,2026-09-13T18:33:21.413127+00:00
al_meam_crystallization_100k_450K_20260911,simulation,/work/PERSO/vmorozov/simulations/al_meam_crystallization_100k_450K_20260911,True,2026-09-13T18:33:21.413127+00:00
al_meam_independent_sources_70304_400-500K_30perT_float16_20260902,simulation,/work/PERSO/vmorozov/simulations/al_meam_independent_sources_70304_400-500K_30perT_float16_20260902,True,2026-09-13T18:33:21.413127+00:00
al_meam_independent_sources_70304_510-520K_30perT_float16_20260903,simulation,/work/PERSO/vmorozov/simulations/al_meam_independent_sources_70304_510-520K_30perT_float16_20260903,True,2026-09-13T18:33:21.413127+00:00
al_meam_independent_sources_70304_510-520K_30perT_float16_20260903_prepared_before_manifest_checksum,simulation,/work/PERSO/vmorozov/simulations/al_meam_independent_sources_70304_510-520K_30perT_float16_20260903_prepared_before_manifest_checksum,True,2026-09-13T18:33:21.413127+00:00
al_meam_nested_shooting_pilot_70304_400-500K_20260902,simulation,/work/PERSO/vmorozov/simulations/al_meam_nested_shooting_pilot_70304_400-500K_20260902,True,2026-09-13T18:33:21.413127+00:00
al_meam_nested_shooting_pilot_70304_400-500K_20260902_fixed24ps_float16_compatible,simulation,/work/PERSO/vmorozov/simulations/al_meam_nested_shooting_pilot_70304_400-500K_20260902_fixed24ps_float16_compatible,True,2026-09-13T18:33:21.413127+00:00
al_meam_position_shooting_70304_400-500K_15ps_4shot_topup_to16_20260904,simulation,/work/PERSO/vmorozov/simulations/al_meam_position_shooting_70304_400-500K_15ps_4shot_topup_to16_20260904,True,2026-09-13T18:33:21.413127+00:00
al_meam_position_shooting_70304_400-500K_48ps_1shot_local_20260831,simulation,/work/PERSO/vmorozov/simulations/al_meam_position_shooting_70304_400-500K_48ps_1shot_local_20260831,True,2026-09-13T18:33:21.413127+00:00
al_meam_position_shooting_70304_400-500K_48ps_2shots_local_followup_20260831,simulation,/work/PERSO/vmorozov/simulations/al_meam_position_shooting_70304_400-500K_48ps_2shots_local_followup_20260831,True,2026-09-13T18:33:21.413127+00:00
al_meam_position_shooting_70304_400-500K_48ps_40branches_local_20260901,simulation,/work/PERSO/vmorozov/simulations/al_meam_position_shooting_70304_400-500K_48ps_40branches_local_20260901,True,2026-09-13T18:33:21.413127+00:00
al_meam_position_shooting_70304_400-500K_48ps_4shot_topup_to16_20260903,simulation,/work/PERSO/vmorozov/simulations/al_meam_position_shooting_70304_400-500K_48ps_4shot_topup_to16_20260903,True,2026-09-13T18:33:21.413127+00:00
al_meam_position_shooting_70304_400-500K_48ps_4shot_topup_to16_20260903_prepared_protocol_flag_correction,simulation,/work/PERSO/vmorozov/simulations/al_meam_position_shooting_70304_400-500K_48ps_4shot_topup_to16_20260903_prepared_protocol_flag_correction,True,2026-09-13T18:33:21.413127+00:00
al_meam_position_shooting_70304_400-500K_48ps_4shot_topup_to16_20260903_prepared_without_legacy_window_spec,simulation,/work/PERSO/vmorozov/simulations/al_meam_position_shooting_70304_400-500K_48ps_4shot_topup_to16_20260903_prepared_without_legacy_window_spec,True,2026-09-13T18:33:21.413127+00:00
al_meam_position_shooting_70304_400-500K_48ps_8shots_20260830,simulation,/work/PERSO/vmorozov/simulations/al_meam_position_shooting_70304_400-500K_48ps_8shots_20260830,True,2026-09-13T18:33:21.413127+00:00
al_meam_predictive_dynamics_fixed15_smoke_1parent_16branches_float32_20260904,simulation,/work/PERSO/vmorozov/simulations/al_meam_predictive_dynamics_fixed15_smoke_1parent_16branches_float32_20260904,True,2026-09-13T18:33:21.413127+00:00
al_meam_predictive_dynamics_fixed48_smoke_1parent_16branches_float32_20260903,simulation,/work/PERSO/vmorozov/simulations/al_meam_predictive_dynamics_fixed48_smoke_1parent_16branches_float32_20260903,True,2026-09-13T18:33:21.413127+00:00
al_meam_predictive_dynamics_fixed48_smoke_1parent_16branches_float32_20260903_invalid_endpoint_descriptor_preparation,simulation,/work/PERSO/vmorozov/simulations/al_meam_predictive_dynamics_fixed48_smoke_1parent_16branches_float32_20260903_invalid_endpoint_descriptor_preparation,True,2026-09-13T18:33:21.413127+00:00
al_mpa_70304_bf16_validation_20260724,simulation,/store/PERSO/vmorozov/projects/PointCloudMaterials-20260913T174741Z/output/synthetic_data/al_mpa_70304_bf16_validation_20260724,True,2026-09-13T18:33:21.413127+00:00
al_phase_context_70304x1,simulation,/store/PERSO/vmorozov/projects/PointCloudMaterials-20260913T174741Z/output/synthetic_data/al_phase_context_70304x1,True,2026-09-13T18:33:21.413127+00:00
al_phase_context_70304x1_seed_12346,simulation,/store/PERSO/vmorozov/projects/PointCloudMaterials-20260913T174741Z/output/synthetic_data/al_phase_context_70304x1_seed_12346,True,2026-09-13T18:33:21.413127+00:00
interrupted_attempts,simulation,/work/PERSO/vmorozov/simulations/interrupted_attempts,True,2026-09-13T18:33:21.413127+00:00
local_overnight_lamedell11_20260905,simulation,/work/PERSO/vmorozov/simulations/local_overnight_lamedell11_20260905,True,2026-09-13T18:33:21.413127+00:00
local_overnight_lamedell11_20260905.startup_attempt_010736,simulation,/work/PERSO/vmorozov/simulations/local_overnight_lamedell11_20260905.startup_attempt_010736,True,2026-09-13T18:33:21.413127+00:00
nested_shooting_prepare_logs,simulation,/work/PERSO/vmorozov/simulations/nested_shooting_prepare_logs,True,2026-09-13T18:33:21.413127+00:00
nonshooting_float32_migration_20260901,simulation,/work/PERSO/vmorozov/simulations/nonshooting_float32_migration_20260901,True,2026-09-13T18:33:21.413127+00:00
polycrystalline_balanced_geometries,simulation,/store/PERSO/vmorozov/projects/PointCloudMaterials-20260913T174741Z/output/synthetic_data/polycrystalline_balanced_geometries,True,2026-09-13T18:33:21.413127+00:00
polycrystalline_balanced_geometries_v2,simulation,/store/PERSO/vmorozov/projects/PointCloudMaterials-20260913T174741Z/output/synthetic_data/polycrystalline_balanced_geometries_v2,True,2026-09-13T18:33:21.413127+00:00
portability-ti-smoke-20260913,test_fixture,/store/PERSO/vmorozov/simulations/portability-ti-smoke-20260913,True,2026-09-13T18:33:21.413127+00:00
restart_boundary_audit_20260905,simulation,/work/PERSO/vmorozov/simulations/restart_boundary_audit_20260905,True,2026-09-13T18:33:21.413127+00:00
shooting_float32_migration_20260901,simulation,/work/PERSO/vmorozov/simulations/shooting_float32_migration_20260901,True,2026-09-13T18:33:21.413127+00:00
superseded_preparation_al_meam_position_shooting_15ps_topup_manifest_metadata_20260904T0955Z,simulation,/work/PERSO/vmorozov/simulations/superseded_preparation_al_meam_position_shooting_15ps_topup_manifest_metadata_20260904T0955Z,True,2026-09-13T18:33:21.413127+00:00
superseded_preparation_al_meam_predictive_dynamics_fixed15_smoke_wave979929_20260904T0955Z,simulation,/work/PERSO/vmorozov/simulations/superseded_preparation_al_meam_predictive_dynamics_fixed15_smoke_wave979929_20260904T0955Z,True,2026-09-13T18:33:21.413127+00:00
ta_initial_model_1m_24ps_npt_20260905,simulation,/work/PERSO/vmorozov/simulations/ta_initial_model_1m_24ps_npt_20260905,True,2026-09-13T18:33:21.413127+00:00
ti_ta_crystallization_20260907,simulation,/work/PERSO/vmorozov/simulations/ti_ta_crystallization_20260907,True,2026-09-13T18:33:21.413127+00:00
